date,symbol,open,high,low,close,volume
2023-05-28 07:00:00,ACAP,0.213,0.5,0.213,0.279,16667650.0
2023-05-29 07:00:00,ACAP,0.279,0.289,0.251,0.267,10695233.0
2023-05-30 07:00:00,ACAP,0.267,0.275,0.256,0.269,7757262.0
2023-05-31 07:00:00,ACAP,0.269,0.272,0.259,0.26,4943233.0
2023-06-01 07:00:00,ACAP,0.26,0.265,0.258,0.261,3446878.0
2023-06-04 07:00:00,ACAP,0.261,0.27,0.261,0.27,7759800.0
2023-06-05 07:00:00,ACAP,0.268,0.279,0.267,0.275,6194555.0
2023-06-06 07:00:00,ACAP,0.275,0.277,0.269,0.273,4704850.0
2023-06-07 07:00:00,ACAP,0.273,0.279,0.272,0.272,5833087.0
2023-06-08 07:00:00,ACAP,0.274,0.276,0.271,0.275,3454262.0
2023-06-11 07:00:00,ACAP,0.275,0.278,0.273,0.276,1650910.0
2023-06-12 07:00:00,ACAP,0.274,0.279,0.274,0.275,668986.0
2023-06-13 07:00:00,ACAP,0.274,0.295,0.274,0.292,14067893.0
2023-06-14 07:00:00,ACAP,0.29,0.348,0.29,0.348,20919345.0
2023-06-15 07:00:00,ACAP,0.348,0.4,0.348,0.379,35422207.0
2023-06-18 07:00:00,ACAP,0.379,0.402,0.357,0.392,22303090.0
2023-06-19 07:00:00,ACAP,0.392,0.43,0.391,0.402,19042551.0
2023-06-20 07:00:00,ACAP,0.402,0.41,0.382,0.387,20161186.0
2023-06-21 07:00:00,ACAP,0.387,0.39,0.37,0.371,9852898.0
2023-06-22 07:00:00,ACAP,0.371,0.377,0.361,0.372,4332085.0
2023-06-25 07:00:00,ACAP,0.372,0.38,0.36,0.361,4877344.0
2023-06-26 07:00:00,ACAP,0.361,0.375,0.356,0.359,5063943.0
2023-07-04 07:00:00,ACAP,0.362,0.374,0.35,0.352,3570468.0
2023-07-05 07:00:00,ACAP,0.352,0.405,0.35,0.396,8816099.0
2023-07-06 07:00:00,ACAP,0.396,0.406,0.372,0.378,9103968.0
2023-07-09 07:00:00,ACAP,0.378,0.392,0.36,0.362,6268617.0
2023-07-10 07:00:00,ACAP,0.362,0.378,0.35,0.368,3376515.0
2023-07-11 07:00:00,ACAP,0.368,0.379,0.362,0.373,5853961.0
2023-07-12 07:00:00,ACAP,0.373,0.376,0.355,0.36,3275603.0
2023-07-13 07:00:00,ACAP,0.36,0.37,0.355,0.359,1846632.0
2023-07-16 07:00:00,ACAP,0.359,0.365,0.35,0.352,5127080.0
2023-07-17 07:00:00,ACAP,0.352,0.356,0.342,0.349,3540064.0
2023-07-18 07:00:00,ACAP,0.349,0.35,0.329,0.341,10272698.0
2023-07-19 07:00:00,ACAP,0.341,0.347,0.336,0.337,4038918.0
2023-07-24 07:00:00,ACAP,0.337,0.345,0.327,0.328,3200650.0
2023-07-25 07:00:00,ACAP,0.329,0.333,0.323,0.325,3668365.0
2023-07-26 07:00:00,ACAP,0.325,0.331,0.316,0.325,2356770.0
2023-07-27 07:00:00,ACAP,0.324,0.356,0.322,0.343,4597087.0
