date,symbol,open,high,low,close,volume
2022-05-10 08:00:00,ACGC,1.168,1.179,1.15,1.178,1061507.0
2022-05-11 08:00:00,ACGC,1.165,1.196,1.165,1.192,976767.0
2022-05-12 08:00:00,ACGC,1.192,1.32,1.171,1.257,6296640.0
2022-05-15 08:00:00,ACGC,1.257,1.31,1.24,1.26,3372827.0
2022-05-16 08:00:00,ACGC,1.265,1.289,1.231,1.266,1217743.0
2022-05-17 08:00:00,ACGC,1.266,1.377,1.242,1.31,6831899.0
2022-05-18 08:00:00,ACGC,1.315,1.34,1.304,1.304,1259153.0
2022-05-19 08:00:00,ACGC,1.309,1.35,1.261,1.322,2795060.0
2022-05-22 08:00:00,ACGC,1.322,1.4,1.322,1.393,3042820.0
2022-05-23 08:00:00,ACGC,1.385,1.398,1.344,1.352,902700.0
2022-05-24 08:00:00,ACGC,1.352,1.353,1.315,1.322,381253.0
2022-05-25 08:00:00,ACGC,1.322,1.326,1.283,1.3,2790353.0
2022-05-26 08:00:00,ACGC,1.291,1.323,1.29,1.305,1785697.0
2022-05-29 08:00:00,ACGC,1.304,1.34,1.304,1.331,1169371.0
2022-05-30 08:00:00,ACGC,1.331,1.41,1.331,1.41,4340515.0
2022-05-31 08:00:00,ACGC,1.398,1.43,1.389,1.42,4283394.0
2022-06-01 08:00:00,ACGC,1.42,1.449,1.413,1.415,3015657.0
2022-06-02 08:00:00,ACGC,1.416,1.43,1.4,1.418,854368.0
2022-06-05 08:00:00,ACGC,1.418,1.43,1.41,1.427,559591.0
2022-06-06 08:00:00,ACGC,1.424,1.468,1.424,1.445,2743821.0
2022-06-07 08:00:00,ACGC,1.445,1.487,1.437,1.471,3843517.0
2022-06-08 08:00:00,ACGC,1.471,1.539,1.471,1.522,4358218.0
2022-06-09 08:00:00,ACGC,1.522,1.53,1.49,1.522,2479876.0
2022-06-12 08:00:00,ACGC,1.522,1.522,1.486,1.5,1443418.0
2022-06-13 08:00:00,ACGC,1.5,1.578,1.485,1.573,4101512.0
2022-06-14 08:00:00,ACGC,1.573,1.58,1.54,1.546,2768353.0
2022-06-15 08:00:00,ACGC,1.546,1.59,1.53,1.584,2663857.0
2022-06-16 08:00:00,ACGC,1.584,1.596,1.542,1.546,869080.0
2022-06-19 08:00:00,ACGC,1.546,1.549,1.481,1.489,1206670.0
2022-06-20 08:00:00,ACGC,1.489,1.514,1.432,1.45,1262589.0
2022-06-21 08:00:00,ACGC,1.45,1.47,1.4,1.412,1658722.0
2022-06-22 08:00:00,ACGC,1.412,1.446,1.392,1.429,1548038.0
2022-06-23 08:00:00,ACGC,1.429,1.478,1.429,1.438,1245910.0
2022-06-26 08:00:00,ACGC,1.438,1.487,1.438,1.462,2130669.0
2022-06-27 08:00:00,ACGC,1.462,1.471,1.38,1.401,1436508.0
2022-06-28 08:00:00,ACGC,1.404,1.429,1.316,1.429,1815317.0
2022-06-29 08:00:00,ACGC,1.369,1.445,1.369,1.417,742219.0
2022-07-03 08:00:00,ACGC,1.417,1.417,1.37,1.402,391180.0
2022-07-04 08:00:00,ACGC,1.402,1.45,1.364,1.428,1983342.0
2022-07-05 08:00:00,ACGC,1.428,1.477,1.402,1.451,1116744.0
2022-07-06 08:00:00,ACGC,1.451,1.477,1.434,1.438,290602.0
2022-07-07 08:00:00,ACGC,1.448,1.49,1.435,1.483,1113346.0
2022-07-17 08:00:00,ACGC,1.483,1.49,1.456,1.464,509554.0
2022-07-18 08:00:00,ACGC,1.465,1.549,1.465,1.546,1756849.0
2022-07-19 08:00:00,ACGC,1.546,1.56,1.53,1.536,936862.0
2022-07-20 08:00:00,ACGC,1.538,1.59,1.531,1.575,2247520.0
2022-07-21 08:00:00,ACGC,1.575,1.599,1.57,1.589,2318884.0
2022-07-24 08:00:00,ACGC,1.589,1.678,1.58,1.633,2569959.0
2022-07-25 08:00:00,ACGC,1.639,1.654,1.621,1.626,943311.0
2022-07-26 08:00:00,ACGC,1.626,1.659,1.6,1.619,1836422.0
2022-07-27 08:00:00,ACGC,1.619,1.649,1.587,1.613,1813265.0
2022-07-28 08:00:00,ACGC,1.613,1.635,1.601,1.609,1163572.0
2022-07-31 08:00:00,ACGC,1.609,1.639,1.6,1.606,1036186.0
2022-08-01 08:00:00,ACGC,1.606,1.62,1.575,1.594,871650.0
2022-08-02 08:00:00,ACGC,1.59,1.68,1.58,1.664,2560514.0
2022-08-03 08:00:00,ACGC,1.664,1.715,1.664,1.701,3991603.0
2022-08-04 08:00:00,ACGC,1.701,1.778,1.697,1.778,3245019.0
2022-08-07 08:00:00,ACGC,1.765,1.92,1.765,1.92,4592653.0
2022-08-08 08:00:00,ACGC,1.846,1.919,1.83,1.833,2816258.0
2022-08-09 08:00:00,ACGC,1.836,1.844,1.792,1.801,1941956.0
2022-08-10 08:00:00,ACGC,1.801,1.858,1.771,1.81,1353010.0
