date,symbol,open,high,low,close,volume
2022-04-12 08:00:00,ALCN,3.855,4.05,3.625,3.8,5137214.0
2022-04-13 08:00:00,ALCN,3.8,3.935,3.6,3.685,2296650.0
2022-04-14 08:00:00,ALCN,3.685,3.745,3.505,3.65,1895332.0
2022-04-17 08:00:00,ALCN,3.65,3.785,3.3,3.39,1928890.0
2022-04-18 08:00:00,ALCN,3.39,3.595,3.31,3.45,1135850.0
2022-04-19 08:00:00,ALCN,3.45,3.6,3.45,3.56,583672.0
2022-04-20 08:00:00,ALCN,3.56,3.69,3.5,3.585,681258.0
2022-04-21 08:00:00,ALCN,3.585,3.72,3.575,3.685,1166470.0
2022-04-26 08:00:00,ALCN,3.685,3.725,3.535,3.6,611930.0
2022-04-27 08:00:00,ALCN,3.62,3.665,3.575,3.615,433226.0
2022-04-28 08:00:00,ALCN,3.615,4.25,3.615,4.25,2365486.0
2022-05-08 08:00:00,ALCN,4.25,4.575,4.25,4.45,4528124.0
2022-05-09 08:00:00,ALCN,4.45,4.625,4.31,4.34,3088376.0
2022-05-10 08:00:00,ALCN,4.39,4.42,4.25,4.29,989548.0
2022-05-11 08:00:00,ALCN,4.29,4.65,4.29,4.615,2970038.0
2022-05-12 08:00:00,ALCN,4.615,4.62,4.33,4.485,1220686.0
2022-05-15 08:00:00,ALCN,4.485,4.61,4.4,4.425,671726.0
2022-05-16 08:00:00,ALCN,4.425,4.505,4.34,4.42,810146.0
2022-05-17 08:00:00,ALCN,4.42,4.55,4.375,4.375,533954.0
2022-05-18 08:00:00,ALCN,4.42,4.645,4.42,4.6,2103124.0
2022-05-19 08:00:00,ALCN,4.6,4.6,4.455,4.47,1019822.0
2022-05-22 08:00:00,ALCN,4.47,4.545,4.33,4.355,445910.0
2022-05-23 08:00:00,ALCN,4.355,4.45,4.275,4.33,747322.0
2022-05-24 08:00:00,ALCN,4.33,4.3850005,4.2,4.2,630604.0
2022-05-25 08:00:00,ALCN,4.225,4.25,3.96,4.0100005,652092.0
2022-05-26 08:00:00,ALCN,4.0100005,4.075,3.875,4.075,473730.0
2022-05-29 08:00:00,ALCN,4.05,4.07,3.95,4.005,125732.0
2022-05-30 08:00:00,ALCN,4.015,4.19,4.0,4.07,381192.0
2022-05-31 08:00:00,ALCN,4.075,4.145,4.03,4.09,253806.0
2022-06-01 08:00:00,ALCN,4.09,4.13,4.0,4.015,256026.0
2022-06-02 08:00:00,ALCN,4.015,4.075,3.975,4.0100005,142562.0
2022-06-05 08:00:00,ALCN,4.035,4.1,4.0,4.025,171734.0
2022-06-06 08:00:00,ALCN,4.025,4.075,4.0,4.0100005,128338.0
2022-06-07 08:00:00,ALCN,4.015,4.075,4.0100005,4.04,175334.0
2022-06-08 08:00:00,ALCN,4.06,4.2600005,4.06,4.21,552758.0
2022-06-09 08:00:00,ALCN,4.21,4.215,4.15,4.155,166282.0
2022-06-12 08:00:00,ALCN,4.155,4.155,4.055,4.075,180652.0
2022-06-13 08:00:00,ALCN,4.075,4.185,4.0,4.035,304508.0
2022-06-14 08:00:00,ALCN,4.02,4.125,4.005,4.045,82928.0
2022-06-15 08:00:00,ALCN,4.045,4.125,4.025,4.125,391800.0
2022-06-16 08:00:00,ALCN,4.075,4.17,4.03,4.045,409884.0
2022-06-19 08:00:00,ALCN,4.045,4.055,4.0,4.0,101962.0
2022-06-20 08:00:00,ALCN,4.005,4.085,3.955,4.0,215752.0
2022-06-21 08:00:00,ALCN,4.0,4.05,3.9,3.92,318064.0
2022-06-22 08:00:00,ALCN,3.92,3.94,3.83,3.835,184014.0
2022-06-23 08:00:00,ALCN,3.855,3.855,3.785,3.805,133906.0
2022-06-26 08:00:00,ALCN,3.815,3.915,3.725,3.725,446356.0
2022-06-27 08:00:00,ALCN,3.755,3.8,3.575,3.65,201568.0
2022-06-28 08:00:00,ALCN,3.63,3.845,3.565,3.84,441762.0
2022-06-29 08:00:00,ALCN,3.77,3.985,3.73,3.765,739158.0
2022-07-03 08:00:00,ALCN,3.765,3.795,3.665,3.69,90726.0
2022-07-04 08:00:00,ALCN,3.695,3.76,3.55,3.555,195798.0
2022-07-05 08:00:00,ALCN,3.555,3.695,3.54,3.59,124270.0
2022-07-06 08:00:00,ALCN,3.6,3.625,3.55,3.615,166892.0
2022-07-07 08:00:00,ALCN,3.615,3.665,3.6,3.61,142658.0
2022-07-17 08:00:00,ALCN,3.64,3.665,3.58,3.645,36004.0
2022-07-18 08:00:00,ALCN,3.64,3.7,3.64,3.655,70476.0
2022-07-19 08:00:00,ALCN,3.64,4.07,3.64,4.0100005,1926182.0
2022-07-20 08:00:00,ALCN,4.0100005,4.2,4.0,4.05,901136.0
2022-07-21 08:00:00,ALCN,4.05,4.095,3.95,4.055,274930.0
2022-07-24 08:00:00,ALCN,4.055,4.225,4.05,4.115,388128.0
2022-07-25 08:00:00,ALCN,4.12,4.15,4.04,4.055,156320.0
2022-07-26 08:00:00,ALCN,4.055,4.16,4.05,4.065,281040.0
2022-07-27 08:00:00,ALCN,4.065,4.105,4.005,4.005,180700.0
2022-07-28 08:00:00,ALCN,4.025,4.075,3.95,4.045,208210.0
2022-07-31 08:00:00,ALCN,4.045,4.185,4.0,4.1350005,753094.0
2022-08-01 08:00:00,ALCN,4.145,4.425,4.145,4.23,1892536.0
2022-08-02 08:00:00,ALCN,4.23,4.36,4.2,4.225,625874.0
2022-08-03 08:00:00,ALCN,4.235,4.475,4.235,4.36,1252312.0
2022-08-04 08:00:00,ALCN,4.36,4.62,4.36,4.6,4077654.0
2022-08-07 08:00:00,ALCN,4.6,4.625,4.5,4.505,1521270.0
2022-08-08 08:00:00,ALCN,4.515,4.87,4.5,4.695,7449096.0
2022-08-09 08:00:00,ALCN,4.695,4.795,4.675,4.71,1107478.0
2022-08-10 08:00:00,ALCN,4.71,5.05,4.71,5.05,2504502.0
