date,symbol,open,high,low,close,volume
2022-05-15 08:00:00,ARVA,1.039,1.055,1.026,1.033,302805.0
2022-05-16 08:00:00,ARVA,1.028,1.048,1.021,1.028,424245.0
2022-05-17 08:00:00,ARVA,1.028,1.045,1.024,1.026,403804.0
2022-05-18 08:00:00,ARVA,1.026,1.05,1.026,1.038,494716.0
2022-05-19 08:00:00,ARVA,1.038,1.038,0.975,1.008,1052674.0
2022-05-22 08:00:00,ARVA,1.008,1.2,1.008,1.06,1739645.0
2022-05-23 08:00:00,ARVA,1.06,1.074,1.04,1.056,736465.0
2022-05-24 08:00:00,ARVA,1.044,1.06,1.033,1.037,297408.0
2022-05-25 08:00:00,ARVA,1.038,1.038,0.9,0.96,962496.0
2022-05-26 08:00:00,ARVA,0.96,0.989,0.931,0.95,443454.0
2022-05-29 08:00:00,ARVA,0.954,0.961,0.92,0.931,181246.0
2022-05-30 08:00:00,ARVA,0.954,0.98,0.92,0.952,259431.0
2022-05-31 08:00:00,ARVA,0.954,0.98,0.954,0.98,303160.0
2022-06-01 08:00:00,ARVA,0.954,0.97,0.93,0.93,405002.0
2022-06-02 08:00:00,ARVA,0.936,0.949,0.91,0.94,402918.0
2022-06-05 08:00:00,ARVA,0.94,0.956,0.94,0.955,454036.0
2022-06-06 08:00:00,ARVA,0.949,0.962,0.949,0.955,157310.0
2022-06-07 08:00:00,ARVA,0.949,0.98,0.949,0.98,300670.0
2022-06-08 08:00:00,ARVA,0.949,1.02,0.949,1.011,619713.0
2022-06-09 08:00:00,ARVA,1.011,1.044,0.998,1.028,1060733.0
2022-06-12 08:00:00,ARVA,1.026,1.08,1.02,1.047,2393353.0
2022-06-13 08:00:00,ARVA,1.047,1.058,1.015,1.02,1147116.0
2022-06-14 08:00:00,ARVA,1.02,1.064,1.003,1.05,1768565.0
2022-06-15 08:00:00,ARVA,1.05,1.087,1.041,1.059,2545567.0
2022-06-16 08:00:00,ARVA,1.059,1.09,1.041,1.041,1607593.0
2022-06-19 08:00:00,ARVA,1.045,1.05,1.02,1.025,887340.0
2022-06-20 08:00:00,ARVA,1.027,1.031,1.015,1.024,674256.0
2022-06-21 08:00:00,ARVA,1.029,1.083,1.029,1.074,1897660.0
2022-06-22 08:00:00,ARVA,1.074,1.134,1.071,1.107,4932393.0
2022-06-23 08:00:00,ARVA,1.107,1.107,1.07,1.087,2425432.0
2022-06-26 08:00:00,ARVA,1.087,1.119,1.051,1.053,1827791.0
2022-06-27 08:00:00,ARVA,1.064,1.124,1.009,1.021,1538668.0
2022-06-28 08:00:00,ARVA,1.03,1.066,0.98,1.04,2653718.0
2022-06-29 08:00:00,ARVA,1.024,1.049,1.013,1.029,1600761.0
2022-07-03 08:00:00,ARVA,1.029,1.03,0.995,0.999,2259918.0
2022-07-04 08:00:00,ARVA,0.999,1.008,0.914,0.938,1705669.0
2022-07-05 08:00:00,ARVA,0.938,0.974,0.916,0.933,1225143.0
2022-07-06 08:00:00,ARVA,0.934,0.95,0.93,0.944,368818.0
2022-07-07 08:00:00,ARVA,0.944,0.97,0.944,0.95,532974.0
2022-07-17 08:00:00,ARVA,0.95,0.968,0.944,0.948,466468.0
2022-07-18 08:00:00,ARVA,0.948,0.988,0.946,0.975,1287726.0
2022-07-19 08:00:00,ARVA,0.974,0.998,0.958,0.998,1037839.0
2022-07-20 08:00:00,ARVA,0.992,1.02,0.987,0.993,1992740.0
2022-07-21 08:00:00,ARVA,0.993,1.014,0.991,1.004,948813.0
2022-07-24 08:00:00,ARVA,1.003,1.017,0.995,1.016,1020508.0
2022-07-25 08:00:00,ARVA,1.009,1.05,1.004,1.039,2196837.0
2022-07-26 08:00:00,ARVA,1.039,1.095,1.039,1.073,3619872.0
2022-07-27 08:00:00,ARVA,1.073,1.109,1.05,1.062,2796094.0
2022-07-28 08:00:00,ARVA,1.062,1.074,1.05,1.06,1409296.0
2022-07-31 08:00:00,ARVA,1.056,1.07,1.05,1.055,965172.0
2022-08-01 08:00:00,ARVA,1.055,1.075,1.033,1.05,1074188.0
2022-08-02 08:00:00,ARVA,1.043,1.054,1.03,1.046,408053.0
2022-08-03 08:00:00,ARVA,1.046,1.102,1.046,1.079,1909474.0
2022-08-04 08:00:00,ARVA,1.079,1.134,1.079,1.123,3467343.0
2022-08-07 08:00:00,ARVA,1.123,1.345,1.123,1.292,4702374.0
2022-08-08 08:00:00,ARVA,1.292,1.4,1.221,1.252,2211145.0
2022-08-09 08:00:00,ARVA,1.252,1.29,1.218,1.222,983833.0
2022-08-10 08:00:00,ARVA,1.222,1.278,1.21,1.236,1940640.0
2022-08-11 08:00:00,ARVA,1.236,1.35,1.236,1.335,2786879.0
2022-08-14 08:00:00,ARVA,1.324,1.44,1.324,1.394,3466452.0
2022-08-15 08:00:00,ARVA,1.394,1.429,1.321,1.359,1780785.0
2022-08-16 08:00:00,ARVA,1.359,1.4,1.348,1.361,1138551.0
2022-08-17 08:00:00,ARVA,1.361,1.37,1.302,1.318,1073926.0
2022-08-18 08:00:00,ARVA,1.318,1.35,1.3,1.321,877880.0
2022-08-21 08:00:00,ARVA,1.321,1.349,1.3,1.32,1092834.0
2022-08-22 08:00:00,ARVA,1.32,1.345,1.31,1.313,577707.0
2022-08-23 08:00:00,ARVA,1.313,1.344,1.27,1.298,889867.0
2022-08-24 08:00:00,ARVA,1.291,1.296,1.237,1.255,803073.0
2022-08-25 08:00:00,ARVA,1.255,1.3,1.25,1.3,697329.0
2022-08-28 08:00:00,ARVA,1.278,1.31,1.26,1.28,349440.0
2022-08-29 08:00:00,ARVA,1.285,1.299,1.25,1.25,514282.0
2022-08-30 08:00:00,ARVA,1.257,1.37,1.25,1.365,2869299.0
2022-08-31 08:00:00,ARVA,1.365,1.53,1.365,1.503,7384618.0
2022-09-01 08:00:00,ARVA,1.503,1.55,1.41,1.434,5042953.0
2022-09-04 08:00:00,ARVA,1.434,1.5,1.403,1.481,2134662.0
2022-09-05 08:00:00,ARVA,1.481,1.529,1.34,1.408,2567404.0
2022-09-06 08:00:00,ARVA,1.408,1.44,1.408,1.413,1582718.0
2022-09-07 08:00:00,ARVA,1.415,1.45,1.4,1.4,902399.0
2022-09-08 08:00:00,ARVA,1.409,1.439,1.39,1.401,1067307.0
2022-09-11 08:00:00,ARVA,1.401,1.431,1.381,1.39,505305.0
2022-09-12 08:00:00,ARVA,1.39,1.419,1.36,1.364,737610.0
2022-09-13 08:00:00,ARVA,1.364,1.425,1.364,1.4,1329435.0
2022-09-14 08:00:00,ARVA,1.395,1.5,1.362,1.478,3190970.0
2022-09-15 08:00:00,ARVA,1.478,1.55,1.478,1.499,4906937.0
2022-09-18 08:00:00,ARVA,1.499,1.526,1.2,1.277,1843261.0
2022-09-19 08:00:00,ARVA,1.277,1.363,1.24,1.357,1611267.0
2022-09-20 08:00:00,ARVA,1.328,1.37,1.28,1.349,590838.0
2022-09-21 08:00:00,ARVA,1.349,1.38,1.336,1.35,685606.0
2022-09-22 08:00:00,ARVA,1.35,1.498,1.28,1.482,2938783.0
2022-09-25 08:00:00,ARVA,1.482,1.504,1.42,1.459,1257561.0
2022-09-26 08:00:00,ARVA,1.459,1.48,1.44,1.47,692135.0
2022-09-27 08:00:00,ARVA,1.473,1.57,1.46,1.541,3647845.0
2022-09-28 08:00:00,ARVA,1.541,1.57,1.48,1.493,2444407.0
2022-09-29 08:00:00,ARVA,1.493,1.534,1.442,1.477,1658352.0
2022-10-02 08:00:00,ARVA,1.477,1.505,1.4,1.408,2124747.0
2022-10-03 08:00:00,ARVA,1.408,1.44,1.38,1.385,1037969.0
2022-10-04 08:00:00,ARVA,1.384,1.468,1.384,1.408,911151.0
2022-10-05 08:00:00,ARVA,1.408,1.434,1.383,1.413,1397743.0
2022-10-09 08:00:00,ARVA,1.413,1.43,1.38,1.4,653286.0
2022-10-10 08:00:00,ARVA,1.4,1.429,1.391,1.4,913693.0
2022-10-11 08:00:00,ARVA,1.4,1.4,1.3,1.347,1428355.0
2022-10-12 08:00:00,ARVA,1.35,1.35,1.28,1.299,1229266.0
2022-10-13 08:00:00,ARVA,1.299,1.334,1.299,1.314,747614.0
2022-10-16 08:00:00,ARVA,1.314,1.389,1.314,1.33,1746853.0
2022-10-17 08:00:00,ARVA,1.33,1.35,1.324,1.336,593728.0
2022-10-18 08:00:00,ARVA,1.336,1.35,1.311,1.33,1319101.0
2022-10-19 08:00:00,ARVA,1.326,1.358,1.32,1.321,359195.0
2022-10-20 08:00:00,ARVA,1.321,1.348,1.32,1.321,247942.0
2022-10-23 08:00:00,ARVA,1.322,1.368,1.322,1.331,853856.0
2022-10-24 08:00:00,ARVA,1.334,1.355,1.3,1.315,756719.0
2022-10-25 08:00:00,ARVA,1.315,1.32,1.25,1.25,668307.0
2022-10-26 08:00:00,ARVA,1.27,1.298,1.25,1.269,575989.0
2022-10-27 08:00:00,ARVA,1.269,1.322,1.269,1.285,874763.0
2022-10-30 08:00:00,ARVA,1.285,1.319,1.235,1.237,594480.0
2022-10-31 08:00:00,ARVA,1.237,1.28,1.22,1.25,1304646.0
2022-11-01 08:00:00,ARVA,1.233,1.275,1.233,1.248,1237030.0
2022-11-02 08:00:00,ARVA,1.248,1.272,1.21,1.21,283757.0
2022-11-03 08:00:00,ARVA,1.216,1.24,1.156,1.162,1455108.0
2022-11-06 08:00:00,ARVA,1.21700001,1.21700001,1.13999999,1.16999996,611860.0
2022-11-07 08:00:00,ARVA,1.17,1.22,1.15,1.203,701596.0
2022-11-08 08:00:00,ARVA,1.203,1.245,1.191,1.194,633655.0
2022-11-09 08:00:00,ARVA,1.194,1.23,1.182,1.19,416096.0
2022-11-10 08:00:00,ARVA,1.189,1.218,1.182,1.191,253223.0
2022-11-13 08:00:00,ARVA,1.19,1.238,1.19,1.235,522989.0
2022-11-14 08:00:00,ARVA,1.232,1.239,1.2,1.201,606952.0
2022-11-15 08:00:00,ARVA,1.204,1.295,1.204,1.275,1767024.0
2022-11-16 08:00:00,ARVA,1.261,1.389,1.261,1.376,4206216.0
2022-11-17 08:00:00,ARVA,1.376,1.394,1.332,1.351,1929990.0
2022-11-20 08:00:00,ARVA,1.351,1.368,1.32,1.33,1119287.0
2022-11-21 08:00:00,ARVA,1.322,1.375,1.322,1.35,1250067.0
2022-11-22 08:00:00,ARVA,1.35,1.365,1.342,1.357,788737.0
2022-11-23 08:00:00,ARVA,1.357,1.418,1.357,1.391,3559997.0
2022-11-24 08:00:00,ARVA,1.391,1.407,1.373,1.382,1291806.0
2022-11-27 08:00:00,ARVA,1.382,1.4,1.382,1.386,661859.0
2022-11-28 08:00:00,ARVA,1.386,1.42,1.36,1.382,1723726.0
2022-11-29 08:00:00,ARVA,1.39,1.4,1.365,1.374,1451087.0
2022-11-30 08:00:00,ARVA,1.374,1.4,1.34,1.35,1375458.0
2022-12-01 08:00:00,ARVA,1.346,1.39,1.342,1.368,1491100.0
2022-12-04 08:00:00,ARVA,1.368,1.45,1.368,1.419,4178645.0
2022-12-05 08:00:00,ARVA,1.405,1.439,1.367,1.392,2302756.0
2022-12-06 08:00:00,ARVA,1.392,1.398,1.352,1.366,658356.0
2022-12-07 08:00:00,ARVA,1.366,1.4,1.366,1.374,987353.0
2022-12-08 08:00:00,ARVA,1.374,1.418,1.362,1.393,1130349.0
2022-12-11 08:00:00,ARVA,1.393,1.415,1.391,1.404,1353655.0
2022-12-12 08:00:00,ARVA,1.404,1.434,1.38,1.403,1389649.0
2022-12-13 08:00:00,ARVA,1.403,1.426,1.4,1.421,1109781.0
2022-12-14 08:00:00,ARVA,1.419,1.51,1.419,1.484,4348613.0
2022-12-15 08:00:00,ARVA,1.484,1.508,1.47,1.472,1230523.0
2022-12-18 08:00:00,ARVA,1.472,1.48,1.405,1.44,835463.0
2022-12-19 08:00:00,ARVA,1.44,1.46,1.4,1.414,708019.0
2022-12-20 08:00:00,ARVA,1.414,1.43,1.406,1.418,436329.0
2022-12-21 08:00:00,ARVA,1.418,1.43,1.38,1.386,625161.0
2022-12-22 08:00:00,ARVA,1.385,1.4,1.3,1.342,1103940.0
2022-12-25 08:00:00,ARVA,1.353,1.361,1.29,1.307,496737.0
2022-12-26 08:00:00,ARVA,1.294,1.398,1.294,1.35,530129.0
2022-12-27 08:00:00,ARVA,1.346,1.38,1.33,1.33,185990.0
2022-12-28 08:00:00,ARVA,1.346,1.358,1.337,1.346,74079.0
2022-12-29 08:00:00,ARVA,1.346,1.368,1.346,1.36,399320.0
2023-01-02 08:00:00,ARVA,1.36,1.39,1.36,1.39,289157.0
2023-01-03 08:00:00,ARVA,1.383,1.431,1.383,1.425,880300.0
2023-01-04 08:00:00,ARVA,1.425,1.436,1.355,1.41,1511157.0
2023-01-05 08:00:00,ARVA,1.41,1.418,1.387,1.388,982043.0
2023-01-09 08:00:00,ARVA,1.392,1.414,1.361,1.363,371568.0
2023-01-10 08:00:00,ARVA,1.372,1.395,1.33,1.335,365491.0
2023-01-11 08:00:00,ARVA,1.335,1.367,1.303,1.313,620087.0
2023-01-12 08:00:00,ARVA,1.313,1.345,1.3,1.3,272369.0
2023-01-15 08:00:00,ARVA,1.3,1.32,1.272,1.284,140069.0
2023-01-16 08:00:00,ARVA,1.3,1.324,1.3,1.301,171224.0
2023-01-17 08:00:00,ARVA,1.3,1.34,1.3,1.325,244903.0
2023-01-18 08:00:00,ARVA,1.325,1.365,1.321,1.348,487428.0
2023-01-19 08:00:00,ARVA,1.33,1.355,1.32,1.339,521426.0
2023-01-22 08:00:00,ARVA,1.324,1.354,1.32,1.324,798662.0
2023-01-23 08:00:00,ARVA,1.324,1.347,1.29,1.292,1311014.0
2023-01-24 08:00:00,ARVA,1.292,1.31,1.285,1.285,190474.0
2023-01-25 08:00:00,ARVA,1.292,1.314,1.281,1.293,527479.0
2023-01-29 08:00:00,ARVA,1.295,1.334,1.295,1.303,375557.0
2023-01-30 08:00:00,ARVA,1.303,1.308,1.281,1.29,461449.0
2023-01-31 08:00:00,ARVA,1.29,1.299,1.24,1.242,301159.0
2023-02-01 08:00:00,ARVA,1.25,1.267,1.21,1.227,363622.0
2023-02-02 08:00:00,ARVA,1.227,1.245,1.212,1.212,321622.0
2023-02-05 08:00:00,ARVA,1.22,1.23,1.101,1.23,223774.0
2023-02-06 08:00:00,ARVA,1.22,1.24,1.112,1.22,337619.0
2023-02-07 08:00:00,ARVA,1.22,1.23,1.214,1.214,90976.0
2023-02-08 08:00:00,ARVA,1.22,1.226,1.204,1.204,53692.0
2023-02-09 08:00:00,ARVA,1.22,1.23,1.2,1.22,116207.0
2023-02-12 08:00:00,ARVA,1.22,1.224,1.2,1.206,345060.0
2023-02-13 08:00:00,ARVA,1.206,1.26,1.206,1.22,378551.0
2023-02-14 08:00:00,ARVA,1.22,1.328,1.22,1.293,1144980.0
2023-02-15 08:00:00,ARVA,1.292,1.32,1.261,1.277,404046.0
2023-02-16 08:00:00,ARVA,1.277,1.284,1.262,1.269,411054.0
2023-02-19 08:00:00,ARVA,1.269,1.32,1.268,1.308,693908.0
2023-02-20 08:00:00,ARVA,1.308,1.319,1.272,1.308,205665.0
2023-02-21 08:00:00,ARVA,1.308,1.308,1.265,1.308,232481.0
2023-02-22 08:00:00,ARVA,1.308,1.308,1.253,1.253,327726.0
2023-02-23 08:00:00,ARVA,1.26,1.284,1.242,1.27,297229.0
2023-02-26 08:00:00,ARVA,1.27,1.293,1.261,1.264,211978.0
2023-02-27 08:00:00,ARVA,1.27,1.288,1.26,1.27,209303.0
