date,symbol,open,high,low,close,volume
2022-06-02 08:00:00,ATQA,0.876,0.89,0.858,0.866,764510.0
2022-06-05 08:00:00,ATQA,0.868,0.91,0.868,0.89,1384277.0
2022-06-06 08:00:00,ATQA,0.89,0.905,0.89,0.89,738933.0
2022-06-07 08:00:00,ATQA,0.89,0.915,0.89,0.9,949039.0
2022-06-08 08:00:00,ATQA,0.897,0.975,0.897,0.951,6369814.0
2022-06-09 08:00:00,ATQA,0.952,0.986,0.946,0.957,10175778.0
2022-06-12 08:00:00,ATQA,0.957,0.96,0.932,0.937,5662012.0
2022-06-13 08:00:00,ATQA,0.937,0.944,0.912,0.915,1509114.0
2022-06-14 08:00:00,ATQA,0.915,0.939,0.902,0.927,3551552.0
2022-06-15 08:00:00,ATQA,0.927,0.944,0.927,0.93,1381830.0
2022-06-16 08:00:00,ATQA,0.93,0.942,0.922,0.928,1253641.0
2022-06-19 08:00:00,ATQA,0.928,0.939,0.912,0.916,704967.0
2022-06-20 08:00:00,ATQA,0.916,0.916,0.892,0.903,866988.0
2022-06-21 08:00:00,ATQA,0.899,0.92,0.89,0.899,1123839.0
2022-06-22 08:00:00,ATQA,0.899,0.908,0.89,0.9,1311021.0
2022-06-23 08:00:00,ATQA,0.9,0.905,0.884,0.894,444363.0
2022-06-26 08:00:00,ATQA,0.886,0.902,0.88,0.89,292684.0
2022-06-27 08:00:00,ATQA,0.886,0.886,0.85,0.856,534053.0
2022-06-28 08:00:00,ATQA,0.856,0.873,0.83,0.85,425708.0
2022-06-29 08:00:00,ATQA,0.843,0.866,0.843,0.86,421479.0
2022-07-03 08:00:00,ATQA,0.858,0.87,0.83,0.834,400193.0
2022-07-04 08:00:00,ATQA,0.834,0.867,0.736,0.772,584024.0
2022-07-05 08:00:00,ATQA,0.772,0.805,0.77,0.78,545422.0
2022-07-06 08:00:00,ATQA,0.775,0.781,0.755,0.775,460415.0
2022-07-07 08:00:00,ATQA,0.779,0.808,0.77,0.8,971297.0
2022-07-17 08:00:00,ATQA,0.799,0.802,0.792,0.799,293319.0
2022-07-18 08:00:00,ATQA,0.799,0.829,0.799,0.82,1305640.0
2022-07-19 08:00:00,ATQA,0.82,0.828,0.81,0.82,368999.0
