date,symbol,open,high,low,close,volume
2021-09-05 08:00:00,BIDI,1.447,1.589,1.383,1.447,53150.0
2021-09-06 08:00:00,BIDI,1.447,1.578,1.303,1.447,27272.0
2021-09-07 08:00:00,BIDI,1.447,1.447,1.303,1.447,65356.0
2021-09-08 08:00:00,BIDI,1.447,1.447,1.303,1.447,32800.0
2021-09-09 08:00:00,BIDI,1.447,1.479,1.303,1.447,1862.0
2021-09-12 08:00:00,BIDI,1.447,1.447,1.303,1.447,31749.0
2021-09-13 08:00:00,BIDI,1.447,1.46,1.303,1.447,33820.0
2021-09-14 08:00:00,BIDI,1.447,1.447,1.303,1.447,34775.0
2021-09-15 08:00:00,BIDI,1.447,1.447,1.303,1.303,163832.0
2021-09-16 08:00:00,BIDI,1.303,1.303,1.173,1.254,92347.0
2021-09-19 08:00:00,BIDI,1.254,1.299,1.129,1.248,280868.0
2021-09-20 08:00:00,BIDI,1.248,1.26,1.124,1.248,83249.0
2021-09-21 08:00:00,BIDI,1.248,1.248,1.124,1.132,156686.0
2021-09-22 08:00:00,BIDI,1.132,1.245,1.13,1.24,151160.0
2021-09-23 08:00:00,BIDI,1.24,1.364,1.24,1.364,210679.0
2021-09-26 08:00:00,BIDI,1.364,1.5,1.364,1.5,459436.0
2021-09-27 08:00:00,BIDI,1.5,1.6,1.35,1.35,511499.0
2021-09-28 08:00:00,BIDI,1.35,1.428,1.22,1.332,235115.0
2021-09-29 08:00:00,BIDI,1.332,1.35,1.24,1.332,106910.0
2021-09-30 08:00:00,BIDI,1.332,1.4,1.24,1.285,301112.0
2021-10-03 08:00:00,BIDI,1.285,1.34,1.25,1.25,181625.0
2021-10-04 08:00:00,BIDI,1.25,1.375,1.25,1.37,507127.0
2021-10-05 08:00:00,BIDI,1.37,1.48,1.321,1.352,622922.0
2021-10-06 08:00:00,BIDI,1.352,1.352,1.269,1.352,41135.0
2021-10-10 08:00:00,BIDI,1.352,1.352,1.263,1.352,27000.0
2021-10-11 08:00:00,BIDI,1.352,1.352,1.3,1.352,10000.0
2021-10-12 08:00:00,BIDI,1.352,1.4,1.28,1.383,220151.0
2021-10-13 08:00:00,BIDI,1.383,1.52,1.383,1.495,555658.0
2021-10-14 08:00:00,BIDI,1.495,1.53,1.353,1.446,354060.0
2021-10-17 08:00:00,BIDI,1.446,1.493,1.39,1.42,234392.0
2021-10-18 08:00:00,BIDI,1.42,1.44,1.4,1.42,97537.0
2021-10-19 08:00:00,BIDI,1.42,1.53,1.3,1.42,47471.0
2021-10-20 08:00:00,BIDI,1.42,1.42,1.278,1.281,125848.0
2021-10-24 08:00:00,BIDI,1.281,1.338,1.158,1.181,412000.0
2021-10-25 08:00:00,BIDI,1.181,1.227,1.11,1.116,345959.0
2021-10-26 08:00:00,BIDI,1.116,1.227,1.116,1.17,298373.0
2021-10-27 08:00:00,BIDI,1.17,1.259,1.13,1.141,182364.0
2021-10-28 08:00:00,BIDI,1.141,1.251,1.07,1.22,127057.0
2021-10-31 08:00:00,BIDI,1.22,1.288,1.111,1.22,54024.0
2021-11-01 08:00:00,BIDI,1.22,1.31,1.13,1.22,78645.0
2021-11-02 08:00:00,BIDI,1.22,1.34,1.111,1.22,36360.0
2021-11-03 08:00:00,BIDI,1.22,1.268,1.15,1.22,34450.0
2021-11-04 08:00:00,BIDI,1.22,1.22,1.098,1.22,43006.0
2021-11-07 08:00:00,BIDI,1.22,1.22,1.098,1.22,0.0
2021-11-08 08:00:00,BIDI,1.22,1.223,1.1,1.22,80100.0
2021-11-09 08:00:00,BIDI,1.22,1.22,1.155,1.22,79085.0
2021-11-10 08:00:00,BIDI,1.22,1.22,1.2,1.22,20300.0
2021-11-11 08:00:00,BIDI,1.22,1.22,1.2,1.22,0.0
2021-11-14 08:00:00,BIDI,1.22,1.25,1.11,1.22,7635.0
2021-11-15 08:00:00,BIDI,1.22,1.22,1.122,1.22,121200.0
2021-11-16 08:00:00,BIDI,1.22,1.22,1.101,1.22,25000.0
2021-11-17 08:00:00,BIDI,1.22,1.22,1.15,1.22,36670.0
2021-11-18 08:00:00,BIDI,1.22,1.28,1.1,1.201,586430.0
2021-11-21 08:00:00,BIDI,1.201,1.201,1.09,1.201,1550.0
2021-11-22 08:00:00,BIDI,1.201,1.201,1.09,1.201,0.0
2021-11-23 08:00:00,BIDI,1.201,1.321,1.13,1.317,267891.0
2021-11-24 08:00:00,BIDI,1.317,1.35,1.3,1.301,137288.0
2021-11-25 08:00:00,BIDI,1.301,1.4,1.301,1.391,220000.0
2021-11-28 08:00:00,BIDI,1.391,1.43,1.35,1.4,153208.0
2021-11-29 08:00:00,BIDI,1.4,1.41,1.3,1.4,12500.0
2021-11-30 08:00:00,BIDI,1.4,1.478,1.33,1.393,169292.0
2021-12-01 08:00:00,BIDI,1.393,1.489,1.393,1.393,58386.0
2021-12-02 08:00:00,BIDI,1.393,1.532,1.393,1.502,120462.0
2021-12-05 08:00:00,BIDI,1.502,1.57,1.37,1.559,378000.0
2021-12-06 08:00:00,BIDI,1.559,1.559,1.411,1.559,58144.0
2021-12-07 08:00:00,BIDI,1.559,1.559,1.41,1.559,10900.0
2021-12-08 08:00:00,BIDI,1.559,1.559,1.412,1.559,71200.0
2021-12-09 08:00:00,BIDI,1.559,1.559,1.51,1.559,5155.0
2021-12-12 08:00:00,BIDI,1.559,1.58,1.45,1.533,292825.0
2021-12-13 08:00:00,BIDI,1.533,1.579,1.422,1.533,36010.0
2021-12-14 08:00:00,BIDI,1.533,1.6,1.533,1.59,107000.0
2021-12-15 08:00:00,BIDI,1.59,1.59,1.5,1.59,49368.0
2021-12-16 08:00:00,BIDI,1.59,1.6,1.485,1.558,835825.0
2021-12-19 08:00:00,BIDI,1.558,1.6,1.51,1.526,132899.0
2021-12-20 08:00:00,BIDI,1.526,1.575,1.51,1.526,22900.0
2021-12-21 08:00:00,BIDI,1.526,1.53,1.44,1.526,28700.0
2021-12-22 08:00:00,BIDI,1.526,1.587,1.526,1.526,10000.0
2021-12-23 08:00:00,BIDI,1.526,1.593,1.526,1.526,53600.0
2021-12-26 08:00:00,BIDI,1.526,1.678,1.526,1.678,234966.0
2021-12-27 08:00:00,BIDI,1.678,1.845,1.678,1.845,306342.0
2021-12-28 08:00:00,BIDI,2.029,2.029,1.845,1.845,0.0
2021-12-29 08:00:00,BIDI,1.845,1.845,1.845,1.845,0.0
2021-12-30 08:00:00,BIDI,1.845,1.845,1.845,1.845,0.0
2022-01-02 08:00:00,BIDI,1.845,1.845,1.845,1.845,0.0
2022-01-03 08:00:00,BIDI,1.845,1.845,1.845,1.845,0.0
2022-01-04 08:00:00,BIDI,1.845,1.845,1.845,1.845,0.0
2022-01-05 08:00:00,BIDI,1.845,1.845,1.845,1.845,0.0
2022-01-09 08:00:00,BIDI,1.845,1.845,1.845,1.845,0.0
2022-01-10 08:00:00,BIDI,1.845,1.845,1.845,1.845,0.0
2022-01-11 08:00:00,BIDI,1.845,1.94,1.7,1.843,450745.0
2022-01-12 08:00:00,BIDI,1.843,1.998,1.83,1.98,208650.0
2022-01-13 08:00:00,BIDI,1.98,1.99,1.9,1.976,306035.0
2022-01-16 08:00:00,BIDI,1.976,2.12,1.951,2.077,304551.0
2022-01-17 08:00:00,BIDI,2.077,2.275,2.07,2.217,651437.0
2022-01-18 08:00:00,BIDI,2.217,2.345,2.217,2.303,723030.0
