date,symbol,open,high,low,close,volume
2022-04-14 08:00:00,BIGP,0.115,0.115,0.104,0.104,952883.0
2022-04-17 08:00:00,BIGP,0.115,0.115,0.104,0.104,1234577.0
2022-04-18 08:00:00,BIGP,0.115,0.115,0.104,0.104,157600.0
2022-04-19 08:00:00,BIGP,0.115,0.115,0.115,0.115,1.0
2022-04-20 08:00:00,BIGP,0.115,0.115,0.104,0.105,390155.0
2022-04-21 08:00:00,BIGP,0.115,0.115,0.105,0.115,624512.0
2022-04-26 08:00:00,BIGP,0.115,0.115,0.106,0.107,594905.0
2022-04-27 08:00:00,BIGP,0.115,0.115,0.105,0.107,223843.0
2022-04-28 08:00:00,BIGP,0.115,0.115,0.107,0.11,753566.0
2022-05-08 08:00:00,BIGP,0.115,0.115,0.106,0.112,691535.0
2022-05-09 08:00:00,BIGP,0.115,0.115,0.108,0.108,1077038.0
2022-05-10 08:00:00,BIGP,0.115,0.115,0.11,0.112,77054.0
2022-05-11 08:00:00,BIGP,0.115,0.115,0.11,0.11,496352.0
2022-05-12 08:00:00,BIGP,0.115,0.115,0.105,0.11,779953.0
2022-05-15 08:00:00,BIGP,0.115,0.115,0.104,0.11,1678191.0
2022-05-16 08:00:00,BIGP,0.107,0.112,0.105,0.11,1727708.0
2022-05-17 08:00:00,BIGP,0.11,0.11,0.107,0.107,159397.0
2022-05-18 08:00:00,BIGP,0.11,0.111,0.106,0.111,418000.0
2022-05-19 08:00:00,BIGP,0.11,0.111,0.107,0.107,121377.0
2022-05-22 08:00:00,BIGP,0.11,0.11,0.107,0.11,308400.0
2022-05-23 08:00:00,BIGP,0.11,0.11,0.108,0.108,444505.0
2022-05-24 08:00:00,BIGP,0.11,0.11,0.106,0.108,308773.0
2022-05-25 08:00:00,BIGP,0.11,0.11,0.105,0.105,481499.0
2022-05-26 08:00:00,BIGP,0.11,0.11,0.104,0.106,159915.0
2022-05-29 08:00:00,BIGP,0.11,0.11,0.099,0.1,1504952.0
2022-05-30 08:00:00,BIGP,0.1,0.101,0.097,0.099,1533012.0
2022-05-31 08:00:00,BIGP,0.099,0.102,0.098,0.1,944991.0
2022-06-01 08:00:00,BIGP,0.099,0.102,0.098,0.099,260803.0
2022-06-02 08:00:00,BIGP,0.099,0.101,0.099,0.1,57943.0
2022-06-05 08:00:00,BIGP,0.099,0.103,0.097,0.102,451067.0
2022-06-06 08:00:00,BIGP,0.099,0.108,0.099,0.108,4998940.0
2022-06-07 08:00:00,BIGP,0.108,0.115,0.107,0.108,4387221.0
2022-06-08 08:00:00,BIGP,0.108,0.113,0.108,0.113,2436823.0
2022-06-09 08:00:00,BIGP,0.111,0.116,0.11,0.111,3208575.0
2022-06-12 08:00:00,BIGP,0.114,0.114,0.109,0.109,665594.0
2022-06-13 08:00:00,BIGP,0.114,0.114,0.108,0.11,864998.0
2022-06-14 08:00:00,BIGP,0.114,0.114,0.109,0.11,778119.0
2022-06-15 08:00:00,BIGP,0.114,0.114,0.11,0.11,648791.0
2022-06-16 08:00:00,BIGP,0.114,0.114,0.109,0.111,297642.0
2022-06-19 08:00:00,BIGP,0.114,0.114,0.107,0.107,107150.0
2022-06-20 08:00:00,BIGP,0.114,0.114,0.105,0.106,249977.0
2022-06-21 08:00:00,BIGP,0.114,0.114,0.105,0.109,79516.0
2022-06-22 08:00:00,BIGP,0.114,0.114,0.105,0.105,321045.0
2022-06-23 08:00:00,BIGP,0.114,0.114,0.105,0.108,50917.0
2022-06-26 08:00:00,BIGP,0.114,0.114,0.105,0.109,201017.0
2022-06-27 08:00:00,BIGP,0.114,0.114,0.104,0.106,979490.0
2022-06-28 08:00:00,BIGP,0.114,0.114,0.103,0.106,638759.0
2022-06-29 08:00:00,BIGP,0.114,0.114,0.103,0.103,1320511.0
2022-07-03 08:00:00,BIGP,0.114,0.114,0.103,0.103,307594.0
2022-07-04 08:00:00,BIGP,0.114,0.114,0.103,0.103,319700.0
2022-07-05 08:00:00,BIGP,0.114,0.114,0.103,0.103,90733.0
2022-07-07 08:00:00,BIGP,0.114,0.114,0.103,0.103,879539.0
2022-07-17 08:00:00,BIGP,0.114,0.114,0.103,0.103,30998.0
2022-07-18 08:00:00,BIGP,0.114,0.114,0.103,0.103,40500.0
2022-07-19 08:00:00,BIGP,0.114,0.114,0.103,0.103,54000.0
2022-07-20 08:00:00,BIGP,0.114,0.114,0.103,0.103,519140.0
2022-07-21 08:00:00,BIGP,0.114,0.114,0.103,0.103,2924408.0
2022-07-24 08:00:00,BIGP,0.103,0.103,0.093,0.093,26859138.0
2022-07-25 08:00:00,BIGP,0.093,0.095,0.084,0.089,20594375.0
2022-07-26 08:00:00,BIGP,0.089,0.093,0.085,0.091,5668677.0
2022-07-27 08:00:00,BIGP,0.091,0.092,0.088,0.089,3303658.0
2022-07-28 08:00:00,BIGP,0.089,0.095,0.089,0.092,9153944.0
2022-07-31 08:00:00,BIGP,0.092,0.096,0.092,0.094,4465096.0
2022-08-01 08:00:00,BIGP,0.094,0.096,0.09,0.091,7572155.0
2022-08-02 08:00:00,BIGP,0.091,0.097,0.09,0.095,6663339.0
2022-08-03 08:00:00,BIGP,0.095,0.098,0.094,0.096,5366613.0
2022-08-04 08:00:00,BIGP,0.095,0.097,0.094,0.095,1405820.0
2022-08-07 08:00:00,BIGP,0.095,0.098,0.094,0.096,6480974.0
2022-08-08 08:00:00,BIGP,0.096,0.097,0.094,0.094,6361677.0
2022-08-09 08:00:00,BIGP,0.094,0.096,0.091,0.091,9442697.0
2022-08-10 08:00:00,BIGP,0.091,0.093,0.09,0.091,3648375.0
2022-08-11 08:00:00,BIGP,0.091,0.093,0.09,0.091,2473939.0
2022-08-14 08:00:00,BIGP,0.091,0.093,0.089,0.092,2864306.0
2022-08-15 08:00:00,BIGP,0.092,0.096,0.092,0.093,8945260.0
2022-08-16 08:00:00,BIGP,0.093,0.096,0.091,0.091,5629446.0
2022-08-17 08:00:00,BIGP,0.092,0.093,0.091,0.092,2044080.0
2022-08-18 08:00:00,BIGP,0.092,0.092,0.091,0.091,1679219.0
2022-08-21 08:00:00,BIGP,0.091,0.093,0.09,0.092,1971265.0
2022-08-22 08:00:00,BIGP,0.092,0.092,0.091,0.091,1687036.0
2022-08-23 08:00:00,BIGP,0.091,0.093,0.091,0.092,4952515.0
2022-08-24 08:00:00,BIGP,0.092,0.092,0.09,0.09,872146.0
2022-08-25 08:00:00,BIGP,0.092,0.092,0.09,0.092,576245.0
2022-08-28 08:00:00,BIGP,0.092,0.092,0.09,0.091,1245420.0
2022-08-29 08:00:00,BIGP,0.092,0.092,0.087,0.089,4309640.0
2022-08-30 08:00:00,BIGP,0.089,0.091,0.089,0.089,1956356.0
2022-08-31 08:00:00,BIGP,0.089,0.09,0.087,0.088,1727309.0
2022-09-01 08:00:00,BIGP,0.088,0.09,0.088,0.089,1629034.0
2022-09-04 08:00:00,BIGP,0.088,0.089,0.088,0.088,505166.0
2022-09-05 08:00:00,BIGP,0.088,0.09,0.088,0.09,1707769.0
2022-09-06 08:00:00,BIGP,0.089,0.09,0.088,0.088,2576187.0
2022-09-07 08:00:00,BIGP,0.088,0.089,0.087,0.088,1365175.0
2022-09-08 08:00:00,BIGP,0.088,0.089,0.087,0.088,2639383.0
2022-09-11 08:00:00,BIGP,0.088,0.089,0.087,0.089,627866.0
2022-09-12 08:00:00,BIGP,0.088,0.089,0.086,0.089,4213077.0
2022-09-13 08:00:00,BIGP,0.089,0.089,0.088,0.088,448350.0
2022-09-14 08:00:00,BIGP,0.089,0.089,0.086,0.086,2087604.0
2022-09-15 08:00:00,BIGP,0.086,0.087,0.086,0.087,1574939.0
2022-09-18 08:00:00,BIGP,0.086,0.089,0.085,0.085,4441620.0
2022-09-19 08:00:00,BIGP,0.085,0.086,0.081,0.084,2886590.0
2022-09-20 08:00:00,BIGP,0.084,0.087,0.084,0.085,1961350.0
2022-09-21 08:00:00,BIGP,0.086,0.094,0.085,0.092,19751137.0
2022-09-22 08:00:00,BIGP,0.092,0.101,0.09,0.101,30313623.0
2022-09-25 08:00:00,BIGP,0.101,0.111,0.101,0.111,14147130.0
2022-09-26 08:00:00,BIGP,0.111,0.122,0.111,0.116,63905288.0
2022-09-27 08:00:00,BIGP,0.116,0.116,0.105,0.107,27294437.0
2022-09-28 08:00:00,BIGP,0.107,0.109,0.1,0.1,13741536.0
2022-09-29 08:00:00,BIGP,0.1,0.11,0.1,0.11,24714050.0
2022-10-02 08:00:00,BIGP,0.11,0.119,0.108,0.11,25278888.0
2022-10-03 08:00:00,BIGP,0.11,0.113,0.103,0.106,13298524.0
2022-10-04 08:00:00,BIGP,0.106,0.11,0.103,0.107,8989201.0
2022-10-05 08:00:00,BIGP,0.107,0.114,0.105,0.111,26498030.0
2022-10-09 08:00:00,BIGP,0.111,0.115,0.106,0.11,18423315.0
2022-10-10 08:00:00,BIGP,0.11,0.111,0.105,0.106,8181538.0
2022-10-11 08:00:00,BIGP,0.106,0.107,0.101,0.102,7289722.0
2022-10-12 08:00:00,BIGP,0.102,0.103,0.098,0.099,5189910.0
2022-10-13 08:00:00,BIGP,0.099,0.101,0.097,0.099,5894634.0
2022-10-16 08:00:00,BIGP,0.099,0.104,0.098,0.099,10393090.0
2022-10-17 08:00:00,BIGP,0.099,0.102,0.098,0.1,10696093.0
2022-10-18 08:00:00,BIGP,0.1,0.101,0.098,0.098,8048893.0
2022-10-19 08:00:00,BIGP,0.098,0.101,0.097,0.098,4981947.0
2022-10-20 08:00:00,BIGP,0.098,0.1,0.093,0.097,13708374.0
2022-10-23 08:00:00,BIGP,0.097,0.1,0.097,0.099,5948895.0
2022-10-24 08:00:00,BIGP,0.098,0.099,0.095,0.097,4988835.0
2022-10-25 08:00:00,BIGP,0.097,0.097,0.089,0.092,11813990.0
2022-10-26 08:00:00,BIGP,0.092,0.095,0.092,0.094,3281559.0
2022-10-27 08:00:00,BIGP,0.094,0.095,0.093,0.093,3450301.0
2022-10-30 08:00:00,BIGP,0.093,0.095,0.09,0.09,6184647.0
2022-10-31 08:00:00,BIGP,0.091,0.093,0.089,0.092,4065025.0
2022-11-01 08:00:00,BIGP,0.092,0.093,0.09,0.092,1118784.0
2022-11-02 08:00:00,BIGP,0.092,0.092,0.089,0.089,3383124.0
2022-11-03 08:00:00,BIGP,0.089,0.09,0.088,0.088,4707856.0
2022-11-06 08:00:00,BIGP,0.088,0.09,0.087,0.089,4825772.0
2022-11-07 08:00:00,BIGP,0.089,0.091,0.087,0.088,5795003.0
2022-11-08 08:00:00,BIGP,0.088,0.09,0.087,0.087,2340262.0
2022-11-09 08:00:00,BIGP,0.087,0.089,0.085,0.087,2528961.0
2022-11-10 08:00:00,BIGP,0.088,0.089,0.087,0.087,3218970.0
2022-11-13 08:00:00,BIGP,0.087,0.09,0.087,0.089,2095777.0
2022-11-14 08:00:00,BIGP,0.089,0.089,0.087,0.089,1914664.0
2022-11-15 08:00:00,BIGP,0.089,0.097,0.087,0.094,12759601.0
2022-11-16 08:00:00,BIGP,0.093,0.096,0.091,0.094,4202498.0
2022-11-17 08:00:00,BIGP,0.094,0.095,0.092,0.093,3200227.0
2022-11-20 08:00:00,BIGP,0.093,0.096,0.093,0.093,1982821.0
2022-11-21 08:00:00,BIGP,0.093,0.093,0.091,0.092,2598222.0
2022-11-22 08:00:00,BIGP,0.092,0.093,0.089,0.091,1677300.0
2022-11-23 08:00:00,BIGP,0.091,0.094,0.091,0.092,1866558.0
2022-11-24 08:00:00,BIGP,0.092,0.092,0.09,0.091,2246667.0
2022-11-27 08:00:00,BIGP,0.091,0.095,0.091,0.094,8867614.0
2022-11-28 08:00:00,BIGP,0.094,0.095,0.092,0.092,4838031.0
2022-11-29 08:00:00,BIGP,0.092,0.093,0.091,0.092,1610342.0
2022-11-30 08:00:00,BIGP,0.092,0.094,0.091,0.093,5332465.0
2022-12-01 08:00:00,BIGP,0.093,0.096,0.092,0.093,2894619.0
2022-12-04 08:00:00,BIGP,0.094,0.098,0.093,0.097,7281679.0
2022-12-05 08:00:00,BIGP,0.097,0.102,0.097,0.098,13276386.0
2022-12-06 08:00:00,BIGP,0.098,0.099,0.094,0.095,5548707.0
2022-12-07 08:00:00,BIGP,0.095,0.098,0.095,0.096,1774840.0
2022-12-08 08:00:00,BIGP,0.096,0.097,0.095,0.096,1026829.0
2022-12-11 08:00:00,BIGP,0.096,0.097,0.092,0.093,6742865.0
2022-12-12 08:00:00,BIGP,0.093,0.094,0.092,0.093,982361.0
2022-12-13 08:00:00,BIGP,0.093,0.095,0.092,0.092,1920643.0
2022-12-14 08:00:00,BIGP,0.092,0.095,0.092,0.093,1349736.0
2022-12-15 08:00:00,BIGP,0.092,0.097,0.092,0.095,10909160.0
2022-12-18 08:00:00,BIGP,0.095,0.097,0.095,0.095,1935983.0
2022-12-19 08:00:00,BIGP,0.095,0.097,0.094,0.095,2692745.0
2022-12-20 08:00:00,BIGP,0.095,0.096,0.094,0.094,2087972.0
2022-12-21 08:00:00,BIGP,0.094,0.096,0.093,0.094,1419663.0
2022-12-22 08:00:00,BIGP,0.094,0.096,0.093,0.093,757461.0
2022-12-25 08:00:00,BIGP,0.094,0.095,0.091,0.093,735591.0
2022-12-26 08:00:00,BIGP,0.094,0.094,0.091,0.092,1039265.0
2022-12-27 08:00:00,BIGP,0.094,0.094,0.091,0.093,1847666.0
2022-12-28 08:00:00,BIGP,0.093,0.093,0.091,0.092,2053264.0
2022-12-29 08:00:00,BIGP,0.092,0.093,0.091,0.092,1450800.0
2023-01-02 08:00:00,BIGP,0.092,0.095,0.092,0.094,2317456.0
2023-01-03 08:00:00,BIGP,0.094,0.098,0.093,0.097,8051793.0
2023-01-04 08:00:00,BIGP,0.097,0.097,0.093,0.095,5586604.0
2023-01-05 08:00:00,BIGP,0.095,0.098,0.095,0.095,4881010.0
2023-01-09 08:00:00,BIGP,0.095,0.099,0.095,0.095,6057265.0
2023-01-10 08:00:00,BIGP,0.096,0.096,0.094,0.094,1123555.0
2023-01-11 08:00:00,BIGP,0.096,0.096,0.093,0.093,3402160.0
2023-01-12 08:00:00,BIGP,0.093,0.095,0.09,0.093,1483360.0
2023-01-15 08:00:00,BIGP,0.093,0.094,0.091,0.093,1074857.0
2023-01-16 08:00:00,BIGP,0.093,0.094,0.092,0.093,1468655.0
2023-01-17 08:00:00,BIGP,0.093,0.094,0.093,0.093,289797.0
2023-01-18 08:00:00,BIGP,0.093,0.096,0.093,0.096,4627771.0
2023-01-19 08:00:00,BIGP,0.095,0.104,0.095,0.101,11741714.0
2023-01-22 08:00:00,BIGP,0.101,0.11,0.101,0.109,12961683.0
2023-01-23 08:00:00,BIGP,0.109,0.119,0.109,0.119,32105573.0
2023-01-24 08:00:00,BIGP,0.119,0.125,0.108,0.112,16217294.0
