date,symbol,open,high,low,close,volume
2022-06-22 08:00:00,BINV,8.73,8.85,8.41,8.41,19033.0
2022-06-23 08:00:00,BINV,8.73,8.73,8.2,8.73,7833.0
2022-06-26 08:00:00,BINV,8.73,8.8,8.56,8.8,31970.0
2022-06-27 08:00:00,BINV,8.73,8.75,8.4,8.73,22387.0
2022-06-28 08:00:00,BINV,8.73,8.73,8.22,8.73,15788.0
2022-06-29 08:00:00,BINV,8.73,8.73,8.25,8.73,31855.0
2022-07-03 08:00:00,BINV,8.73,8.73,8.3,8.3,16510.0
2022-07-04 08:00:00,BINV,8.73,8.73,7.8,7.99,32912.0
2022-07-05 08:00:00,BINV,8.73,10.47,8.0,10.47,2226098.0
2022-07-06 08:00:00,BINV,10.47,10.68,9.72,9.72,90299.0
2022-07-07 08:00:00,BINV,9.83,10.5,9.26,9.3,114202.0
2022-07-17 08:00:00,BINV,9.35,9.8,9.16,9.6,30311.0
2022-07-18 08:00:00,BINV,9.35,10.2,9.35,9.94,69228.0
2022-07-19 08:00:00,BINV,9.94,10.08,9.72,9.92,69163.0
2022-07-20 08:00:00,BINV,9.99,10.18,9.81,9.9,559760.0
2022-07-21 08:00:00,BINV,9.83,10.37,9.83,9.87,62002.0
2022-07-24 08:00:00,BINV,9.89,9.99,9.73,9.73,18215.0
2022-07-25 08:00:00,BINV,9.89,9.89,9.520001,9.6,33117.0
2022-07-26 08:00:00,BINV,9.6,9.6,9.34,9.6,78463.0
2022-07-27 08:00:00,BINV,9.56,9.79,9.39,9.39,42398.0
2022-07-28 08:00:00,BINV,9.49,10.25,9.270001,10.07,205474.0
2022-07-31 08:00:00,BINV,10.07,10.99,10.07,10.58,212386.0
2022-08-01 08:00:00,BINV,10.58,10.79,9.86,9.91,144417.0
2022-08-02 08:00:00,BINV,9.95,10.36,9.61,9.73,33650.0
2022-08-03 08:00:00,BINV,9.75,10.45,9.75,10.02,89527.0
2022-08-04 08:00:00,BINV,10.12,10.47,10.12,10.47,106082.0
2022-08-07 08:00:00,BINV,10.41,10.69,10.04,10.15,86830.0
2022-08-08 08:00:00,BINV,10.15,10.7,10.01,10.04,64302.0
2022-08-09 08:00:00,BINV,10.04,10.25,9.9,9.94,94644.0
2022-08-10 08:00:00,BINV,9.94,10.15,9.82,10.03,52217.0
2022-08-11 08:00:00,BINV,10.04,10.16,9.75,10.02,146306.0
2022-08-14 08:00:00,BINV,10.01,10.1,9.63,10.09,295387.0
2022-08-15 08:00:00,BINV,9.97,10.24,9.83,9.91,163906.0
2022-08-16 08:00:00,BINV,9.91,10.14,9.7,9.8,74831.0
2022-08-17 08:00:00,BINV,9.8,10.8,9.62,10.64,331292.0
2022-08-18 08:00:00,BINV,10.75,12.0,10.33,11.21,1077204.0
2022-08-21 08:00:00,BINV,11.21,11.6,11.02,11.19,327062.0
2022-08-22 08:00:00,BINV,11.19,12.4,11.09,11.91,1221171.0
2022-08-23 08:00:00,BINV,11.91,12.21,11.56,11.65,542002.0
2022-08-24 08:00:00,BINV,11.65,12.24,11.53,11.64,292662.0
2022-08-25 08:00:00,BINV,11.64,12.35,11.64,11.86,395600.0
2022-08-28 08:00:00,BINV,11.86,12.7,11.8,12.19,397201.0
2022-08-29 08:00:00,BINV,12.19,12.6,11.5,11.5,378260.0
2022-08-30 08:00:00,BINV,11.57,11.85,11.27,11.34,108226.0
2022-08-31 08:00:00,BINV,11.33,11.34,11.01,11.02,88929.0
2022-09-01 08:00:00,BINV,11.05,11.6,10.72,11.0,241265.0
2022-09-04 08:00:00,BINV,11.0,11.24,10.76,11.2,53445.0
2022-09-05 08:00:00,BINV,11.08,11.6,11.08,11.27,174189.0
2022-09-06 08:00:00,BINV,11.27,11.8,11.27,11.61,72556.0
2022-09-07 08:00:00,BINV,11.61,11.8,11.3,11.3,63890.0
2022-09-08 08:00:00,BINV,11.31,11.6,11.22,11.5,43379.0
2022-09-11 08:00:00,BINV,11.47,11.7,11.3,11.3,27382.0
2022-09-12 08:00:00,BINV,11.35,11.79,11.0,11.01,205568.0
2022-09-13 08:00:00,BINV,11.01,11.39,11.0,11.17,24811.0
2022-09-14 08:00:00,BINV,11.01,11.2,11.0,11.13,55680.0
2022-09-15 08:00:00,BINV,11.13,11.75,11.1,11.3,323441.0
2022-09-18 08:00:00,BINV,11.29,11.49,10.51,10.52,140516.0
2022-09-19 08:00:00,BINV,10.56,11.01,10.42,10.93,129570.0
2022-09-20 08:00:00,BINV,10.93,11.45,10.73,11.25,117354.0
2022-09-21 08:00:00,BINV,11.06,12.12,11.06,11.78,277749.0
2022-09-22 08:00:00,BINV,11.78,11.79,11.3,11.41,70102.0
2022-09-25 08:00:00,BINV,11.41,11.75,11.33,11.41,7140.0
2022-09-26 08:00:00,BINV,11.41,12.0,11.41,11.67,95390.0
2022-09-27 08:00:00,BINV,11.67,12.0,11.67,11.8,197166.0
2022-09-28 08:00:00,BINV,11.78,12.04,11.62,11.78,10346.0
2022-09-29 08:00:00,BINV,11.78,12.06,11.51,11.98,81600.0
2022-10-02 08:00:00,BINV,11.97,11.97,11.43,11.43,16778.0
2022-10-03 08:00:00,BINV,11.97,11.97,11.4,11.79,17866.0
2022-10-04 08:00:00,BINV,11.97,13.1,11.97,12.13,833035.0
2022-10-05 08:00:00,BINV,12.13,12.4,11.36,11.51,676437.0
2022-10-09 08:00:00,BINV,11.51,11.89,11.5,11.64,165379.0
2022-10-10 08:00:00,BINV,11.64,12.2,11.64,11.95,1113352.0
2022-10-11 08:00:00,BINV,11.95,12.19,11.25,11.45,507084.0
2022-10-12 08:00:00,BINV,11.45,11.68,11.25,11.3,172711.0
2022-10-13 08:00:00,BINV,11.3,11.6,11.25,11.3,145382.0
2022-10-16 08:00:00,BINV,11.3,11.5,11.3,11.4,207094.0
2022-10-17 08:00:00,BINV,11.4,11.7,11.4,11.49,207423.0
2022-10-18 08:00:00,BINV,11.49,11.69,11.17,11.2,551738.0
2022-10-19 08:00:00,BINV,11.2,11.3,10.96,11.1,431381.0
2022-10-20 08:00:00,BINV,11.1,11.8,11.0,11.51,732651.0
2022-10-23 08:00:00,BINV,11.51,11.77,11.34,11.36,158260.0
2022-10-24 08:00:00,BINV,11.35,11.5,11.1,11.12,220385.0
2022-10-25 08:00:00,BINV,11.12,11.2,11.0,11.01,305435.0
2022-10-26 08:00:00,BINV,11.01,11.54,11.01,11.24,575206.0
