date,symbol,open,high,low,close,volume
2022-06-22 08:00:00,CCAP,1.233,1.235,1.204,1.207,4669319.0
2022-06-23 08:00:00,CCAP,1.207,1.207,1.175,1.18,6076680.0
2022-06-26 08:00:00,CCAP,1.18,1.205,1.176,1.181,2288118.0
2022-06-27 08:00:00,CCAP,1.181,1.197,1.162,1.175,2698928.0
2022-06-28 08:00:00,CCAP,1.175,1.185,1.126,1.148,4044457.0
2022-06-29 08:00:00,CCAP,1.148,1.179,1.14,1.153,2653800.0
2022-07-03 08:00:00,CCAP,1.153,1.154,1.085,1.095,5406935.0
2022-07-04 08:00:00,CCAP,1.095,1.099,0.98,0.984,10452530.0
2022-07-05 08:00:00,CCAP,0.984,1.03,0.984,1.009,8282115.0
2022-07-06 08:00:00,CCAP,1.009,1.02,0.976,1.005,2490856.0
2022-07-07 08:00:00,CCAP,1.005,1.045,1.005,1.03,3805554.0
2022-07-17 08:00:00,CCAP,1.03,1.05,0.991,1.01,2364544.0
2022-07-18 08:00:00,CCAP,1.01,1.045,1.01,1.024,3329482.0
2022-07-19 08:00:00,CCAP,1.024,1.049,1.02,1.043,2935632.0
2022-07-20 08:00:00,CCAP,1.043,1.1,1.043,1.1,6412090.0
2022-07-21 08:00:00,CCAP,1.087,1.2,1.087,1.194,23410561.0
2022-07-24 08:00:00,CCAP,1.194,1.244,1.18,1.2,9456714.0
2022-07-25 08:00:00,CCAP,1.2,1.21,1.172,1.178,1761731.0
2022-07-26 08:00:00,CCAP,1.178,1.234,1.152,1.22,5475795.0
2022-07-27 08:00:00,CCAP,1.22,1.234,1.18,1.18,3713163.0
2022-07-28 08:00:00,CCAP,1.189,1.21,1.189,1.2,2132602.0
2022-07-31 08:00:00,CCAP,1.2,1.227,1.2,1.217,2035349.0
2022-08-01 08:00:00,CCAP,1.217,1.227,1.191,1.197,2304843.0
2022-08-02 08:00:00,CCAP,1.197,1.29,1.187,1.264,11243477.0
2022-08-03 08:00:00,CCAP,1.264,1.295,1.264,1.275,4208989.0
2022-08-04 08:00:00,CCAP,1.271,1.29,1.27,1.275,17249009.0
2022-08-07 08:00:00,CCAP,1.275,1.306,1.26,1.291,31863234.0
2022-08-08 08:00:00,CCAP,1.291,1.31,1.24,1.249,45944218.0
2022-08-09 08:00:00,CCAP,1.249,1.263,1.191,1.191,19742287.0
2022-08-10 08:00:00,CCAP,1.191,1.224,1.188,1.197,8128298.0
2022-08-11 08:00:00,CCAP,1.197,1.229,1.195,1.201,21374911.0
2022-08-14 08:00:00,CCAP,1.201,1.246,1.196,1.196,36706254.0
2022-08-15 08:00:00,CCAP,1.196,1.215,1.167,1.173,22650652.0
2022-08-16 08:00:00,CCAP,1.173,1.214,1.171,1.186,13662227.0
2022-08-17 08:00:00,CCAP,1.186,1.237,1.186,1.219,25136421.0
2022-08-18 08:00:00,CCAP,1.219,1.251,1.219,1.22,22342395.0
2022-08-21 08:00:00,CCAP,1.22,1.34,1.22,1.338,74482074.0
2022-08-22 08:00:00,CCAP,1.338,1.356,1.307,1.32,37872921.0
2022-08-23 08:00:00,CCAP,1.32,1.345,1.284,1.291,23299923.0
2022-08-24 08:00:00,CCAP,1.291,1.329,1.269,1.272,17525392.0
2022-08-25 08:00:00,CCAP,1.272,1.319,1.272,1.305,19284445.0
2022-08-28 08:00:00,CCAP,1.305,1.32,1.288,1.295,22044593.0
2022-08-29 08:00:00,CCAP,1.295,1.376,1.295,1.341,77422906.0
2022-08-30 08:00:00,CCAP,1.341,1.383,1.341,1.356,40630934.0
2022-08-31 08:00:00,CCAP,1.356,1.393,1.349,1.35,41698360.0
2022-09-01 08:00:00,CCAP,1.35,1.365,1.303,1.306,27312126.0
2022-09-04 08:00:00,CCAP,1.312,1.316,1.286,1.31,16449854.0
2022-09-05 08:00:00,CCAP,1.31,1.407,1.31,1.4,73867905.0
2022-09-06 08:00:00,CCAP,1.4,1.421,1.383,1.387,42270349.0
2022-09-07 08:00:00,CCAP,1.387,1.45,1.378,1.414,71123654.0
2022-09-08 08:00:00,CCAP,1.414,1.443,1.395,1.402,27569901.0
2022-09-11 08:00:00,CCAP,1.402,1.432,1.388,1.394,20434221.0
2022-09-12 08:00:00,CCAP,1.394,1.445,1.387,1.394,32916963.0
2022-09-13 08:00:00,CCAP,1.394,1.408,1.353,1.357,21842430.0
2022-09-14 08:00:00,CCAP,1.357,1.357,1.314,1.32,13621245.0
2022-09-15 08:00:00,CCAP,1.32,1.33,1.285,1.286,19588161.0
2022-09-18 08:00:00,CCAP,1.286,1.291,1.171,1.191,21221572.0
2022-09-19 08:00:00,CCAP,1.191,1.23,1.16,1.223,9976335.0
2022-09-20 08:00:00,CCAP,1.223,1.239,1.192,1.22,8634581.0
2022-09-21 08:00:00,CCAP,1.22,1.25,1.202,1.213,8973088.0
2022-09-22 08:00:00,CCAP,1.213,1.236,1.19,1.216,7080873.0
2022-09-25 08:00:00,CCAP,1.216,1.22,1.195,1.206,7847553.0
2022-09-26 08:00:00,CCAP,1.206,1.235,1.206,1.216,5977729.0
2022-09-27 08:00:00,CCAP,1.216,1.29,1.216,1.272,28442840.0
2022-09-28 08:00:00,CCAP,1.272,1.28,1.232,1.238,18311540.0
2022-09-29 08:00:00,CCAP,1.238,1.335,1.238,1.313,47315198.0
2022-10-02 08:00:00,CCAP,1.313,1.356,1.302,1.314,26221942.0
2022-10-03 08:00:00,CCAP,1.314,1.332,1.29,1.304,19091300.0
2022-10-04 08:00:00,CCAP,1.304,1.35,1.304,1.336,19118212.0
2022-10-05 08:00:00,CCAP,1.336,1.386,1.336,1.378,37962968.0
2022-10-09 08:00:00,CCAP,1.378,1.41,1.367,1.405,51522592.0
2022-10-10 08:00:00,CCAP,1.405,1.419,1.367,1.376,39684713.0
2022-10-11 08:00:00,CCAP,1.376,1.383,1.325,1.333,30307589.0
2022-10-12 08:00:00,CCAP,1.333,1.35,1.304,1.312,27683318.0
2022-10-13 08:00:00,CCAP,1.312,1.343,1.312,1.331,19237254.0
2022-10-16 08:00:00,CCAP,1.331,1.36,1.33,1.34,19289234.0
2022-10-17 08:00:00,CCAP,1.34,1.36,1.334,1.339,17801639.0
2022-10-18 08:00:00,CCAP,1.339,1.36,1.339,1.345,12586906.0
2022-10-19 08:00:00,CCAP,1.345,1.356,1.317,1.32,9940887.0
2022-10-20 08:00:00,CCAP,1.32,1.347,1.32,1.329,8997240.0
2022-10-23 08:00:00,CCAP,1.329,1.37,1.329,1.341,18136811.0
2022-10-24 08:00:00,CCAP,1.341,1.352,1.32,1.323,9245010.0
2022-10-25 08:00:00,CCAP,1.323,1.342,1.311,1.321,15569643.0
2022-10-26 08:00:00,CCAP,1.321,1.351,1.32,1.338,19523147.0
2022-10-27 08:00:00,CCAP,1.338,1.38,1.336,1.337,40766203.0
2022-10-30 08:00:00,CCAP,1.337,1.354,1.292,1.293,27706341.0
2022-10-31 08:00:00,CCAP,1.293,1.309,1.273,1.307,23525093.0
2022-11-01 08:00:00,CCAP,1.307,1.329,1.296,1.311,17046334.0
2022-11-02 08:00:00,CCAP,1.311,1.32,1.28,1.281,13050060.0
2022-11-03 08:00:00,CCAP,1.281,1.294,1.267,1.277,7157873.0
2022-11-06 08:00:00,CCAP,1.29499996,1.31500006,1.27499998,1.28400004,12729680.0
2022-11-07 08:00:00,CCAP,1.284,1.299,1.275,1.279,7591126.0
2022-11-08 08:00:00,CCAP,1.279,1.3,1.264,1.269,14403133.0
2022-11-09 08:00:00,CCAP,1.269,1.289,1.264,1.266,7888307.0
2022-11-10 08:00:00,CCAP,1.266,1.29,1.266,1.274,9785406.0
2022-11-13 08:00:00,CCAP,1.274,1.345,1.274,1.33,34503361.0
2022-11-14 08:00:00,CCAP,1.33,1.333,1.301,1.322,16094754.0
2022-11-15 08:00:00,CCAP,1.322,1.339,1.311,1.315,13327611.0
2022-11-16 08:00:00,CCAP,1.315,1.363,1.315,1.36,29212524.0
2022-11-17 08:00:00,CCAP,1.36,1.38,1.351,1.356,36798080.0
2022-11-20 08:00:00,CCAP,1.356,1.378,1.352,1.357,15209062.0
2022-11-21 08:00:00,CCAP,1.357,1.377,1.333,1.339,14727928.0
2022-11-22 08:00:00,CCAP,1.339,1.357,1.327,1.346,11854858.0
2022-11-23 08:00:00,CCAP,1.346,1.398,1.346,1.377,40664839.0
2022-11-24 08:00:00,CCAP,1.377,1.39,1.364,1.373,11256147.0
