date,symbol,open,high,low,close,volume
2022-07-19 08:00:00,CIEB,4.99,5.12,4.9,5.02,987923.0
2022-07-20 08:00:00,CIEB,5.02,5.1,4.98,5.01,182674.0
2022-07-21 08:00:00,CIEB,5.01,5.15,4.95,5.12,758257.0
2022-07-24 08:00:00,CIEB,5.12,5.53,5.12,5.43,660015.0
2022-07-25 08:00:00,CIEB,5.43,5.49,5.2,5.33,2285421.0
2022-07-26 08:00:00,CIEB,5.33,5.5,5.3,5.43,1305230.0
2022-07-27 08:00:00,CIEB,5.43,5.5,5.34,5.41,113368.0
2022-07-28 08:00:00,CIEB,5.42,5.44,5.33,5.34,400593.0
2022-07-31 08:00:00,CIEB,5.34,5.42,5.25,5.34,434816.0
2022-08-01 08:00:00,CIEB,5.34,5.41,5.27,5.31,354773.0
2022-08-02 08:00:00,CIEB,5.31,5.7,5.26,5.7,387645.0
2022-08-03 08:00:00,CIEB,5.58,5.89,5.58,5.8,802025.0
2022-08-04 08:00:00,CIEB,5.74,6.39,5.74,6.39,2496636.0
2022-08-07 08:00:00,CIEB,6.15,6.65,6.15,6.41,550911.0
2022-08-08 08:00:00,CIEB,6.41,6.45,6.2,6.23,125503.0
2022-08-09 08:00:00,CIEB,6.23,6.28,6.1,6.12,659735.0
2022-08-10 08:00:00,CIEB,6.12,6.14,5.93,5.97,429086.0
2022-08-11 08:00:00,CIEB,6.0,6.15,5.99,6.12,102120.0
2022-08-14 08:00:00,CIEB,6.12,6.25,6.02,6.15,121265.0
2022-08-15 08:00:00,CIEB,6.04,6.22,5.95,5.99,265651.0
2022-08-16 08:00:00,CIEB,5.99,6.0,5.89,5.89,74259.0
2022-08-17 08:00:00,CIEB,5.93,6.25,5.86,6.25,1924403.0
2022-08-18 08:00:00,CIEB,6.25,6.48,6.25,6.36,752217.0
2022-08-21 08:00:00,CIEB,6.35,6.68,6.3,6.61,2961908.0
2022-08-22 08:00:00,CIEB,6.61,6.68,6.37,6.39,1248362.0
2022-08-23 08:00:00,CIEB,6.39,6.46,6.2,6.4,1923632.0
2022-08-24 08:00:00,CIEB,6.37,6.41,6.27,6.38,1266272.0
2022-08-25 08:00:00,CIEB,6.38,6.4,6.3,6.35,766804.0
2022-08-28 08:00:00,CIEB,6.35,6.4,6.26,6.35,116077.0
2022-08-29 08:00:00,CIEB,6.29,6.39,6.2,6.23,1025113.0
2022-08-30 08:00:00,CIEB,6.23,6.3,6.07,6.24,1189974.0
2022-08-31 08:00:00,CIEB,6.22,6.3,6.17,6.2,416434.0
2022-09-01 08:00:00,CIEB,6.2,6.2,6.05,6.2,1722422.0
2022-09-04 08:00:00,CIEB,6.12,6.2,6.02,6.08,597840.0
2022-09-05 08:00:00,CIEB,6.1,6.33,6.1,6.2,2036042.0
2022-09-06 08:00:00,CIEB,6.2,6.35,6.15,6.29,1448838.0
2022-09-07 08:00:00,CIEB,6.29,6.35,6.2,6.2,295947.0
2022-09-08 08:00:00,CIEB,6.23,6.68,6.23,6.48,1127872.0
2022-09-11 08:00:00,CIEB,6.48,6.55,6.4,6.46,261391.0
