date,symbol,open,high,low,close,volume
2022-06-20 08:00:00,CIRA,11.94,11.98,11.44,11.98,51550.0
2022-06-21 08:00:00,CIRA,11.92,12.2,11.51,11.9,323296.0
2022-06-22 08:00:00,CIRA,11.9,11.97,11.8,11.81,110694.0
2022-06-23 08:00:00,CIRA,11.81,11.89,11.7,11.81,415.0
2022-06-26 08:00:00,CIRA,11.81,11.98,11.6,11.9,425.0
2022-06-27 08:00:00,CIRA,11.81,11.9,11.52,11.52,5833.0
2022-06-28 08:00:00,CIRA,11.81,11.81,11.18,11.25,3963229.0
2022-06-29 08:00:00,CIRA,11.25,11.49,11.21,11.25,36100.0
2022-07-03 08:00:00,CIRA,11.25,11.25,10.8,10.8,4270.0
2022-07-04 08:00:00,CIRA,11.25,11.25,10.28,10.55,66160.0
2022-07-05 08:00:00,CIRA,10.55,10.74,10.26,10.26,12316.0
2022-07-06 08:00:00,CIRA,10.55,10.69,10.3,10.3,614479.0
2022-07-07 08:00:00,CIRA,10.3,10.5,10.25,10.25,545614.0
2022-07-17 08:00:00,CIRA,10.3,10.3,10.01,10.01,5000.0
2022-07-18 08:00:00,CIRA,10.3,10.49,10.03,10.1,7361.0
2022-07-19 08:00:00,CIRA,10.3,11.5,10.3,11.49,690596.0
2022-07-20 08:00:00,CIRA,11.36,11.73,10.54,11.35,13312.0
2022-07-21 08:00:00,CIRA,11.36,11.69,10.65,11.45,69303.0
2022-07-24 08:00:00,CIRA,11.45,11.55,11.07,11.07,2212.0
2022-07-25 08:00:00,CIRA,11.45,11.6,10.86,11.0,2251913.0
2022-07-26 08:00:00,CIRA,11.0,11.5,10.89,10.9,1231906.0
2022-07-27 08:00:00,CIRA,10.93,11.27,10.5,10.77,1119860.0
2022-07-28 08:00:00,CIRA,10.77,10.99,10.7,10.87,4822.0
2022-07-31 08:00:00,CIRA,10.77,10.9,10.65,10.9,1643.0
2022-08-01 08:00:00,CIRA,10.77,10.89,10.5,10.77,8484.0
2022-08-02 08:00:00,CIRA,10.77,10.8,10.56,10.8,113327.0
2022-08-03 08:00:00,CIRA,10.8,10.95,10.52,10.7,12549.0
2022-08-04 08:00:00,CIRA,10.8,12.0,10.7,12.0,348392.0
2022-08-07 08:00:00,CIRA,12.0,12.0,11.22,11.56,35692.0
2022-08-08 08:00:00,CIRA,11.56,11.7,11.0,11.01,57956.0
2022-08-09 08:00:00,CIRA,11.01,11.15,10.9,11.01,44159.0
2022-08-10 08:00:00,CIRA,11.01,11.7,11.01,11.5,165090.0
2022-08-11 08:00:00,CIRA,11.53,11.53,11.16,11.5,9721.0
2022-08-14 08:00:00,CIRA,11.53,11.65,11.16,11.35,6144.0
2022-08-15 08:00:00,CIRA,11.53,11.63,11.23,11.23,26577.0
2022-08-16 08:00:00,CIRA,11.29,11.55,11.1,11.49,666.0
2022-08-17 08:00:00,CIRA,11.29,11.49,11.07,11.39,1120.0
2022-08-18 08:00:00,CIRA,11.29,11.46,11.07,11.46,2577.0
2022-08-21 08:00:00,CIRA,11.29,11.45,11.1,11.21,4309.0
2022-08-22 08:00:00,CIRA,11.29,11.6,11.25,11.25,711448.0
2022-08-23 08:00:00,CIRA,11.25,11.5,11.1,11.26,346389.0
2022-08-24 08:00:00,CIRA,11.26,11.28,11.0,11.0,287598.0
2022-08-25 08:00:00,CIRA,11.07,11.38,11.05,11.25,1300296.0
2022-08-28 08:00:00,CIRA,11.25,11.49,10.75,10.75,62347.0
2022-08-29 08:00:00,CIRA,11.16,11.79,10.83,10.83,58045.0
2022-08-30 08:00:00,CIRA,11.14,11.4,10.83,11.3,193780.0
2022-08-31 08:00:00,CIRA,11.3,11.39,11.2,11.25,253178.0
2022-09-01 08:00:00,CIRA,11.25,11.89,11.25,11.25,36418.0
2022-09-04 08:00:00,CIRA,11.25,11.7,11.25,11.25,3131.0
2022-09-05 08:00:00,CIRA,11.25,12.5,11.0,11.5,486408.0
2022-09-06 08:00:00,CIRA,11.5,11.5,11.31,11.5,205269.0
2022-09-07 08:00:00,CIRA,11.5,12.0,11.3,11.78,114078.0
2022-09-08 08:00:00,CIRA,11.78,12.48,11.5,11.75,341400.0
2022-09-11 08:00:00,CIRA,11.75,12.4,11.71,12.0,159277.0
2022-09-12 08:00:00,CIRA,11.93,12.0,11.75,11.99,92634.0
2022-09-13 08:00:00,CIRA,11.99,12.49,11.77,11.9,232876.0
2022-09-14 08:00:00,CIRA,11.97,12.0,11.65,11.73,99423.0
2022-09-15 08:00:00,CIRA,11.73,11.99,11.31,11.48,137159.0
2022-09-18 08:00:00,CIRA,11.48,11.95,11.26,11.95,42987.0
2022-09-19 08:00:00,CIRA,11.66,11.9,11.5,11.5,6850.0
2022-09-20 08:00:00,CIRA,11.66,11.9,11.42,11.78,199093.0
2022-09-21 08:00:00,CIRA,11.73,11.96,11.51,11.6,512340.0
2022-09-22 08:00:00,CIRA,11.6,12.3,11.52,11.8,244158.0
2022-09-25 08:00:00,CIRA,11.8,12.39,11.58,11.75,220657.0
2022-09-26 08:00:00,CIRA,11.85,12.15,11.64,11.85,1663.0
2022-09-27 08:00:00,CIRA,11.85,12.25,11.7,12.25,536021.0
2022-09-28 08:00:00,CIRA,12.25,12.45,11.81,12.4,732928.0
2022-09-29 08:00:00,CIRA,12.4,12.6,12.0,12.5,524360.0
2022-10-02 08:00:00,CIRA,12.5,12.5,12.01,12.11,54723.0
2022-10-03 08:00:00,CIRA,12.11,12.38,11.68,12.28,279168.0
2022-10-04 08:00:00,CIRA,12.28,12.95,12.0,12.2,800184.0
