date,symbol,open,high,low,close,volume
2022-06-13 08:00:00,CLHO,5.3,5.3,5.2,5.25,1024243.0
2022-06-14 08:00:00,CLHO,5.25,5.25,5.1,5.25,48.0
2022-06-15 08:00:00,CLHO,5.25,5.25,5.0,5.0,1260341.0
2022-06-16 08:00:00,CLHO,5.0,5.1,4.79,4.86,3100863.0
2022-06-19 08:00:00,CLHO,4.86,4.97,4.72,4.97,312200.0
2022-06-20 08:00:00,CLHO,4.97,4.97,4.76,4.92,5311882.0
2022-06-21 08:00:00,CLHO,4.8,4.92,4.8,4.9,207217.0
2022-06-22 08:00:00,CLHO,4.9,4.9,4.73,4.8,47173.0
2022-06-23 08:00:00,CLHO,4.9,4.9,4.75,4.8,3653549.0
2022-06-26 08:00:00,CLHO,4.8,4.88,4.75,4.8,1783758.0
2022-06-27 08:00:00,CLHO,4.8,4.97,4.7,4.7,2459712.0
2022-06-28 08:00:00,CLHO,4.7,4.98,4.65,4.8,4815249.0
2022-06-29 08:00:00,CLHO,4.8,4.8,4.66,4.7,1976642.0
2022-07-03 08:00:00,CLHO,4.7,4.77,4.68,4.68,31849.0
2022-07-04 08:00:00,CLHO,4.7,4.7,4.6,4.6,150849.0
2022-07-05 08:00:00,CLHO,4.63,4.65,4.4,4.4,2010139.0
2022-07-06 08:00:00,CLHO,4.4,4.4,4.11,4.2,6998251.0
2022-07-07 08:00:00,CLHO,4.2,4.33,4.13,4.2,1983331.0
2022-07-17 08:00:00,CLHO,4.2,4.4,4.11,4.39,212173.0
2022-07-18 08:00:00,CLHO,4.33,4.4,4.29,4.3,114497.0
2022-07-19 08:00:00,CLHO,4.3,4.35,4.0,4.08,26629208.0
2022-07-20 08:00:00,CLHO,4.08,4.2,4.04,4.05,10607443.0
2022-07-21 08:00:00,CLHO,4.05,4.16,4.04,4.1,8191005.0
2022-07-24 08:00:00,CLHO,4.1,4.23,4.1,4.18,3071785.0
2022-07-25 08:00:00,CLHO,4.18,4.22,4.17,4.2,1659310.0
2022-07-26 08:00:00,CLHO,4.2,4.33,4.15,4.24,3779915.0
2022-07-27 08:00:00,CLHO,4.26,4.29,4.2,4.23,732089.0
2022-07-28 08:00:00,CLHO,4.23,4.25,4.18,4.18,3210854.0
2022-07-31 08:00:00,CLHO,4.2,4.28,4.2,4.28,1552625.0
2022-08-01 08:00:00,CLHO,4.28,4.28,4.14,4.14,4337424.0
2022-08-02 08:00:00,CLHO,4.19,4.23,4.01,4.11,1264471.0
2022-08-03 08:00:00,CLHO,4.11,4.22,4.09,4.1,1661118.0
2022-08-04 08:00:00,CLHO,4.1,4.16,4.04,4.13,7072630.0
2022-08-07 08:00:00,CLHO,4.13,4.2,4.13,4.17,1472070.0
2022-08-08 08:00:00,CLHO,4.17,4.36,4.14,4.27,9526307.0
2022-08-09 08:00:00,CLHO,4.27,4.35,4.19,4.21,6111922.0
2022-08-10 08:00:00,CLHO,4.21,4.25,4.03,4.07,4260847.0
2022-08-11 08:00:00,CLHO,4.07,4.11,4.01,4.05,2299995.0
2022-08-14 08:00:00,CLHO,4.05,4.18,4.02,4.15,3284506.0
2022-08-15 08:00:00,CLHO,4.15,4.17,4.07,4.09,3628536.0
2022-08-16 08:00:00,CLHO,4.09,4.12,4.04,4.05,3128908.0
2022-08-17 08:00:00,CLHO,4.05,4.09,4.04,4.05,1743716.0
2022-08-18 08:00:00,CLHO,4.05,4.11,4.01,4.05,3946277.0
2022-08-21 08:00:00,CLHO,4.05,4.1,4.02,4.08,2491184.0
2022-08-22 08:00:00,CLHO,4.08,4.14,4.02,4.03,6334086.0
2022-08-23 08:00:00,CLHO,4.03,4.25,4.02,4.16,12329663.0
2022-08-24 08:00:00,CLHO,4.16,4.21,4.1,4.12,6423377.0
2022-08-25 08:00:00,CLHO,4.12,4.18,4.1,4.14,1153228.0
2022-08-28 08:00:00,CLHO,4.14,4.14,4.1,4.13,664583.0
2022-08-29 08:00:00,CLHO,4.1,4.14,4.0,4.03,4585941.0
2022-08-30 08:00:00,CLHO,4.03,4.05,3.99,4.02,1338803.0
2022-08-31 08:00:00,CLHO,4.02,4.04,3.97,4.02,1099671.0
2022-09-01 08:00:00,CLHO,4.02,4.04,3.82,3.89,1720841.0
2022-09-04 08:00:00,CLHO,3.89,4.01,3.82,4.0,816081.0
2022-09-05 08:00:00,CLHO,4.0,4.09,4.0,4.08,2814760.0
2022-09-06 08:00:00,CLHO,4.05,4.09,4.03,4.06,1489527.0
2022-09-07 08:00:00,CLHO,4.06,4.08,4.0,4.0,6235661.0
