date,symbol,open,high,low,close,volume
2022-06-19 08:00:00,ECAP,8.78,8.85,8.55,8.55,36732.0
2022-06-20 08:00:00,ECAP,8.59,8.59,8.4,8.48,37991.0
2022-06-21 08:00:00,ECAP,8.48,8.82,8.48,8.57,45495.0
2022-06-22 08:00:00,ECAP,8.57,8.7,8.45,8.45,5000.0
2022-06-23 08:00:00,ECAP,8.57,8.8,8.4,8.4,9102.0
2022-06-26 08:00:00,ECAP,8.57,8.57,8.38,8.38,16017.0
2022-06-27 08:00:00,ECAP,8.57,8.57,8.13,8.21,3719.0
2022-06-28 08:00:00,ECAP,8.57,8.57,7.68,8.09,78538.0
2022-06-29 08:00:00,ECAP,7.79,8.09,7.79,7.86,12935.0
2022-07-03 08:00:00,ECAP,7.79,7.79,7.55,7.55,18886.0
2022-07-04 08:00:00,ECAP,7.79,7.9,7.2,7.25,103817.0
2022-07-05 08:00:00,ECAP,7.25,7.58,7.25,7.3,3212.0
2022-07-06 08:00:00,ECAP,7.25,7.6,7.25,7.32,14284.0
2022-07-07 08:00:00,ECAP,7.25,7.8,7.25,7.5,4389.0
2022-07-17 08:00:00,ECAP,7.25,7.89,7.25,7.46,1720.0
2022-07-18 08:00:00,ECAP,7.25,7.83,7.08,7.48,24297.0
2022-07-19 08:00:00,ECAP,7.25,7.7,7.25,7.7,37565.0
2022-07-20 08:00:00,ECAP,7.25,7.82,7.25,7.65,17278.0
2022-07-21 08:00:00,ECAP,7.25,7.94,7.25,7.8,79926.0
2022-07-24 08:00:00,ECAP,7.8,8.12,7.8,8.12,37755.0
2022-07-25 08:00:00,ECAP,8.05,8.14,8.0,8.03,28405.0
2022-07-26 08:00:00,ECAP,8.05,8.3,7.92,8.21,60101.0
2022-07-27 08:00:00,ECAP,8.21,8.49,8.14,8.21,81873.0
2022-07-28 08:00:00,ECAP,8.24,8.46,8.24,8.39,52129.0
2022-07-31 08:00:00,ECAP,8.35,8.54,8.35,8.39,32538.0
2022-08-01 08:00:00,ECAP,8.35,8.39,8.13,8.13,13855.0
