date,symbol,open,high,low,close,volume
2022-05-16 08:00:00,EMFD,2.63,2.72,2.62,2.65,159383.0
2022-05-17 08:00:00,EMFD,2.65,2.73,2.65,2.66,27950.0
2022-05-18 08:00:00,EMFD,2.65,2.7,2.63,2.65,251307.0
2022-05-19 08:00:00,EMFD,2.65,2.7,2.61,2.66,364649.0
2022-05-22 08:00:00,EMFD,2.66,2.7,2.66,2.66,42922.0
2022-05-23 08:00:00,EMFD,2.66,2.72,2.65,2.7,466459.0
2022-05-24 08:00:00,EMFD,2.7,2.7,2.65,2.65,161525.0
2022-05-25 08:00:00,EMFD,2.65,2.7,2.63,2.64,479924.0
2022-05-26 08:00:00,EMFD,2.64,2.66,2.62,2.62,934052.0
2022-05-29 08:00:00,EMFD,2.63,2.7,2.61,2.63,303465.0
2022-05-30 08:00:00,EMFD,2.65,2.71,2.6,2.7,2248873.0
2022-05-31 08:00:00,EMFD,2.66,2.7,2.64,2.65,2233999.0
2022-06-01 08:00:00,EMFD,2.65,2.69,2.53,2.59,2308732.0
2022-06-02 08:00:00,EMFD,2.59,2.6,2.48,2.55,2905400.0
2022-06-05 08:00:00,EMFD,2.55,2.57,2.5,2.52,2033899.0
2022-06-06 08:00:00,EMFD,2.52,2.54,2.48,2.49,2598636.0
2022-06-07 08:00:00,EMFD,2.49,2.51,2.47,2.5,3807222.0
2022-06-08 08:00:00,EMFD,2.5,2.62,2.5,2.61,20061945.0
2022-06-09 08:00:00,EMFD,2.61,2.62,2.55,2.55,1112883.0
2022-06-12 08:00:00,EMFD,2.55,2.59,2.51,2.53,1018433.0
2022-06-13 08:00:00,EMFD,2.53,2.57,2.47,2.48,878311.0
2022-06-14 08:00:00,EMFD,2.48,2.5,2.45,2.47,557980.0
2022-06-15 08:00:00,EMFD,2.47,2.52,2.47,2.52,1687912.0
2022-06-16 08:00:00,EMFD,2.51,2.53,2.45,2.52,1068466.0
2022-06-19 08:00:00,EMFD,2.52,2.52,2.41,2.42,791294.0
2022-06-20 08:00:00,EMFD,2.42,2.46,2.41,2.44,374385.0
2022-06-21 08:00:00,EMFD,2.44,2.5,2.4,2.44,3042460.0
2022-06-22 08:00:00,EMFD,2.44,2.46,2.42,2.42,353291.0
2022-06-23 08:00:00,EMFD,2.43,2.44,2.35,2.36,1160244.0
2022-06-26 08:00:00,EMFD,2.36,2.39,2.27,2.29,3496132.0
2022-06-27 08:00:00,EMFD,2.29,2.3,2.19,2.25,2912574.0
2022-06-28 08:00:00,EMFD,2.25,2.35,2.2,2.35,2193058.0
2022-06-29 08:00:00,EMFD,2.35,2.36,2.28,2.34,807474.0
2022-07-03 08:00:00,EMFD,2.34,2.34,2.3,2.32,877382.0
2022-07-04 08:00:00,EMFD,2.32,2.35,2.28,2.32,953895.0
2022-07-05 08:00:00,EMFD,2.31,2.36,2.31,2.35,4197374.0
2022-07-06 08:00:00,EMFD,2.35,2.35,2.32,2.33,1682217.0
2022-07-07 08:00:00,EMFD,2.33,2.35,2.31,2.35,2833303.0
2022-07-17 08:00:00,EMFD,2.35,2.38,2.31,2.35,898886.0
2022-07-18 08:00:00,EMFD,2.33,2.38,2.33,2.35,1112462.0
2022-07-19 08:00:00,EMFD,2.35,2.45,2.33,2.45,2024510.0
2022-07-20 08:00:00,EMFD,2.45,2.5,2.41,2.47,793636.0
2022-07-21 08:00:00,EMFD,2.46,2.47,2.41,2.44,1552687.0
2022-07-24 08:00:00,EMFD,2.44,2.45,2.36,2.37,6434375.0
2022-07-25 08:00:00,EMFD,2.37,2.39,2.34,2.35,1538181.0
2022-07-26 08:00:00,EMFD,2.35,2.41,2.34,2.37,3230023.0
2022-07-27 08:00:00,EMFD,2.37,2.4,2.36,2.36,2481124.0
2022-07-28 08:00:00,EMFD,2.36,2.39,2.35,2.37,1221486.0
2022-07-31 08:00:00,EMFD,2.37,2.47,2.37,2.43,6563615.0
2022-08-01 08:00:00,EMFD,2.43,2.46,2.36,2.36,2070203.0
2022-08-02 08:00:00,EMFD,2.37,2.4,2.36,2.39,1912566.0
2022-08-03 08:00:00,EMFD,2.38,2.43,2.37,2.38,1155653.0
2022-08-04 08:00:00,EMFD,2.38,2.53,2.38,2.5,9024930.0
2022-08-07 08:00:00,EMFD,2.5,2.55,2.46,2.51,2538009.0
2022-08-08 08:00:00,EMFD,2.51,2.59,2.48,2.53,4571637.0
2022-08-09 08:00:00,EMFD,2.53,2.56,2.46,2.47,3306095.0
2022-08-10 08:00:00,EMFD,2.47,2.53,2.47,2.48,8266324.0
2022-08-11 08:00:00,EMFD,2.48,2.51,2.47,2.49,744402.0
2022-08-14 08:00:00,EMFD,2.49,2.51,2.48,2.49,1089045.0
2022-08-15 08:00:00,EMFD,2.49,2.56,2.49,2.55,7466301.0
2022-08-16 08:00:00,EMFD,2.55,2.62,2.54,2.6,3651531.0
2022-08-17 08:00:00,EMFD,2.6,2.63,2.55,2.6,1060448.0
2022-08-18 08:00:00,EMFD,2.6,2.77,2.6,2.7,3646469.0
2022-08-21 08:00:00,EMFD,2.7,2.75,2.7,2.71,2500817.0
2022-08-22 08:00:00,EMFD,2.71,2.75,2.66,2.72,1822973.0
2022-08-23 08:00:00,EMFD,2.72,2.76,2.6,2.64,1902886.0
2022-08-24 08:00:00,EMFD,2.61,2.66,2.5,2.57,2876555.0
2022-08-25 08:00:00,EMFD,2.57,2.74,2.52,2.64,3713258.0
2022-08-28 08:00:00,EMFD,2.63,2.79,2.63,2.7,3221352.0
2022-08-29 08:00:00,EMFD,2.7,2.75,2.67,2.7,1854390.0
2022-08-30 08:00:00,EMFD,2.7,2.73,2.66,2.67,464314.0
2022-08-31 08:00:00,EMFD,2.69,2.72,2.65,2.69,355288.0
2022-09-01 08:00:00,EMFD,2.66,2.7,2.55,2.61,2171994.0
2022-09-04 08:00:00,EMFD,2.59,2.7,2.55,2.66,452395.0
2022-09-05 08:00:00,EMFD,2.66,2.7,2.64,2.7,516516.0
2022-09-06 08:00:00,EMFD,2.68,2.83,2.66,2.79,3062767.0
2022-09-07 08:00:00,EMFD,2.79,2.8,2.71,2.73,858720.0
2022-09-08 08:00:00,EMFD,2.73,2.75,2.7,2.72,496446.0
2022-09-11 08:00:00,EMFD,2.71,2.9,2.7,2.8,2390384.0
2022-09-12 08:00:00,EMFD,2.84,2.85,2.74,2.76,485992.0
2022-09-13 08:00:00,EMFD,2.76,2.79,2.74,2.76,238382.0
2022-09-14 08:00:00,EMFD,2.76,2.76,2.57,2.6,3256055.0
2022-09-15 08:00:00,EMFD,2.6,2.64,2.47,2.47,4262783.0
2022-09-18 08:00:00,EMFD,2.47,2.51,2.35,2.38,2427046.0
2022-09-19 08:00:00,EMFD,2.38,2.48,2.38,2.48,737286.0
2022-09-20 08:00:00,EMFD,2.46,2.51,2.45,2.46,3306694.0
2022-09-21 08:00:00,EMFD,2.46,2.5,2.37,2.37,8103808.0
2022-09-22 08:00:00,EMFD,2.37,2.41,2.35,2.39,2161939.0
2022-09-25 08:00:00,EMFD,2.38,2.43,2.38,2.39,1004915.0
2022-09-26 08:00:00,EMFD,2.39,2.44,2.39,2.41,982502.0
2022-09-27 08:00:00,EMFD,2.41,2.45,2.41,2.43,841145.0
2022-09-28 08:00:00,EMFD,2.43,2.45,2.39,2.4,2005774.0
2022-09-29 08:00:00,EMFD,2.4,2.45,2.4,2.44,1211210.0
2022-10-02 08:00:00,EMFD,2.43,2.43,2.39,2.4,1020317.0
2022-10-03 08:00:00,EMFD,2.4,2.47,2.38,2.45,2517696.0
2022-10-04 08:00:00,EMFD,2.45,2.54,2.45,2.5,2395680.0
2022-10-05 08:00:00,EMFD,2.49,2.55,2.49,2.53,648477.0
2022-10-09 08:00:00,EMFD,2.53,2.56,2.46,2.5,587490.0
2022-10-10 08:00:00,EMFD,2.5,2.52,2.47,2.5,503281.0
2022-10-11 08:00:00,EMFD,2.5,2.55,2.47,2.55,828639.0
2022-10-12 08:00:00,EMFD,2.55,2.56,2.49,2.49,515102.0
