date,symbol,open,high,low,close,volume
2022-07-18 08:00:00,EPCO,2.51,2.58,2.51,2.51,61692.0
2022-07-19 08:00:00,EPCO,2.51,2.66,2.51,2.64,246097.0
2022-07-20 08:00:00,EPCO,2.64,2.68,2.57,2.62,106401.0
2022-07-21 08:00:00,EPCO,2.64,2.77,2.58,2.7,501202.0
2022-07-24 08:00:00,EPCO,2.7,2.84,2.7,2.83,519111.0
2022-07-25 08:00:00,EPCO,2.81,2.9,2.78,2.79,718466.0
2022-07-26 08:00:00,EPCO,2.79,2.85,2.73,2.76,346959.0
2022-07-27 08:00:00,EPCO,2.76,2.88,2.74,2.75,575739.0
2022-07-28 08:00:00,EPCO,2.75,2.79,2.7,2.71,271034.0
2022-07-31 08:00:00,EPCO,2.72,2.83,2.72,2.76,296899.0
2022-08-01 08:00:00,EPCO,2.76,2.79,2.6,2.65,224589.0
2022-08-02 08:00:00,EPCO,2.65,2.69,2.55,2.65,217091.0
2022-08-03 08:00:00,EPCO,2.65,2.8,2.65,2.67,428082.0
2022-08-04 08:00:00,EPCO,2.68,2.78,2.63,2.76,398955.0
2022-08-07 08:00:00,EPCO,2.76,2.98,2.76,2.93,946735.0
2022-08-08 08:00:00,EPCO,2.93,3.14,2.93,2.96,1126246.0
2022-08-09 08:00:00,EPCO,2.96,3.07,2.87,2.89,491222.0
2022-08-10 08:00:00,EPCO,2.89,3.01,2.88,2.91,369756.0
2022-08-11 08:00:00,EPCO,2.91,3.09,2.91,3.05,716692.0
2022-08-14 08:00:00,EPCO,3.05,3.39,3.05,3.26,1980547.0
2022-08-15 08:00:00,EPCO,3.26,3.34,3.1,3.14,907216.0
2022-08-16 08:00:00,EPCO,3.14,3.25,3.12,3.14,674730.0
2022-08-17 08:00:00,EPCO,3.14,3.21,3.04,3.15,536333.0
2022-08-18 08:00:00,EPCO,3.1,3.2,3.08,3.15,497822.0
2022-08-21 08:00:00,EPCO,3.15,3.28,3.15,3.19,835592.0
2022-08-22 08:00:00,EPCO,3.18,3.27,3.15,3.17,511082.0
2022-08-23 08:00:00,EPCO,3.17,3.21,3.11,3.12,381018.0
2022-08-24 08:00:00,EPCO,3.12,3.22,3.11,3.14,564882.0
2022-08-25 08:00:00,EPCO,3.12,3.46,3.12,3.4,1913131.0
2022-08-28 08:00:00,EPCO,3.4,3.58,3.35,3.36,1178150.0
2022-08-29 08:00:00,EPCO,3.39,3.45,3.23,3.25,730842.0
2022-08-30 08:00:00,EPCO,3.25,3.38,3.24,3.32,582761.0
2022-08-31 08:00:00,EPCO,3.31,3.4,3.21,3.25,873822.0
2022-09-01 08:00:00,EPCO,3.25,3.25,3.1,3.12,268864.0
2022-09-04 08:00:00,EPCO,3.12,3.18,3.06,3.16,211847.0
2022-09-05 08:00:00,EPCO,3.15,3.26,3.11,3.16,436767.0
2022-09-06 08:00:00,EPCO,3.16,3.27,3.15,3.22,381573.0
2022-09-07 08:00:00,EPCO,3.22,3.25,3.15,3.22,198955.0
2022-09-08 08:00:00,EPCO,3.17,3.34,3.17,3.26,591126.0
2022-09-11 08:00:00,EPCO,3.26,3.45,3.26,3.3,965813.0
2022-09-12 08:00:00,EPCO,3.33,3.47,3.33,3.38,851782.0
2022-09-13 08:00:00,EPCO,3.38,3.45,3.34,3.37,607112.0
2022-09-14 08:00:00,EPCO,3.36,3.46,3.29,3.31,613370.0
2022-09-15 08:00:00,EPCO,3.31,3.44,3.3,3.35,657708.0
2022-09-18 08:00:00,EPCO,3.36,3.4,3.07,3.11,548787.0
2022-09-19 08:00:00,EPCO,3.11,3.17,3.0,3.16,336857.0
2022-09-20 08:00:00,EPCO,3.16,3.19,3.06,3.14,207350.0
2022-09-21 08:00:00,EPCO,3.14,3.18,3.07,3.07,113730.0
2022-09-22 08:00:00,EPCO,3.09,3.17,3.02,3.11,185316.0
2022-09-25 08:00:00,EPCO,3.11,3.23,3.05,3.13,234232.0
2022-09-26 08:00:00,EPCO,3.16,3.24,3.16,3.17,157138.0
2022-09-27 08:00:00,EPCO,3.17,3.27,3.13,3.15,182713.0
2022-09-28 08:00:00,EPCO,3.15,3.36,3.07,3.23,769546.0
2022-09-29 08:00:00,EPCO,3.23,3.25,3.12,3.18,448856.0
2022-10-02 08:00:00,EPCO,3.19,3.23,3.07,3.1,218667.0
2022-10-03 08:00:00,EPCO,3.1,3.21,3.06,3.07,109141.0
2022-10-04 08:00:00,EPCO,3.07,3.22,3.07,3.15,237609.0
2022-10-05 08:00:00,EPCO,3.15,3.22,3.05,3.1,368811.0
2022-10-09 08:00:00,EPCO,3.1,3.1,3.06,3.06,50145.0
2022-10-10 08:00:00,EPCO,3.1,3.1,3.04,3.07,106088.0
2022-10-11 08:00:00,EPCO,3.07,3.14,2.95,3.07,98173.0
2022-10-12 08:00:00,EPCO,3.07,3.07,2.9,2.97,116044.0
2022-10-13 08:00:00,EPCO,2.97,3.06,2.97,2.98,525044.0
2022-10-16 08:00:00,EPCO,2.98,3.1,2.98,3.01,273133.0
2022-10-17 08:00:00,EPCO,3.01,3.04,2.97,2.99,265890.0
2022-10-18 08:00:00,EPCO,2.99,3.0,2.92,2.93,111928.0
2022-10-19 08:00:00,EPCO,2.96,3.08,2.93,2.93,473220.0
2022-10-20 08:00:00,EPCO,2.95,3.0,2.94,2.97,259687.0
2022-10-23 08:00:00,EPCO,2.97,3.04,2.94,3.02,190537.0
2022-10-24 08:00:00,EPCO,3.02,3.1,2.97,2.98,440402.0
2022-10-25 08:00:00,EPCO,2.98,3.0,2.9,2.9,226606.0
2022-10-26 08:00:00,EPCO,2.92,2.94,2.91,2.92,72515.0
2022-10-27 08:00:00,EPCO,2.92,2.99,2.86,2.86,240681.0
2022-10-30 08:00:00,EPCO,2.88,2.94,2.8,2.81,208742.0
2022-10-31 08:00:00,EPCO,2.8,2.85,2.77,2.85,68021.0
2022-11-01 08:00:00,EPCO,2.8,3.0,2.8,2.92,324692.0
2022-11-02 08:00:00,EPCO,2.93,3.04,2.87,2.92,201146.0
2022-11-03 08:00:00,EPCO,2.91,2.91,2.8,2.82,154008.0
2022-11-06 08:00:00,EPCO,2.83999991,2.8499999,2.79999995,2.80999994,120286.0
2022-11-07 08:00:00,EPCO,2.81,2.87,2.8,2.82,463805.0
2022-11-08 08:00:00,EPCO,2.82,2.89,2.79,2.79,179671.0
2022-11-09 08:00:00,EPCO,2.79,2.85,2.71,2.72,103982.0
2022-11-10 08:00:00,EPCO,2.79,2.88,2.78,2.84,288614.0
2022-11-13 08:00:00,EPCO,2.84,2.91,2.83,2.86,242447.0
2022-11-14 08:00:00,EPCO,2.86,2.88,2.74,2.78,532499.0
2022-11-15 08:00:00,EPCO,2.78,2.82,2.77,2.8,162283.0
2022-11-16 08:00:00,EPCO,2.8,2.94,2.8,2.92,592708.0
2022-11-17 08:00:00,EPCO,2.92,3.04,2.92,2.95,514649.0
2022-11-20 08:00:00,EPCO,2.95,3.0,2.92,2.94,168585.0
2022-11-21 08:00:00,EPCO,2.94,3.0,2.91,2.92,421962.0
2022-11-22 08:00:00,EPCO,2.92,3.08,2.92,2.98,526391.0
2022-11-23 08:00:00,EPCO,2.98,2.99,2.94,2.94,102653.0
2022-11-24 08:00:00,EPCO,2.95,2.97,2.9,2.93,213745.0
2022-11-27 08:00:00,EPCO,2.93,3.0,2.9,2.93,410737.0
2022-11-28 08:00:00,EPCO,2.93,2.98,2.92,2.94,194827.0
2022-11-29 08:00:00,EPCO,2.94,2.98,2.93,2.97,143483.0
2022-11-30 08:00:00,EPCO,2.94,3.13,2.94,3.01,1105400.0
2022-12-01 08:00:00,EPCO,3.02,3.1,3.02,3.03,306074.0
2022-12-04 08:00:00,EPCO,3.04,3.18,3.04,3.11,450998.0
2022-12-05 08:00:00,EPCO,3.11,3.13,2.97,3.01,219839.0
2022-12-06 08:00:00,EPCO,3.01,3.05,2.97,3.02,309800.0
2022-12-07 08:00:00,EPCO,3.02,3.28,3.02,3.13,1128097.0
2022-12-08 08:00:00,EPCO,3.13,3.2,3.12,3.17,143394.0
2022-12-11 08:00:00,EPCO,3.14,3.26,3.14,3.19,326325.0
2022-12-12 08:00:00,EPCO,3.19,3.29,3.14,3.15,675715.0
2022-12-13 08:00:00,EPCO,3.15,3.31,3.15,3.24,1072722.0
2022-12-14 08:00:00,EPCO,3.24,3.31,3.22,3.25,480689.0
2022-12-15 08:00:00,EPCO,3.25,3.3,3.15,3.16,579610.0
2022-12-18 08:00:00,EPCO,3.16,3.23,3.15,3.18,302059.0
2022-12-19 08:00:00,EPCO,3.18,3.28,3.17,3.19,962308.0
2022-12-20 08:00:00,EPCO,3.19,3.37,3.17,3.22,1317776.0
2022-12-21 08:00:00,EPCO,3.22,3.3,3.2,3.22,543282.0
2022-12-22 08:00:00,EPCO,3.22,3.35,3.22,3.23,834617.0
2022-12-25 08:00:00,EPCO,3.23,3.24,3.13,3.15,370535.0
2022-12-26 08:00:00,EPCO,3.15,3.2,3.13,3.16,300335.0
2022-12-27 08:00:00,EPCO,3.17,3.27,3.17,3.2,509659.0
2022-12-28 08:00:00,EPCO,3.2,3.24,3.19,3.2,180320.0
2022-12-29 08:00:00,EPCO,3.2,3.27,3.2,3.22,244754.0
2023-01-02 08:00:00,EPCO,3.22,3.47,3.22,3.4,1164927.0
2023-01-03 08:00:00,EPCO,3.39,3.55,3.39,3.44,1262018.0
2023-01-04 08:00:00,EPCO,3.48,3.58,3.25,3.4,811030.0
2023-01-05 08:00:00,EPCO,3.4,3.46,3.3,3.32,585437.0
2023-01-09 08:00:00,EPCO,3.32,3.41,3.25,3.25,464071.0
2023-01-10 08:00:00,EPCO,3.27,3.3,3.15,3.16,474766.0
2023-01-11 08:00:00,EPCO,3.16,3.25,3.03,3.06,354332.0
2023-01-12 08:00:00,EPCO,3.06,3.09,2.97,3.01,232504.0
2023-01-15 08:00:00,EPCO,3.01,3.09,2.95,2.95,247061.0
2023-01-16 08:00:00,EPCO,2.95,3.16,2.95,3.09,368038.0
2023-01-17 08:00:00,EPCO,3.09,3.24,3.09,3.2,262811.0
2023-01-18 08:00:00,EPCO,3.17,3.42,3.17,3.31,1029756.0
2023-01-19 08:00:00,EPCO,3.31,3.4,3.27,3.32,443470.0
2023-01-22 08:00:00,EPCO,3.32,3.65,3.32,3.48,1467918.0
2023-01-23 08:00:00,EPCO,3.43,3.51,3.29,3.3,367083.0
2023-01-24 08:00:00,EPCO,3.3,3.36,3.24,3.27,201693.0
2023-01-25 08:00:00,EPCO,3.27,3.33,3.24,3.26,195354.0
2023-01-29 08:00:00,EPCO,3.26,3.34,3.19,3.21,663550.0
2023-01-30 08:00:00,EPCO,3.21,3.26,3.05,3.09,704660.0
2023-01-31 08:00:00,EPCO,3.09,3.12,2.99,2.99,378380.0
2023-02-01 08:00:00,EPCO,2.99,3.08,2.98,3.03,146827.0
2023-02-02 08:00:00,EPCO,3.03,3.11,2.91,2.91,352819.0
2023-02-05 08:00:00,EPCO,2.96,2.96,2.66,2.79,509106.0
2023-02-06 08:00:00,EPCO,2.79,2.83,2.71,2.74,248166.0
2023-02-07 08:00:00,EPCO,2.74,2.89,2.74,2.88,243622.0
2023-02-08 08:00:00,EPCO,2.84,2.86,2.78,2.84,242278.0
2023-02-09 08:00:00,EPCO,2.84,2.95,2.8,2.91,225006.0
2023-02-12 08:00:00,EPCO,2.89,3.0,2.85,2.98,351877.0
2023-02-13 08:00:00,EPCO,2.96,3.04,2.87,2.94,151939.0
2023-02-14 08:00:00,EPCO,2.94,3.04,2.92,2.97,211912.0
2023-02-15 08:00:00,EPCO,2.97,3.03,2.93,2.93,90581.0
2023-02-16 08:00:00,EPCO,2.97,3.01,2.86,2.94,164629.0
2023-02-19 08:00:00,EPCO,2.89,3.14,2.89,2.97,215311.0
2023-02-20 08:00:00,EPCO,2.99,3.14,2.92,2.96,600644.0
2023-02-21 08:00:00,EPCO,2.96,3.06,2.9,3.02,386326.0
2023-02-22 08:00:00,EPCO,3.02,3.09,2.83,2.89,404506.0
2023-02-23 08:00:00,EPCO,2.89,2.95,2.84,2.9,110511.0
2023-02-26 08:00:00,EPCO,2.9,3.08,2.9,3.0,785606.0
2023-02-27 08:00:00,EPCO,3.0,3.07,2.9,2.92,505510.0
2023-02-28 08:00:00,EPCO,2.92,2.95,2.86,2.9,316465.0
2023-03-01 08:00:00,EPCO,2.9,2.98,2.9,2.91,592578.0
2023-03-02 08:00:00,EPCO,2.92,2.97,2.86,2.87,267416.0
2023-03-05 08:00:00,EPCO,2.87,2.92,2.8,2.85,461284.0
2023-03-06 08:00:00,EPCO,2.85,2.91,2.83,2.83,169204.0
2023-03-07 08:00:00,EPCO,2.83,2.88,2.77,2.79,224648.0
2023-03-08 08:00:00,EPCO,2.79,2.93,2.76,2.89,421850.0
2023-03-09 08:00:00,EPCO,2.89,2.96,2.88,2.91,382218.0
2023-03-12 08:00:00,EPCO,2.91,2.93,2.74,2.8,254981.0
2023-03-13 08:00:00,EPCO,2.79,2.81,2.5,2.51,283306.0
2023-03-14 08:00:00,EPCO,2.53,2.65,2.45,2.56,210625.0
2023-03-15 08:00:00,EPCO,2.54,2.73,2.04,2.06,515074.0
2023-03-16 08:00:00,EPCO,2.16,2.3,2.04,2.23,257155.0
2023-03-19 08:00:00,EPCO,2.23,2.34,2.12,2.33,172732.0
2023-03-20 08:00:00,EPCO,2.31,2.59,2.31,2.55,286033.0
2023-03-21 08:00:00,EPCO,2.55,2.69,2.52,2.55,300603.0
2023-03-22 08:00:00,EPCO,2.55,2.65,2.53,2.53,166494.0
2023-03-23 08:00:00,EPCO,2.53,2.7,2.53,2.68,458849.0
2023-03-26 08:00:00,EPCO,2.68,2.73,2.63,2.69,320598.0
2023-03-27 08:00:00,EPCO,2.69,2.75,2.6,2.64,83402.0
2023-03-28 08:00:00,EPCO,2.69,2.69,2.55,2.57,123150.0
2023-03-29 08:00:00,EPCO,2.59,2.63,2.56,2.59,73059.0
2023-03-30 08:00:00,EPCO,2.59,2.6,2.46,2.5,164473.0
2023-04-02 08:00:00,EPCO,2.5,2.55,2.47,2.5,78778.0
2023-04-03 08:00:00,EPCO,2.5,2.6,2.5,2.6,117562.0
2023-04-04 08:00:00,EPCO,2.59,2.73,2.58,2.7,627552.0
2023-04-05 08:00:00,EPCO,2.7,2.88,2.7,2.75,549093.0
2023-04-06 08:00:00,EPCO,2.77,2.82,2.74,2.75,85026.0
2023-04-09 08:00:00,EPCO,2.77,2.8,2.63,2.63,39867.0
2023-04-10 08:00:00,EPCO,2.77,2.77,2.6,2.67,120538.0
2023-04-11 08:00:00,EPCO,2.67,2.78,2.67,2.71,174708.0
2023-04-12 08:00:00,EPCO,2.74,2.75,2.64,2.64,134673.0
2023-04-13 08:00:00,EPCO,2.66,2.7,2.63,2.66,64815.0
2023-04-18 08:00:00,EPCO,2.66,2.66,2.62,2.63,30971.0
2023-04-19 08:00:00,EPCO,2.66,2.68,2.6,2.61,226898.0
2023-04-26 08:00:00,EPCO,2.61,2.7,2.6,2.67,299157.0
2023-04-27 08:00:00,EPCO,2.67,2.8,2.66,2.72,478944.0
2023-04-30 07:00:00,EPCO,2.77,2.8,2.68,2.68,164292.0
2023-05-01 07:00:00,EPCO,2.68,2.72,2.58,2.58,231439.0
2023-05-02 07:00:00,EPCO,2.58,2.63,2.58,2.58,46516.0
2023-05-03 07:00:00,EPCO,2.58,2.63,2.48,2.55,164285.0
2023-05-07 07:00:00,EPCO,2.55,2.59,2.5,2.51,286291.0
2023-05-08 07:00:00,EPCO,2.51,2.58,2.51,2.57,101356.0
2023-05-09 07:00:00,EPCO,2.51,2.69,2.51,2.58,425855.0
2023-05-10 07:00:00,EPCO,2.64,2.64,2.52,2.55,136891.0
2023-05-11 07:00:00,EPCO,2.55,2.62,2.52,2.55,101523.0
2023-05-14 07:00:00,EPCO,2.55,2.59,2.51,2.53,138576.0
2023-05-15 07:00:00,EPCO,2.56,2.58,2.5,2.5,195650.0
2023-05-16 07:00:00,EPCO,2.53,2.53,2.45,2.5,116107.0
2023-05-17 07:00:00,EPCO,2.53,2.54,2.4,2.42,267130.0
2023-05-18 07:00:00,EPCO,2.42,2.44,2.38,2.43,131471.0
2023-05-21 07:00:00,EPCO,2.41,2.46,2.4,2.42,173657.0
2023-05-22 07:00:00,EPCO,2.42,2.51,2.39,2.4,241683.0
2023-05-23 07:00:00,EPCO,2.4,2.47,2.4,2.47,522797.0
2023-05-24 07:00:00,EPCO,2.45,2.54,2.45,2.51,268370.0
2023-05-25 07:00:00,EPCO,2.51,2.73,2.48,2.65,1052545.0
2023-05-28 07:00:00,EPCO,2.65,2.85,2.65,2.78,917770.0
2023-05-29 07:00:00,EPCO,2.78,2.82,2.72,2.74,282548.0
2023-05-30 07:00:00,EPCO,2.74,2.92,2.72,2.84,1244652.0
2023-05-31 07:00:00,EPCO,2.84,3.0,2.8,2.91,1714321.0
2023-06-01 07:00:00,EPCO,2.91,3.16,2.9,3.04,2467653.0
2023-06-04 07:00:00,EPCO,3.04,3.32,3.04,3.11,2249047.0
2023-06-05 07:00:00,EPCO,3.11,3.14,2.94,2.95,1139448.0
2023-06-06 07:00:00,EPCO,2.95,3.1,2.95,3.01,680560.0
2023-06-07 07:00:00,EPCO,3.01,3.07,2.96,2.99,453612.0
2023-06-08 07:00:00,EPCO,2.99,3.07,2.92,2.94,228633.0
2023-06-11 07:00:00,EPCO,2.95,3.06,2.89,3.06,492450.0
2023-06-12 07:00:00,EPCO,3.04,3.06,2.97,2.97,114175.0
2023-06-13 07:00:00,EPCO,3.0,3.09,2.97,3.09,727308.0
2023-06-14 07:00:00,EPCO,3.02,3.1,2.95,2.97,664435.0
2023-06-15 07:00:00,EPCO,2.97,3.03,2.92,2.94,347277.0
2023-06-18 07:00:00,EPCO,2.94,3.03,2.9,2.95,575780.0
2023-06-19 07:00:00,EPCO,2.95,3.0,2.85,2.87,448984.0
2023-06-20 07:00:00,EPCO,2.89,2.96,2.86,2.88,319277.0
2023-06-21 07:00:00,EPCO,2.88,2.93,2.76,2.77,346616.0
2023-06-22 07:00:00,EPCO,2.77,2.8,2.7,2.72,216405.0
2023-06-25 07:00:00,EPCO,2.71,2.8,2.67,2.67,219275.0
2023-06-26 07:00:00,EPCO,2.7,2.74,2.69,2.7,58070.0
2023-07-04 07:00:00,EPCO,2.7,2.75,2.69,2.73,227263.0
2023-07-05 07:00:00,EPCO,2.72,2.77,2.7,2.74,145026.0
2023-07-06 07:00:00,EPCO,2.74,2.75,2.64,2.66,105952.0
2023-07-09 07:00:00,EPCO,2.74,2.74,2.44,2.45,214432.0
2023-07-10 07:00:00,EPCO,2.52,2.56,2.46,2.55,84005.0
2023-07-11 07:00:00,EPCO,2.52,2.58,2.5,2.54,124410.0
2023-07-12 07:00:00,EPCO,2.54,2.58,2.51,2.51,72636.0
2023-07-13 07:00:00,EPCO,2.54,2.57,2.5,2.57,105377.0
2023-07-16 07:00:00,EPCO,2.54,2.69,2.53,2.62,177145.0
2023-07-17 07:00:00,EPCO,2.62,2.67,2.58,2.6,116946.0
2023-07-18 07:00:00,EPCO,2.61,2.72,2.58,2.63,140822.0
2023-07-19 07:00:00,EPCO,2.68,2.7,2.64,2.69,95230.0
2023-07-24 07:00:00,EPCO,2.68,2.72,2.63,2.65,104136.0
2023-07-25 07:00:00,EPCO,2.68,2.69,2.59,2.59,174832.0
2023-07-26 07:00:00,EPCO,2.64,2.64,2.58,2.58,60781.0
2023-07-27 07:00:00,EPCO,2.64,2.66,2.56,2.64,206113.0
2023-07-30 07:00:00,EPCO,2.64,2.77,2.6,2.7,619621.0
2023-07-31 07:00:00,EPCO,2.68,2.79,2.67,2.68,413344.0
2023-08-01 07:00:00,EPCO,2.68,2.68,2.62,2.62,126207.0
2023-08-02 07:00:00,EPCO,2.64,2.67,2.57,2.58,145300.0
2023-08-03 07:00:00,EPCO,2.6,2.62,2.58,2.62,33172.0
2023-08-06 07:00:00,EPCO,2.6,2.63,2.58,2.63,81572.0
2023-08-07 07:00:00,EPCO,2.6,2.69,2.6,2.67,164371.0
2023-08-08 07:00:00,EPCO,2.67,2.72,2.64,2.64,122283.0
2023-08-09 07:00:00,EPCO,2.68,2.68,2.63,2.63,77273.0
2023-08-10 07:00:00,EPCO,2.68,2.68,2.6,2.64,86800.0
2023-08-13 07:00:00,EPCO,2.68,2.68,2.62,2.64,105862.0
2023-08-14 07:00:00,EPCO,2.68,2.68,2.61,2.65,305373.0
2023-08-15 07:00:00,EPCO,2.65,2.87,2.65,2.77,778375.0
2023-08-16 07:00:00,EPCO,2.77,2.9,2.77,2.81,692596.0
2023-08-17 07:00:00,EPCO,2.81,2.86,2.75,2.79,176850.0
2023-08-20 07:00:00,EPCO,2.79,2.8,2.7,2.73,160096.0
2023-08-21 07:00:00,EPCO,2.73,2.87,2.72,2.75,320941.0
2023-08-22 07:00:00,EPCO,2.75,2.81,2.7,2.71,209669.0
2023-08-23 07:00:00,EPCO,2.71,2.77,2.66,2.7,229999.0
2023-08-24 07:00:00,EPCO,2.7,2.81,2.66,2.79,264958.0
2023-08-27 07:00:00,EPCO,2.79,3.34,2.79,3.34,3391661.0
2023-08-28 07:00:00,EPCO,3.34,4.0,3.34,3.61,6173820.0
2023-08-29 07:00:00,EPCO,3.61,4.33,3.51,4.33,8098937.0
2023-08-30 07:00:00,EPCO,4.33,4.9,4.14,4.5,7172429.0
2023-08-31 07:00:00,EPCO,4.5,4.78,4.49,4.54,3838532.0
2023-09-03 07:00:00,EPCO,4.54,4.7,4.1,4.28,2971684.0
2023-09-04 07:00:00,EPCO,4.28,4.35,4.05,4.12,2769747.0
2023-09-05 07:00:00,EPCO,4.12,4.24,3.85,3.9,1869412.0
2023-09-06 07:00:00,EPCO,3.9,3.97,3.64,3.73,1346125.0
2023-09-07 07:00:00,EPCO,3.73,4.45,3.73,4.3,4770912.0
2023-09-10 07:00:00,EPCO,4.3,4.43,4.12,4.17,2357390.0
2023-09-11 07:00:00,EPCO,4.17,4.65,4.03,4.42,4826198.0
2023-09-12 07:00:00,EPCO,4.42,4.56,4.24,4.28,2035107.0
2023-09-13 07:00:00,EPCO,4.28,4.42,4.12,4.29,1956606.0
2023-09-14 07:00:00,EPCO,4.29,4.44,4.19,4.2,1524001.0
2023-09-17 07:00:00,EPCO,4.2,4.35,4.16,4.19,1429756.0
2023-09-18 07:00:00,EPCO,4.19,4.5,4.19,4.43,3655807.0
2023-09-19 07:00:00,EPCO,4.43,4.58,4.28,4.31,2647533.0
2023-09-20 07:00:00,EPCO,4.31,4.4,4.1,4.16,1000823.0
2023-09-21 07:00:00,EPCO,4.15,4.28,4.12,4.19,546668.0
2023-09-24 07:00:00,EPCO,4.19,4.24,4.07,4.09,938035.0
