date,symbol,open,high,low,close,volume
2022-05-11 08:00:00,ETEL,15.87,16.25,15.61,16.200001,737142.0
2022-05-12 08:00:00,ETEL,16.200001,16.299999,15.81,16.049999,2041062.0
2022-05-15 08:00:00,ETEL,16.049999,16.280001,16.01,16.120001,64568.0
2022-05-16 08:00:00,ETEL,16.07,16.190001,16.0,16.1,626925.0
2022-05-17 08:00:00,ETEL,16.1,16.290001,16.1,16.209999,1075821.0
2022-05-18 08:00:00,ETEL,16.209999,16.5,16.139999,16.5,1318365.0
2022-05-19 08:00:00,ETEL,16.4,16.5,15.82,16.25,894044.0
2022-05-22 08:00:00,ETEL,16.25,16.389999,16.110001,16.219999,158873.0
2022-05-23 08:00:00,ETEL,16.219999,16.299999,16.16,16.200001,1004327.0
2022-05-24 08:00:00,ETEL,16.200001,16.200001,16.0,16.15,855503.0
2022-05-25 08:00:00,ETEL,16.15,16.25,15.91,15.96,33426.0
2022-05-26 08:00:00,ETEL,15.96,15.96,15.4,15.54,470052.0
2022-05-29 08:00:00,ETEL,15.54,15.88,15.28,15.41,207448.0
2022-05-30 08:00:00,ETEL,15.41,15.78,15.07,15.5,152115.0
2022-05-31 08:00:00,ETEL,15.5,15.69,14.95,15.1,1384689.0
2022-06-01 08:00:00,ETEL,15.1,15.59,15.0,15.06,1569129.0
2022-06-02 08:00:00,ETEL,15.06,15.32,14.9,14.99,568097.0
2022-06-05 08:00:00,ETEL,14.95,15.22,14.95,15.1,33237.0
2022-06-06 08:00:00,ETEL,15.08,15.22,15.0,15.19,38839.0
2022-06-07 08:00:00,ETEL,15.13,15.22,15.01,15.22,53417.0
2022-06-08 08:00:00,ETEL,15.14,15.6,15.14,15.42,707257.0
2022-06-09 08:00:00,ETEL,15.42,15.49,15.35,15.4,433490.0
2022-06-12 08:00:00,ETEL,15.39,15.79,15.2,15.36,237863.0
2022-06-13 08:00:00,ETEL,15.36,15.38,15.11,15.2,668232.0
2022-06-14 08:00:00,ETEL,15.2,15.37,15.1,15.2,11228.0
2022-06-15 08:00:00,ETEL,15.2,15.3,15.03,15.2,68099.0
2022-06-16 08:00:00,ETEL,15.12,15.29,15.12,15.2,311061.0
2022-06-19 08:00:00,ETEL,15.2,15.29,15.0,15.08,24226.0
2022-06-20 08:00:00,ETEL,15.08,15.24,14.9,14.9,27614.0
2022-06-21 08:00:00,ETEL,14.94,15.0,14.3,14.57,286496.0
2022-06-22 08:00:00,ETEL,14.5,14.69,14.3,14.46,73800.0
2022-06-23 08:00:00,ETEL,14.46,14.46,14.01,14.19,311525.0
2022-06-26 08:00:00,ETEL,14.19,14.4,13.8,13.96,225694.0
2022-06-27 08:00:00,ETEL,13.96,14.0,13.81,13.81,263074.0
2022-06-28 08:00:00,ETEL,13.95,14.04,13.33,13.98,363164.0
2022-06-29 08:00:00,ETEL,13.98,14.0,13.81,13.86,231691.0
2022-07-03 08:00:00,ETEL,13.86,13.99,12.77,13.65,491656.0
2022-07-04 08:00:00,ETEL,13.62,13.78,13.26,13.47,261462.0
2022-07-05 08:00:00,ETEL,13.32,13.66,13.11,13.4,641690.0
2022-07-06 08:00:00,ETEL,13.29,13.48,13.01,13.25,1107991.0
2022-07-07 08:00:00,ETEL,13.22,13.45,13.2,13.22,19824.0
2022-07-17 08:00:00,ETEL,13.22,13.47,13.2,13.4,57277.0
2022-07-18 08:00:00,ETEL,13.36,13.55,13.22,13.22,373438.0
2022-07-19 08:00:00,ETEL,13.22,13.55,13.22,13.32,1465622.0
2022-07-20 08:00:00,ETEL,13.32,13.54,13.24,13.25,425854.0
2022-07-21 08:00:00,ETEL,13.25,13.7,13.23,13.48,3046091.0
2022-07-24 08:00:00,ETEL,13.48,13.74,13.48,13.68,208159.0
2022-07-25 08:00:00,ETEL,13.61,13.7,13.45,13.5,631425.0
2022-07-26 08:00:00,ETEL,13.5,13.81,13.45,13.7,1614512.0
2022-07-27 08:00:00,ETEL,13.7,13.8,13.43,13.43,457741.0
2022-07-28 08:00:00,ETEL,13.53,13.6,13.29,13.35,260935.0
2022-07-31 08:00:00,ETEL,13.35,13.6,13.35,13.57,222152.0
2022-08-01 08:00:00,ETEL,13.57,13.68,13.5,13.59,2722293.0
