date,symbol,open,high,low,close,volume
2022-06-15 08:00:00,FWRY,4.14,4.22,4.14,4.19,2410858.0
2022-06-16 08:00:00,FWRY,4.19,4.26,4.15,4.25,46096512.0
2022-06-19 08:00:00,FWRY,4.25,4.25,4.14,4.15,570829.0
2022-06-20 08:00:00,FWRY,4.15,4.2,4.01,4.03,2503586.0
2022-06-21 08:00:00,FWRY,4.03,4.1,4.0,4.01,5295858.0
2022-06-22 08:00:00,FWRY,4.01,4.06,3.98,4.0,4123252.0
2022-06-23 08:00:00,FWRY,4.0,4.02,3.92,3.93,3357641.0
2022-06-26 08:00:00,FWRY,3.93,4.03,3.81,3.84,4056447.0
2022-06-27 08:00:00,FWRY,3.84,3.84,3.47,3.47,24829887.0
2022-06-28 08:00:00,FWRY,3.47,3.55,3.41,3.5,5947777.0
2022-06-29 08:00:00,FWRY,3.5,3.61,3.5,3.55,8199526.0
2022-07-03 08:00:00,FWRY,3.55,3.57,3.35,3.39,6672343.0
2022-07-04 08:00:00,FWRY,3.39,3.4,3.17,3.2,7185580.0
2022-07-05 08:00:00,FWRY,3.2,3.23,2.95,2.95,10357844.0
2022-07-06 08:00:00,FWRY,2.95,3.02,2.77,2.86,13984926.0
2022-07-07 08:00:00,FWRY,2.86,3.0,2.86,2.9,7278343.0
2022-07-17 08:00:00,FWRY,2.9,2.92,2.82,2.84,3408262.0
2022-07-18 08:00:00,FWRY,2.84,2.93,2.84,2.88,15412616.0
2022-07-19 08:00:00,FWRY,2.88,2.91,2.85,2.88,8756246.0
2022-07-20 08:00:00,FWRY,2.88,3.09,2.88,3.06,28073650.0
2022-07-21 08:00:00,FWRY,3.06,3.18,3.06,3.14,15476857.0
2022-07-24 08:00:00,FWRY,3.14,3.28,3.1,3.26,16671115.0
2022-07-25 08:00:00,FWRY,3.26,3.31,3.21,3.23,8561932.0
2022-07-26 08:00:00,FWRY,3.23,3.37,3.2,3.24,22286052.0
2022-07-27 08:00:00,FWRY,3.24,3.27,3.09,3.11,17381275.0
2022-07-28 08:00:00,FWRY,3.11,3.15,3.1,3.13,6903579.0
2022-07-31 08:00:00,FWRY,3.13,3.22,3.13,3.18,16760476.0
2022-08-01 08:00:00,FWRY,3.18,3.24,3.1,3.1,13412234.0
2022-08-02 08:00:00,FWRY,3.1,3.15,3.07,3.15,12239388.0
2022-08-03 08:00:00,FWRY,3.15,3.29,3.15,3.28,24146285.0
2022-08-04 08:00:00,FWRY,3.28,3.93,3.27,3.89,54453518.0
