date,symbol,open,high,low,close,volume
2022-04-21 08:00:00,GBCO,3.88,3.95,3.84,3.87,891416.0
2022-04-26 08:00:00,GBCO,3.87,3.98,3.8,3.9,1666595.0
2022-04-27 08:00:00,GBCO,3.9,3.94,3.84,3.86,1165762.0
2022-04-28 08:00:00,GBCO,3.86,4.29,3.85,4.25,5050163.0
2022-05-08 08:00:00,GBCO,4.25,4.25,4.09,4.1,2211861.0
2022-05-09 08:00:00,GBCO,4.1,4.16,3.93,3.94,2233767.0
2022-05-10 08:00:00,GBCO,3.94,4.0,3.87,3.94,748905.0
2022-05-11 08:00:00,GBCO,3.94,4.15,3.94,4.11,5381076.0
2022-05-12 08:00:00,GBCO,4.11,4.15,3.98,4.0,3427168.0
2022-05-15 08:00:00,GBCO,4.0,4.05,3.82,3.87,1250283.0
2022-05-16 08:00:00,GBCO,3.87,3.9,3.67,3.84,4466254.0
2022-05-17 08:00:00,GBCO,3.84,3.92,3.76,3.78,757628.0
2022-05-18 08:00:00,GBCO,3.78,3.83,3.73,3.78,504433.0
2022-05-19 08:00:00,GBCO,3.78,3.78,3.67,3.7,1359705.0
2022-05-22 08:00:00,GBCO,3.7,3.75,3.6,3.63,855764.0
2022-05-23 08:00:00,GBCO,3.63,3.68,3.5,3.53,1857296.0
2022-05-24 08:00:00,GBCO,3.53,3.6,3.31,3.36,1928803.0
2022-05-25 08:00:00,GBCO,3.36,3.36,2.97,3.0,8584536.0
2022-05-26 08:00:00,GBCO,3.0,3.02,2.73,2.75,7928589.0
2022-05-29 08:00:00,GBCO,2.75,2.96,2.62,2.95,3862387.0
2022-05-30 08:00:00,GBCO,2.95,3.07,2.92,2.98,1531676.0
2022-05-31 08:00:00,GBCO,2.98,3.07,2.98,3.0,904641.0
2022-06-01 08:00:00,GBCO,3.0,3.03,2.85,2.85,474788.0
2022-06-02 08:00:00,GBCO,2.89,2.94,2.84,2.91,624879.0
2022-06-05 08:00:00,GBCO,2.91,2.97,2.86,2.9,620819.0
2022-06-06 08:00:00,GBCO,2.9,3.04,2.9,2.95,1745947.0
