date,symbol,open,high,low,close,volume
2020-10-19 08:00:00,GMCI,0.894,0.91,0.882,0.902,311377.0
2020-10-20 08:00:00,GMCI,0.902,0.918,0.881,0.897,138019.0
2020-10-21 08:00:00,GMCI,0.897,0.909,0.86,0.873,286600.0
2020-10-22 08:00:00,GMCI,0.873,0.873,0.83,0.836,1599261.0
2020-10-25 08:00:00,GMCI,0.836,0.865,0.795,0.819,578955.0
2020-10-26 08:00:00,GMCI,0.819,0.856,0.815,0.842,216322.0
2020-10-27 08:00:00,GMCI,0.842,0.884,0.842,0.874,691138.0
2020-10-28 08:00:00,GMCI,0.874,0.917,0.87,0.91,917238.0
2020-11-01 08:00:00,GMCI,0.91,0.94,0.87,0.917,273283.0
2020-11-02 08:00:00,GMCI,0.917,0.94,0.872,0.903,870411.0
2020-11-03 08:00:00,GMCI,0.903,0.909,0.88,0.898,66200.0
2020-11-04 08:00:00,GMCI,0.898,0.928,0.86,0.9,75215.0
2020-11-05 08:00:00,GMCI,0.9,0.915,0.87,0.876,150784.0
2020-11-08 08:00:00,GMCI,0.876,0.918,0.876,0.901,140590.0
2020-11-09 08:00:00,GMCI,0.901,0.92,0.881,0.903,641172.0
2020-11-10 08:00:00,GMCI,0.903,0.941,0.897,0.93,890628.0
2020-11-11 08:00:00,GMCI,0.93,0.949,0.912,0.94,354585.0
2020-11-12 08:00:00,GMCI,0.94,0.949,0.91,0.921,171977.0
2020-11-15 08:00:00,GMCI,0.921,0.939,0.91,0.915,124156.0
2020-11-16 08:00:00,GMCI,0.915,0.958,0.904,0.94,365072.0
2020-11-17 08:00:00,GMCI,0.94,0.987,0.94,0.982,1537344.0
2020-11-18 08:00:00,GMCI,0.982,1.031,0.971,1.015,1517836.0
2020-11-19 08:00:00,GMCI,1.015,1.02,0.995,1.002,267108.0
2020-11-22 08:00:00,GMCI,1.002,1.002,0.952,0.966,114292.0
2020-11-23 08:00:00,GMCI,0.966,1.014,0.966,1.005,355129.0
2020-11-24 08:00:00,GMCI,1.005,1.005,0.96,0.97,354223.0
2020-11-25 08:00:00,GMCI,0.97,1.012,0.95,0.984,596611.0
2020-11-26 08:00:00,GMCI,0.984,0.984,0.943,0.956,195000.0
2020-11-29 08:00:00,GMCI,0.956,0.985,0.95,0.971,107550.0
2020-11-30 08:00:00,GMCI,0.971,0.989,0.93,0.954,186695.0
2020-12-01 08:00:00,GMCI,0.954,0.984,0.942,0.962,135580.0
2020-12-02 08:00:00,GMCI,0.962,0.974,0.923,0.945,213548.0
2020-12-03 08:00:00,GMCI,0.945,0.96,0.921,0.943,270063.0
