date,symbol,open,high,low,close,volume
2022-05-31 08:00:00,ISPH,1.6800083,1.70572271,1.620008,1.620008,10438389.28573192
2022-06-01 08:00:00,ISPH,1.62,1.66,1.54,1.55,5785324.0
2022-06-02 08:00:00,ISPH,1.55,1.67,1.55,1.66,12239805.0
2022-06-05 08:00:00,ISPH,1.66,1.695,1.64,1.67,5408936.0
2022-06-06 08:00:00,ISPH,1.67,1.67,1.57,1.623,5697462.0
2022-06-07 08:00:00,ISPH,1.623,1.64,1.62,1.629,3513759.0
2022-06-08 08:00:00,ISPH,1.629,1.65,1.629,1.642,3091725.0
2022-06-09 08:00:00,ISPH,1.642,1.695,1.642,1.677,4841730.0
2022-06-12 08:00:00,ISPH,1.677,1.679,1.636,1.664,3129216.0
2022-06-13 08:00:00,ISPH,1.664,1.664,1.578,1.586,11568450.0
2022-06-14 08:00:00,ISPH,1.586,1.62,1.58,1.586,11590499.0
2022-06-15 08:00:00,ISPH,1.586,1.603,1.582,1.592,6040074.0
2022-06-16 08:00:00,ISPH,1.592,1.598,1.585,1.589,2036818.0
2022-06-19 08:00:00,ISPH,1.589,1.6,1.561,1.587,1781658.0
2022-06-20 08:00:00,ISPH,1.569,1.585,1.542,1.556,2020830.0
2022-06-21 08:00:00,ISPH,1.556,1.58,1.55,1.569,1473533.0
2022-06-22 08:00:00,ISPH,1.569,1.575,1.55,1.559,2426871.0
2022-06-23 08:00:00,ISPH,1.559,1.559,1.523,1.523,4019900.0
2022-06-26 08:00:00,ISPH,1.523,1.55,1.504,1.529,1795102.0
2022-06-27 08:00:00,ISPH,1.529,1.538,1.502,1.509,2016011.0
2022-06-28 08:00:00,ISPH,1.509,1.52,1.41,1.484,2018470.0
2022-06-29 08:00:00,ISPH,1.456,1.488,1.45,1.47,972999.0
2022-07-03 08:00:00,ISPH,1.47,1.47,1.397,1.406,3667149.0
2022-07-04 08:00:00,ISPH,1.406,1.406,1.18,1.19,18541586.0
2022-07-05 08:00:00,ISPH,1.19,1.2,1.101,1.113,22315310.0
2022-07-06 08:00:00,ISPH,1.113,1.15,1.101,1.129,9021053.0
2022-07-07 08:00:00,ISPH,1.129,1.163,1.129,1.14,6869810.0
2022-07-17 08:00:00,ISPH,1.14,1.176,1.136,1.152,7105456.0
2022-07-18 08:00:00,ISPH,1.152,1.18,1.152,1.16,12007634.0
2022-07-19 08:00:00,ISPH,1.16,1.168,1.15,1.161,5939327.0
2022-07-20 08:00:00,ISPH,1.161,1.24,1.16,1.24,23466347.0
2022-07-21 08:00:00,ISPH,1.24,1.44,1.24,1.375,38235476.0
2022-07-24 08:00:00,ISPH,1.375,1.516,1.375,1.47,27012305.0
2022-07-25 08:00:00,ISPH,1.47,1.582,1.44,1.58,18284876.0
2022-07-26 08:00:00,ISPH,1.566,1.609,1.52,1.528,16882139.0
2022-07-27 08:00:00,ISPH,1.528,1.584,1.479,1.53,17271225.0
2022-07-28 08:00:00,ISPH,1.53,1.55,1.495,1.504,14378155.0
2022-07-31 08:00:00,ISPH,1.504,1.58,1.504,1.541,14969785.0
2022-08-01 08:00:00,ISPH,1.541,1.59,1.53,1.572,12293751.0
2022-08-02 08:00:00,ISPH,1.572,1.69,1.565,1.683,27633715.0
2022-08-03 08:00:00,ISPH,1.683,1.71,1.636,1.683,14703416.0
2022-08-04 08:00:00,ISPH,1.683,1.81,1.674,1.769,25643346.0
2022-08-07 08:00:00,ISPH,1.769,1.93,1.769,1.882,23205106.0
2022-08-08 08:00:00,ISPH,1.882,1.907,1.761,1.79,11025295.0
2022-08-09 08:00:00,ISPH,1.79,1.854,1.72,1.732,10233676.0
2022-08-10 08:00:00,ISPH,1.732,1.795,1.71,1.745,4827461.0
2022-08-11 08:00:00,ISPH,1.745,1.794,1.741,1.753,3967082.0
2022-08-14 08:00:00,ISPH,1.753,1.78,1.671,1.69,10263212.0
2022-08-15 08:00:00,ISPH,1.69,1.759,1.662,1.745,11484803.0
2022-08-16 08:00:00,ISPH,1.705,1.817,1.705,1.744,15639169.0
2022-08-17 08:00:00,ISPH,1.744,1.818,1.722,1.8,10023938.0
2022-08-18 08:00:00,ISPH,1.8,1.888,1.8,1.857,13057843.0
2022-08-21 08:00:00,ISPH,1.857,1.999,1.857,1.999,17854255.0
2022-08-22 08:00:00,ISPH,1.999,2.038,1.921,1.951,13474491.0
2022-08-23 08:00:00,ISPH,1.951,1.98,1.9,1.934,7728104.0
2022-08-24 08:00:00,ISPH,1.934,1.949,1.895,1.919,4269227.0
2022-08-25 08:00:00,ISPH,1.919,1.965,1.9,1.926,8157672.0
2022-08-28 08:00:00,ISPH,1.926,2.05,1.905,2.05,16116402.0
2022-08-29 08:00:00,ISPH,2.05,2.09,1.94,2.0,13765908.0
2022-08-30 08:00:00,ISPH,2.0,2.029,1.945,1.998,4655955.0
2022-08-31 08:00:00,ISPH,1.998,2.01,1.952,1.99,2947304.0
2022-09-01 08:00:00,ISPH,1.99,1.994,1.89,1.949,4143690.0
2022-09-04 08:00:00,ISPH,1.949,1.958,1.901,1.958,2191247.0
2022-09-05 08:00:00,ISPH,1.958,2.02,1.954,2.0,10119627.0
2022-09-06 08:00:00,ISPH,2.0,2.045,2.0,2.044,5645105.0
2022-09-07 08:00:00,ISPH,2.044,2.044,2.004,2.04,4105047.0
2022-09-08 08:00:00,ISPH,2.04,2.04,2.01,2.02,1689698.0
2022-09-11 08:00:00,ISPH,2.02,2.03,1.96,2.0,3139967.0
2022-09-12 08:00:00,ISPH,2.0,2.03,1.97,1.98,2661515.0
2022-09-13 08:00:00,ISPH,1.98,2.0,1.97,1.99,1844789.0
2022-09-14 08:00:00,ISPH,1.99,1.99,1.91,1.98,3379841.0
2022-09-15 08:00:00,ISPH,1.98,1.98,1.93,1.97,1366390.0
2022-09-18 08:00:00,ISPH,1.97,1.97,1.77,1.85,3853091.0
2022-09-19 08:00:00,ISPH,1.85,1.881,1.71,1.881,3050794.0
2022-09-20 08:00:00,ISPH,1.881,1.889,1.83,1.858,1072851.0
2022-09-21 08:00:00,ISPH,1.858,1.869,1.831,1.835,692201.0
2022-09-22 08:00:00,ISPH,1.838,1.85,1.762,1.849,2255670.0
2022-09-25 08:00:00,ISPH,1.849,1.849,1.79,1.829,798873.0
2022-09-26 08:00:00,ISPH,1.829,1.849,1.813,1.843,1121470.0
2022-09-27 08:00:00,ISPH,1.843,1.879,1.831,1.838,2723779.0
2022-09-28 08:00:00,ISPH,1.838,1.882,1.802,1.869,2152206.0
2022-09-29 08:00:00,ISPH,1.869,1.9,1.861,1.87,1477375.0
2022-10-02 08:00:00,ISPH,1.87,1.89,1.821,1.837,2009305.0
2022-10-03 08:00:00,ISPH,1.837,1.85,1.782,1.836,2183853.0
2022-10-04 08:00:00,ISPH,1.836,1.844,1.813,1.82,2689069.0
2022-10-05 08:00:00,ISPH,1.82,1.83,1.783,1.8,2364891.0
2022-10-09 08:00:00,ISPH,1.8,1.82,1.77,1.81,1516877.0
2022-10-10 08:00:00,ISPH,1.81,1.82,1.756,1.785,1717661.0
2022-10-11 08:00:00,ISPH,1.785,1.805,1.731,1.769,2102022.0
2022-10-12 08:00:00,ISPH,1.769,1.778,1.716,1.745,1247658.0
2022-10-13 08:00:00,ISPH,1.742,1.77,1.723,1.77,1440696.0
2022-10-16 08:00:00,ISPH,1.77,1.799,1.751,1.786,1182312.0
2022-10-17 08:00:00,ISPH,1.786,1.832,1.78,1.79,9247673.0
2022-10-18 08:00:00,ISPH,1.79,1.81,1.77,1.78,2522179.0
2022-10-19 08:00:00,ISPH,1.78,1.795,1.741,1.795,1286324.0
2022-10-20 08:00:00,ISPH,1.778,1.795,1.762,1.777,1418309.0
2022-10-23 08:00:00,ISPH,1.777,1.805,1.777,1.777,692963.0
2022-10-24 08:00:00,ISPH,1.781,1.788,1.731,1.74,3339637.0
2022-10-25 08:00:00,ISPH,1.74,1.758,1.73,1.758,1575643.0
2022-10-26 08:00:00,ISPH,1.758,1.8,1.758,1.778,6696676.0
2022-10-27 08:00:00,ISPH,1.778,1.83,1.778,1.817,9341834.0
2022-10-30 08:00:00,ISPH,1.817,1.849,1.792,1.817,12034573.0
2022-10-31 08:00:00,ISPH,1.817,1.82,1.771,1.802,3888221.0
2022-11-01 08:00:00,ISPH,1.802,1.85,1.792,1.833,7359851.0
2022-11-02 08:00:00,ISPH,1.833,1.85,1.8,1.812,3601379.0
2022-11-03 08:00:00,ISPH,1.812,1.812,1.775,1.779,2133674.0
2022-11-06 08:00:00,ISPH,1.78100002,1.78999996,1.75100005,1.75399995,1153920.0
2022-11-07 08:00:00,ISPH,1.754,1.775,1.746,1.749,1892067.0
2022-11-08 08:00:00,ISPH,1.749,1.766,1.71,1.723,2622701.0
2022-11-09 08:00:00,ISPH,1.723,1.723,1.68,1.701,1925504.0
2022-11-10 08:00:00,ISPH,1.701,1.74,1.69,1.73,1804388.0
2022-11-13 08:00:00,ISPH,1.73,1.76,1.73,1.73,3140515.0
2022-11-14 08:00:00,ISPH,1.73,1.748,1.707,1.74,3076863.0
