date,symbol,open,high,low,close,volume
2022-04-21 08:00:00,JUFO,5.96,6.016,5.952,6.0,674366.25
2022-04-26 08:00:00,JUFO,6.0,6.056,5.816,6.04,168458.75
2022-04-27 08:00:00,JUFO,6.032,6.096,6.008,6.08,258531.25
2022-04-28 08:00:00,JUFO,6.08,6.144,5.824,6.12,177897.5
2022-05-08 08:00:00,JUFO,6.112,6.24,5.832,6.24,1628628.75
2022-05-09 08:00:00,JUFO,6.224,6.272,6.16,6.24,3557370.0
2022-05-10 08:00:00,JUFO,6.24,6.256,6.184,6.256,263817.5
2022-05-11 08:00:00,JUFO,6.256,6.568,6.2,6.568,4588493.75
2022-05-12 08:00:00,JUFO,6.568,6.792,6.464,6.568,2966191.25
2022-05-15 08:00:00,JUFO,6.568,6.68,6.408,6.64,2877236.25
2022-05-16 08:00:00,JUFO,6.632,6.712,6.36,6.664,85461.25
2022-05-17 08:00:00,JUFO,6.64,6.712,6.28,6.696,106330.0
2022-05-18 08:00:00,JUFO,6.688,6.752,6.688,6.72,307950.0
2022-05-19 08:00:00,JUFO,6.728,6.744,6.704,6.72,912318.75
2022-05-22 08:00:00,JUFO,6.72,6.944,6.72,6.92,621571.25
2022-05-23 08:00:00,JUFO,6.896,7.08,6.896,6.96,1768818.75
2022-05-24 08:00:00,JUFO,6.96,7.144,6.96,7.08,6159602.5
2022-05-25 08:00:00,JUFO,7.08,7.12,7.024,7.04,385087.5
2022-05-26 08:00:00,JUFO,7.032,7.04,6.464,6.72,42783.75
2022-05-29 08:00:00,JUFO,7.032,7.032,6.28,6.568,55160.0
2022-05-30 08:00:00,JUFO,6.68,6.72,6.4,6.6,171287.5
2022-05-31 08:00:00,JUFO,6.608,6.64,6.44,6.608,286151.25
2022-06-01 08:00:00,JUFO,6.608,6.88,6.4160008,6.64,64311.25
2022-06-02 08:00:00,JUFO,6.624,6.92,6.424,6.624,13060.0
2022-06-05 08:00:00,JUFO,6.624,6.64,6.456,6.56,13812.5
2022-06-06 08:00:00,JUFO,6.624,6.64,6.176,6.504,109081.25
2022-06-07 08:00:00,JUFO,6.504,6.568,6.408,6.52,48392.5
2022-06-08 08:00:00,JUFO,6.472,6.6,6.216,6.4,53818.75
2022-06-09 08:00:00,JUFO,6.424,6.56,6.368,6.4,16772.5
2022-06-12 08:00:00,JUFO,6.424,6.424,6.072,6.08,66682.5
2022-06-13 08:00:00,JUFO,6.104,6.232,5.696,5.768,40542.5
2022-06-14 08:00:00,JUFO,6.104,6.104,5.872,6.048,24982.5
2022-06-15 08:00:00,JUFO,6.104,6.16,5.68,5.712,219937.5
2022-06-16 08:00:00,JUFO,5.744,5.76,4.848,5.72,2130891.25
2022-06-19 08:00:00,JUFO,5.704,5.752,5.44,5.44,33038.75
2022-06-20 08:00:00,JUFO,5.704,5.704,5.464,5.704,36576.25
2022-06-21 08:00:00,JUFO,5.704,5.912,5.64,5.64,100480.0
2022-06-22 08:00:00,JUFO,5.72,6.32,5.712,5.76,298388.75
2022-06-23 08:00:00,JUFO,5.76,5.76,5.704,5.704,9433.75
2022-06-26 08:00:00,JUFO,5.76,5.992,5.6,5.792,23246.25
2022-06-27 08:00:00,JUFO,5.76,5.8,5.6,5.76,1429301.25
2022-06-28 08:00:00,JUFO,5.76,5.904,5.6,5.672,1225211.25
2022-06-29 08:00:00,JUFO,5.672,5.88,5.52,5.8,1814423.75
2022-07-03 08:00:00,JUFO,5.8,6.0,5.52,5.776,123212.5
2022-07-04 08:00:00,JUFO,5.712,6.08,5.6,5.744,357531.25
2022-07-05 08:00:00,JUFO,5.744,5.744,5.56,5.6,631746.25
2022-07-06 08:00:00,JUFO,5.6,5.76,5.528,5.68,79425.0
2022-07-07 08:00:00,JUFO,5.68,5.92,5.608,5.736,69786.25
2022-07-17 08:00:00,JUFO,5.736,5.76,5.6,5.744,7120.0
2022-07-18 08:00:00,JUFO,5.736,6.0,5.6,6.0,127927.5
2022-07-19 08:00:00,JUFO,5.936,5.984,5.8,5.864,24320.0
2022-07-20 08:00:00,JUFO,5.936,5.936,5.824,5.88,56850.0
2022-07-21 08:00:00,JUFO,5.88,6.064,5.76,5.96,541836.25
2022-07-24 08:00:00,JUFO,5.952,6.032,5.88,6.0,416463.75
2022-07-25 08:00:00,JUFO,5.96,6.032,5.92,5.928,2215475.0
2022-07-26 08:00:00,JUFO,5.992,5.992,5.92,5.928,17355.0
2022-07-27 08:00:00,JUFO,5.992,6.032,5.88,6.032,25820.0
2022-07-28 08:00:00,JUFO,5.992,6.04,5.768,5.968,50656.25
2022-07-31 08:00:00,JUFO,5.968,6.04,5.92,6.024,23013.75
2022-08-01 08:00:00,JUFO,5.968,6.136,5.96,6.136,34681.25
2022-08-02 08:00:00,JUFO,5.968,6.368,5.952,6.192,398456.25
2022-08-03 08:00:00,JUFO,6.192,6.352,6.192,6.304,46865.0
2022-08-04 08:00:00,JUFO,6.192,6.304,6.088,6.112,50955.0
2022-08-07 08:00:00,JUFO,6.176,6.32,4.96,5.92,145251.25
2022-08-08 08:00:00,JUFO,5.92,6.312,5.6,5.64,103002.5
2022-08-09 08:00:00,JUFO,5.76,6.08,5.6,5.624,92248.75
2022-08-10 08:00:00,JUFO,5.664,5.8,5.64,5.784,35508.75
2022-08-11 08:00:00,JUFO,5.664,5.792,5.64,5.768,11117.5
2022-08-14 08:00:00,JUFO,5.664,5.776,5.664,5.736,21047.5
2022-08-15 08:00:00,JUFO,5.664,5.76,5.6,5.72,19333.75
2022-08-16 08:00:00,JUFO,5.664,5.744,5.6,5.736,993867.5
2022-08-17 08:00:00,JUFO,5.736,5.736,4.64,5.616,207398.75
2022-08-18 08:00:00,JUFO,5.608,5.792,5.608,5.64,52246.25
2022-08-21 08:00:00,JUFO,5.608,5.808,5.608,5.8,181667.5
2022-08-22 08:00:00,JUFO,5.768,6.0,5.76,5.92,64470.0
2022-08-23 08:00:00,JUFO,5.888,5.944,5.776,5.92,52622.5
2022-08-24 08:00:00,JUFO,5.864,5.944,5.656,5.872,185671.25
2022-08-25 08:00:00,JUFO,5.872,5.92,5.8,5.88,34028.75
2022-08-28 08:00:00,JUFO,5.872,5.896,5.824,5.88,9233.75
2022-08-29 08:00:00,JUFO,5.872,5.896,5.744,5.832,55862.5
2022-08-30 08:00:00,JUFO,5.832,5.888,5.76,5.808,66373.75
2022-08-31 08:00:00,JUFO,5.808,5.896,5.776,5.848,689343.75
2022-09-01 08:00:00,JUFO,5.848,6.0,5.744,5.888,109452.5
2022-09-04 08:00:00,JUFO,5.904,5.92,5.76,5.84,28663.75
2022-09-05 08:00:00,JUFO,5.904,5.92,5.76,5.92,37257.5
2022-09-06 08:00:00,JUFO,5.904,5.904,5.76,5.856,33687.5
2022-09-07 08:00:00,JUFO,5.904,5.904,5.84,5.864,23692.5
2022-09-08 08:00:00,JUFO,5.904,6.2,5.88,6.144,148022.5
2022-09-11 08:00:00,JUFO,6.144,6.2,5.872,6.144,102300.0
2022-09-12 08:00:00,JUFO,6.016,6.36,5.936,6.24,139100.0
2022-09-13 08:00:00,JUFO,6.184,6.36,6.0,6.184,27851.25
2022-09-14 08:00:00,JUFO,6.184,6.184,5.92,6.0,108003.75
2022-09-15 08:00:00,JUFO,5.928,6.04,5.6,5.648,120630.0
2022-09-18 08:00:00,JUFO,5.808,5.92,5.624,5.896,94021.25
2022-09-19 08:00:00,JUFO,5.8,5.896,5.648,5.824,30050.0
2022-09-20 08:00:00,JUFO,5.8,6.072,5.8,5.992,65570.0
