date,symbol,open,high,low,close,volume
2022-05-22 08:00:00,LCSW,3.1584,3.3504,3.1488,3.2064,757545.0
2022-05-23 08:00:00,LCSW,3.2064,3.2832,3.1104,3.1392,472334.0
2022-05-24 08:00:00,LCSW,3.1392,3.1872,3.072,3.1104,409091.0
2022-05-25 08:00:00,LCSW,3.1104,3.1104,2.88,2.9088,186512.0
2022-05-26 08:00:00,LCSW,2.9088,3.168,2.9088,3.0816,670764.0
2022-05-29 08:00:00,LCSW,3.0816,3.3216,3.0816,3.1776,886702.0
2022-05-30 08:00:00,LCSW,3.1776,3.2928,3.168,3.1872,559180.0
2022-05-31 08:00:00,LCSW,3.1872,3.2064,3.0816,3.0816,115945.0
2022-06-01 08:00:00,LCSW,3.1008,3.1968,3.024,3.0336,404681.0
2022-06-02 08:00:00,LCSW,3.0336,3.12,3.0336,3.072,449740.0
2022-06-05 08:00:00,LCSW,3.072,3.1968,3.0624,3.12,190987.0
2022-06-06 08:00:00,LCSW,3.0912,3.2256,3.0912,3.1872,375457.0
2022-06-07 08:00:00,LCSW,3.1872,3.4176,3.1872,3.3312,1627939.0
2022-06-08 08:00:00,LCSW,3.3312,3.744,3.3312,3.744,2806254.0
2022-06-09 08:00:00,LCSW,3.6384,3.792,3.5808,3.648,1178415.0
2022-06-12 08:00:00,LCSW,3.6576,3.7248,3.5616,3.6768,1182943.0
2022-06-13 08:00:00,LCSW,3.6768,3.9072,3.648,3.696,1415046.0
2022-06-14 08:00:00,LCSW,3.696,4.0416,3.6672,3.9936,1981300.0
2022-06-15 08:00:00,LCSW,3.9936,4.1376,3.84,4.0032,1859831.0
2022-06-16 08:00:00,LCSW,4.0032,4.08,3.7344,3.936,3776544.0
2022-06-19 08:00:00,LCSW,3.936,4.0032,3.7824,3.9168,2282180.0
2022-06-20 08:00:00,LCSW,3.9168,4.0032,3.7824,3.8304,916640.0
2022-06-21 08:00:00,LCSW,3.8304,3.984,3.8208,3.84,949925.0
2022-06-22 08:00:00,LCSW,3.84,3.8784,3.7344,3.7536,927388.0
2022-06-23 08:00:00,LCSW,3.7536,3.8016,3.6576,3.6768,1419458.0
2022-06-26 08:00:00,LCSW,3.6768,3.8784,3.6768,3.7152,1459626.0
2022-06-27 08:00:00,LCSW,3.7152,3.8592,3.696,3.8112,1313985.0
2022-06-28 08:00:00,LCSW,3.8112,3.9168,3.7056,3.8208,585650.0
2022-06-29 08:00:00,LCSW,3.8208,3.9072,3.7248,3.8304,625121.0
2022-07-03 08:00:00,LCSW,3.7728,3.8208,3.696,3.696,342113.0
2022-07-04 08:00:00,LCSW,3.7152,4.0896,3.7152,4.0416,2007770.0
2022-07-05 08:00:00,LCSW,4.0416,4.2528,3.9744,4.0992,704178.0
2022-07-06 08:00:00,LCSW,4.0992,4.1952,4.0512,4.1472,238927.0
2022-07-07 08:00:00,LCSW,4.128,4.512,4.128,4.512,1176526.0
2022-07-17 08:00:00,LCSW,4.4544,4.4544,4.128,4.2912,1192011.0
2022-07-18 08:00:00,LCSW,4.2912,4.5216,4.2624,4.4352,815088.0
2022-07-19 08:00:00,LCSW,4.4352,4.7328,4.4256,4.7136,1066464.0
2022-07-20 08:00:00,LCSW,4.6656,4.848,4.6272,4.7232,964707.0
2022-07-21 08:00:00,LCSW,4.7232,4.7808,4.608,4.6656,925437.0
2022-07-24 08:00:00,LCSW,4.6656,4.704,4.4448,4.4832,328429.0
2022-07-25 08:00:00,LCSW,4.4832,4.6752,4.3776,4.464,374687.0
2022-07-26 08:00:00,LCSW,4.464,4.5984,4.416,4.4544,235381.0
2022-07-27 08:00:00,LCSW,4.4544,4.8,4.3392,4.6176,1212619.0
2022-07-28 08:00:00,LCSW,4.6368,4.7904,4.608,4.6464,602410.0
2022-07-31 08:00:00,LCSW,4.656,4.7904,4.6368,4.6752,236470.0
2022-08-01 08:00:00,LCSW,4.656,4.7808,4.4544,4.5792,417250.0
2022-08-02 08:00:00,LCSW,4.5792,4.6464,4.416,4.5312,611568.0
2022-08-03 08:00:00,LCSW,4.5312,4.9056,4.5312,4.7232,1207478.0
2022-08-04 08:00:00,LCSW,4.7232,4.9632,4.704,4.8864,830843.0
2022-08-07 08:00:00,LCSW,4.8864,5.856,4.8864,5.856,2200620.0
2022-08-08 08:00:00,LCSW,5.856,7.008,5.856,6.5856,992204.0
2022-08-09 08:00:00,LCSW,6.5856,7.0944,6.5472,6.576,2753561.0
2022-08-10 08:00:00,LCSW,6.6048,7.1808,6.6048,7.056,1817255.0
2022-08-11 08:00:00,LCSW,7.056,8.1888,7.056,8.1216,1798653.0
2022-08-14 08:00:00,LCSW,8.0544,8.9184,7.8816,8.0352,2309708.0
2022-08-15 08:00:00,LCSW,8.0352,8.7744,7.6512,8.5056,2880825.0
2022-08-16 08:00:00,LCSW,8.5056,8.9184,8.16,8.2464,997798.0
2022-08-17 08:00:00,LCSW,8.2464,8.4384,7.6896,7.8048,1525651.0
2022-08-18 08:00:00,LCSW,7.8048,8.3904,7.68,7.9392,5585671.0
2022-08-21 08:00:00,LCSW,7.9392,8.352,7.9296,8.0064,3070142.0
2022-08-22 08:00:00,LCSW,8.0064,8.5536,7.9392,8.5536,4805352.0
2022-08-23 08:00:00,LCSW,8.5536,9.072,8.2272,8.2848,5606790.0
2022-08-24 08:00:00,LCSW,8.2848,8.88,8.016,8.3424,4524663.0
2022-08-25 08:00:00,LCSW,8.3424,8.6496,8.208,8.2752,2977330.0
2022-08-28 08:00:00,LCSW,8.2752,9.024,8.1024,9.024,5033906.0
2022-08-29 08:00:00,LCSW,9.024,10.272,9.024,9.9168,6351107.0
2022-08-30 08:00:00,LCSW,9.9168,10.128,9.4176,9.6288,2798952.0
2022-08-31 08:00:00,LCSW,9.6288,9.9936,9.0432,9.1968,3818485.0
2022-09-01 08:00:00,LCSW,9.1968,9.408,8.5536,9.0816,2897953.0
2022-09-04 08:00:00,LCSW,9.0816,9.216,8.4768,8.4768,4374165.0
2022-09-05 08:00:00,LCSW,8.4768,8.9088,8.4672,8.5344,2464019.0
2022-09-06 08:00:00,LCSW,8.5344,9.5328,8.5344,9.3984,4799147.0
2022-09-07 08:00:00,LCSW,9.3984,9.7728,9.0048,9.4656,5101483.0
2022-09-08 08:00:00,LCSW,9.4656,9.7824,9.1488,9.3888,2710029.0
2022-09-11 08:00:00,LCSW,9.3888,9.5904,9.072,9.1584,1748328.0
2022-09-12 08:00:00,LCSW,9.1584,9.4368,8.928,9.1872,2773337.0
2022-09-13 08:00:00,LCSW,9.1872,9.5616,9.1392,9.5616,2724766.0
2022-09-14 08:00:00,LCSW,9.5616,10.848,9.3408,10.7328,5545105.0
2022-09-15 08:00:00,LCSW,10.7328,10.848,10.2816,10.464,4112411.0
2022-09-18 08:00:00,LCSW,10.464,11.088,9.6,9.9552,4191638.0
2022-09-19 08:00:00,LCSW,9.9552,10.32,9.6576,10.2816,3995079.0
2022-09-20 08:00:00,LCSW,10.2816,11.424,10.2816,11.04,5879870.0
