date,symbol,open,high,low,close,volume
2022-06-16 08:00:00,MENA,0.763,0.8,0.763,0.771,3222090.0
2022-06-19 08:00:00,MENA,0.774,0.816,0.767,0.798,5744183.0
2022-06-20 08:00:00,MENA,0.798,0.825,0.79,0.791,7532133.0
2022-06-21 08:00:00,MENA,0.798,0.855,0.798,0.844,11369690.0
2022-06-22 08:00:00,MENA,0.844,0.864,0.816,0.826,4771698.0
2022-06-23 08:00:00,MENA,0.826,0.841,0.81,0.825,3716456.0
2022-06-26 08:00:00,MENA,0.825,0.845,0.779,0.783,6058742.0
2022-06-27 08:00:00,MENA,0.783,0.79,0.74,0.742,2617534.0
2022-06-28 08:00:00,MENA,0.742,0.764,0.72,0.735,1341974.0
2022-06-29 08:00:00,MENA,0.735,0.757,0.72,0.727,2890544.0
2022-07-03 08:00:00,MENA,0.727,0.74,0.72,0.724,1082147.0
2022-07-04 08:00:00,MENA,0.724,0.74,0.705,0.725,2115280.0
2022-07-05 08:00:00,MENA,0.716,0.749,0.716,0.73,1258331.0
2022-07-06 08:00:00,MENA,0.73,0.74,0.723,0.737,702224.0
2022-07-07 08:00:00,MENA,0.737,0.77,0.737,0.75,1146799.0
2022-07-17 08:00:00,MENA,0.75,0.77,0.74,0.758,1322763.0
2022-07-18 08:00:00,MENA,0.752,0.77,0.752,0.76,772943.0
2022-07-19 08:00:00,MENA,0.761,0.814,0.761,0.805,3429069.0
2022-07-20 08:00:00,MENA,0.805,0.838,0.804,0.815,2823443.0
2022-07-21 08:00:00,MENA,0.815,0.832,0.813,0.82,2079011.0
2022-07-24 08:00:00,MENA,0.82,0.833,0.81,0.81,1621212.0
2022-07-25 08:00:00,MENA,0.811,0.868,0.811,0.861,6903363.0
2022-07-26 08:00:00,MENA,0.861,0.88,0.842,0.845,3043580.0
2022-07-27 08:00:00,MENA,0.845,0.869,0.822,0.826,1224772.0
2022-07-28 08:00:00,MENA,0.826,0.88,0.822,0.855,5391320.0
2022-07-31 08:00:00,MENA,0.855,0.9,0.855,0.878,7276087.0
2022-08-01 08:00:00,MENA,0.878,0.89,0.842,0.849,2748931.0
2022-08-02 08:00:00,MENA,0.849,0.863,0.841,0.857,1938647.0
2022-08-03 08:00:00,MENA,0.857,0.892,0.853,0.855,2853985.0
2022-08-04 08:00:00,MENA,0.855,0.88,0.852,0.871,1635016.0
2022-08-07 08:00:00,MENA,0.871,0.938,0.871,0.92,7715283.0
2022-08-08 08:00:00,MENA,0.92,0.959,0.912,0.919,7317360.0
2022-08-09 08:00:00,MENA,0.919,0.988,0.918,0.942,11945286.0
2022-08-10 08:00:00,MENA,0.942,0.965,0.92,0.933,5050422.0
2022-08-11 08:00:00,MENA,0.933,0.986,0.93,0.974,9682914.0
2022-08-14 08:00:00,MENA,0.974,1.083,0.974,1.067,14087474.0
