date,symbol,open,high,low,close,volume
2022-04-05 08:00:00,MFSC,8.89,9.44,8.89,9.07,5001.0
2022-04-07 08:00:00,MFSC,8.89,9.01,8.89,9.0,1957.0
2022-04-10 08:00:00,MFSC,8.89,9.25,8.89,9.01,9047.0
2022-04-11 08:00:00,MFSC,8.89,9.47,8.89,8.98,20792.0
2022-04-12 08:00:00,MFSC,8.89,9.45,8.75,8.75,1021660.0
2022-04-13 08:00:00,MFSC,8.75,8.75,8.7,8.7,10810.0
2022-04-14 08:00:00,MFSC,8.75,8.75,8.65,8.65,21157.0
2022-04-17 08:00:00,MFSC,8.75,8.75,8.65,8.65,2894.0
2022-04-18 08:00:00,MFSC,8.75,8.75,8.58,8.68,5057.0
2022-04-19 08:00:00,MFSC,8.75,8.95,8.61,8.61,923.0
2022-04-20 08:00:00,MFSC,8.75,8.8,8.6,8.6,5000.0
2022-04-21 08:00:00,MFSC,8.75,9.19,8.6,8.6,19494.0
2022-04-26 08:00:00,MFSC,8.75,8.75,8.6,8.6,10054.0
2022-04-27 08:00:00,MFSC,8.75,8.75,8.59,8.7,10004.0
2022-04-28 08:00:00,MFSC,8.75,8.76,8.71,8.75,31482.0
2022-05-08 08:00:00,MFSC,8.75,9.12,8.75,9.020001,1343.0
2022-05-09 08:00:00,MFSC,8.75,9.15,8.71,8.75,62333.0
2022-05-10 08:00:00,MFSC,8.75,8.75,8.62,8.75,23485.0
2022-05-11 08:00:00,MFSC,8.75,9.15,8.68,8.7,42274.0
2022-05-12 08:00:00,MFSC,8.69,8.7,8.6,8.7,21820.0
2022-05-15 08:00:00,MFSC,8.69,8.7,8.58,8.58,18635.0
2022-05-16 08:00:00,MFSC,8.69,8.69,7.08,8.020001,49745.0
2022-05-17 08:00:00,MFSC,8.020001,9.0,8.020001,8.7,10030.0
2022-05-18 08:00:00,MFSC,8.020001,9.0,8.020001,8.520001,15012.0
2022-05-19 08:00:00,MFSC,8.020001,8.520001,8.020001,8.5,19508.0
2022-05-22 08:00:00,MFSC,8.020001,8.7,8.020001,8.7,50.0
2022-05-23 08:00:00,MFSC,8.020001,8.7,8.020001,8.7,240.0
2022-05-24 08:00:00,MFSC,8.020001,8.55,8.020001,8.55,13000.0
