date,symbol,open,high,low,close,volume
2022-04-05 08:00:00,MOIL,0.09,0.094,0.085,0.087,406231.0
2022-04-06 08:00:00,MOIL,0.088,0.092,0.088,0.092,451196.0
2022-04-07 08:00:00,MOIL,0.092,0.092,0.091,0.092,116921.0
2022-04-10 08:00:00,MOIL,0.092,0.092,0.08,0.083,1349151.0
2022-04-11 08:00:00,MOIL,0.083,0.083,0.08,0.081,73900.0
2022-04-12 08:00:00,MOIL,0.083,0.083,0.08,0.083,196295.0
2022-04-13 08:00:00,MOIL,0.083,0.085,0.082,0.085,130825.0
2022-04-14 08:00:00,MOIL,0.083,0.084,0.083,0.083,78718.0
2022-04-17 08:00:00,MOIL,0.083,0.084,0.081,0.082,82951.0
2022-04-18 08:00:00,MOIL,0.083,0.083,0.08,0.08,576735.0
2022-04-19 08:00:00,MOIL,0.08,0.083,0.08,0.083,119500.0
2022-04-20 08:00:00,MOIL,0.08,0.084,0.08,0.084,25050.0
2022-04-21 08:00:00,MOIL,0.08,0.089,0.08,0.088,420306.0
2022-04-26 08:00:00,MOIL,0.088,0.092,0.088,0.089,300216.0
2022-04-27 08:00:00,MOIL,0.091,0.093,0.089,0.092,153797.0
2022-04-28 08:00:00,MOIL,0.091,0.096,0.091,0.096,343989.0
2022-05-08 08:00:00,MOIL,0.096,0.096,0.093,0.094,196988.0
2022-05-09 08:00:00,MOIL,0.094,0.095,0.093,0.094,105736.0
2022-05-10 08:00:00,MOIL,0.094,0.095,0.093,0.094,160996.0
2022-05-11 08:00:00,MOIL,0.094,0.095,0.094,0.094,112687.0
2022-05-12 08:00:00,MOIL,0.094,0.096,0.094,0.094,160430.0
2022-05-15 08:00:00,MOIL,0.094,0.095,0.092,0.093,121013.0
2022-05-16 08:00:00,MOIL,0.094,0.094,0.092,0.092,172647.0
2022-05-17 08:00:00,MOIL,0.094,0.094,0.09,0.09,350983.0
2022-05-18 08:00:00,MOIL,0.091,0.091,0.089,0.09,85385.0
2022-05-19 08:00:00,MOIL,0.091,0.091,0.086,0.089,275130.0
2022-05-22 08:00:00,MOIL,0.088,0.09,0.088,0.089,130261.0
2022-05-23 08:00:00,MOIL,0.088,0.089,0.088,0.089,31000.0
2022-05-24 08:00:00,MOIL,0.088,0.09,0.087,0.087,104803.0
2022-05-25 08:00:00,MOIL,0.088,0.088,0.072,0.073,2936502.0
2022-05-26 08:00:00,MOIL,0.078,0.079,0.073,0.075,696480.0
2022-05-29 08:00:00,MOIL,0.075,0.075,0.068,0.069,1583248.0
2022-05-30 08:00:00,MOIL,0.069,0.071,0.069,0.07,11797163.0
2022-05-31 08:00:00,MOIL,0.07,0.075,0.07,0.07,1353524.0
2022-06-01 08:00:00,MOIL,0.071,0.073,0.07,0.071,101917.0
2022-06-02 08:00:00,MOIL,0.071,0.073,0.071,0.073,440650.0
2022-06-05 08:00:00,MOIL,0.073,0.073,0.073,0.073,202863.0
2022-06-06 08:00:00,MOIL,0.073,0.075,0.073,0.073,104387.0
2022-06-07 08:00:00,MOIL,0.073,0.075,0.073,0.075,91800.0
2022-06-08 08:00:00,MOIL,0.073,0.075,0.073,0.074,177450.0
2022-06-09 08:00:00,MOIL,0.073,0.078,0.073,0.078,12778530.0
2022-06-12 08:00:00,MOIL,0.076,0.08,0.076,0.08,719512.0
2022-06-13 08:00:00,MOIL,0.08,0.08,0.077,0.079,166030.0
2022-06-14 08:00:00,MOIL,0.08,0.08,0.077,0.08,176438.0
2022-06-15 08:00:00,MOIL,0.08,0.08,0.079,0.079,103600.0
2022-06-16 08:00:00,MOIL,0.08,0.083,0.078,0.081,441553.0
2022-06-19 08:00:00,MOIL,0.081,0.081,0.079,0.079,69047.0
2022-06-20 08:00:00,MOIL,0.081,0.081,0.078,0.078,1621329.0
2022-06-21 08:00:00,MOIL,0.078,0.079,0.075,0.078,555513.0
2022-06-22 08:00:00,MOIL,0.076,0.077,0.075,0.076,30891.0
2022-06-23 08:00:00,MOIL,0.076,0.078,0.076,0.076,38249.0
2022-06-26 08:00:00,MOIL,0.076,0.076,0.075,0.075,183460.0
2022-06-27 08:00:00,MOIL,0.076,0.077,0.074,0.074,129982.0
2022-06-28 08:00:00,MOIL,0.076,0.076,0.074,0.075,153369.0
2022-06-29 08:00:00,MOIL,0.076,0.076,0.075,0.075,41000.0
2022-07-03 08:00:00,MOIL,0.076,0.076,0.074,0.076,167611.0
2022-07-04 08:00:00,MOIL,0.076,0.076,0.075,0.075,25405.0
2022-07-05 08:00:00,MOIL,0.076,0.076,0.073,0.073,321447.0
2022-07-06 08:00:00,MOIL,0.073,0.076,0.073,0.076,193505.0
2022-07-07 08:00:00,MOIL,0.073,0.076,0.073,0.076,364066.0
2022-07-17 08:00:00,MOIL,0.076,0.077,0.075,0.076,65008.0
2022-07-18 08:00:00,MOIL,0.076,0.077,0.075,0.076,22930926.0
2022-07-19 08:00:00,MOIL,0.076,0.078,0.076,0.077,159033.0
2022-07-20 08:00:00,MOIL,0.076,0.08,0.076,0.08,492062.0
2022-07-21 08:00:00,MOIL,0.079,0.081,0.079,0.081,268617.0
2022-07-24 08:00:00,MOIL,0.081,0.086,0.08,0.086,758261.0
2022-07-25 08:00:00,MOIL,0.085,0.088,0.085,0.085,443049.0
2022-07-26 08:00:00,MOIL,0.085,0.087,0.085,0.087,151051.0
2022-07-27 08:00:00,MOIL,0.085,0.087,0.085,0.085,363107.0
2022-07-28 08:00:00,MOIL,0.085,0.085,0.085,0.085,189330.0
2022-07-31 08:00:00,MOIL,0.085,0.086,0.085,0.086,331857.0
2022-08-01 08:00:00,MOIL,0.086,0.086,0.085,0.085,313175.0
2022-08-02 08:00:00,MOIL,0.085,0.085,0.084,0.085,52550.0
2022-08-03 08:00:00,MOIL,0.085,0.085,0.084,0.085,167170.0
2022-08-04 08:00:00,MOIL,0.085,0.085,0.081,0.082,580120.0
2022-08-07 08:00:00,MOIL,0.082,0.087,0.082,0.084,549140.0
2022-08-08 08:00:00,MOIL,0.084,0.086,0.084,0.085,284195.0
2022-08-09 08:00:00,MOIL,0.085,0.086,0.085,0.085,101334.0
2022-08-10 08:00:00,MOIL,0.085,0.086,0.085,0.085,135775.0
2022-08-11 08:00:00,MOIL,0.085,0.085,0.084,0.085,102283.0
2022-08-14 08:00:00,MOIL,0.085,0.085,0.084,0.085,182933.0
2022-08-15 08:00:00,MOIL,0.085,0.085,0.085,0.085,110804.0
2022-08-16 08:00:00,MOIL,0.085,0.089,0.085,0.088,790841.0
2022-08-17 08:00:00,MOIL,0.088,0.09,0.088,0.088,526814.0
2022-08-18 08:00:00,MOIL,0.088,0.09,0.087,0.089,247195.0
2022-08-21 08:00:00,MOIL,0.089,0.09,0.088,0.089,49513.0
2022-08-22 08:00:00,MOIL,0.089,0.089,0.088,0.088,165210.0
2022-08-23 08:00:00,MOIL,0.089,0.089,0.088,0.088,328397.0
2022-08-24 08:00:00,MOIL,0.089,0.089,0.088,0.088,35635.0
2022-08-25 08:00:00,MOIL,0.089,0.089,0.087,0.089,69567.0
2022-08-28 08:00:00,MOIL,0.089,0.089,0.088,0.089,158011.0
2022-08-29 08:00:00,MOIL,0.089,0.089,0.088,0.089,30901.0
2022-08-30 08:00:00,MOIL,0.089,0.089,0.088,0.088,314811.0
2022-08-31 08:00:00,MOIL,0.088,0.089,0.088,0.089,35300.0
2022-09-01 08:00:00,MOIL,0.088,0.088,0.087,0.087,218377.0
2022-09-04 08:00:00,MOIL,0.087,0.087,0.087,0.087,49450.0
2022-09-05 08:00:00,MOIL,0.087,0.088,0.086,0.086,136672.0
2022-09-06 08:00:00,MOIL,0.087,0.088,0.087,0.088,109300.0
2022-09-07 08:00:00,MOIL,0.087,0.088,0.087,0.088,58586.0
2022-09-08 08:00:00,MOIL,0.087,0.088,0.085,0.085,336046.0
2022-09-11 08:00:00,MOIL,0.085,0.086,0.085,0.085,132793.0
