date,symbol,open,high,low,close,volume
2022-08-24 08:00:00,NBKE,1.2,1.2,1.0,1.0,2436.0
2022-08-31 08:00:00,NBKE,20.0,20.03,20.0,20.03,21057717.0
2022-10-03 08:00:00,NBKE,10.01,10.01,10.0,10.0,244.0
2022-10-17 08:00:00,NBKE,10.0,10.0,10.0,10.0,916.0
2022-10-19 08:00:00,NBKE,10.0,10.0,10.0,10.0,180.0
2022-10-24 08:00:00,NBKE,10.0,10.0,10.0,10.0,245.0
2022-11-02 08:00:00,NBKE,19.9,20.0,19.9,20.0,30.0
2022-11-14 08:00:00,NBKE,10.03,10.03,10.03,10.03,2022.0
2022-11-16 08:00:00,NBKE,19.97,19.97,19.97,19.97,1.0
2022-11-21 08:00:00,NBKE,19.97,20.0,19.97,20.0,18.0
2022-11-23 08:00:00,NBKE,20.0,20.0,20.0,20.0,10.0
2022-11-28 08:00:00,NBKE,20.0,20.0,20.0,20.0,3.0
2022-11-30 08:00:00,NBKE,11.5,19.85,11.5,19.85,103.0
2022-12-05 08:00:00,NBKE,10.1,19.0,10.1,10.56,41.0
2022-12-07 08:00:00,NBKE,12.0,19.99,12.0,13.0,346.0
2022-12-12 08:00:00,NBKE,20.0,20.0,13.0,18.0,3806.0
2022-12-14 08:00:00,NBKE,13.0,18.0,13.0,17.9,217.0
2022-12-19 08:00:00,NBKE,18.0,18.0,12.05,18.0,51.0
2022-12-21 08:00:00,NBKE,10.42,12.04,10.42,12.04,511.0
2022-12-26 08:00:00,NBKE,10.5,18.0,10.5,17.85,280.0
2022-12-28 08:00:00,NBKE,17.85,17.9,17.5,17.9,510.0
2023-01-02 08:00:00,NBKE,18.0,18.0,10.42,18.0,1827.0
2023-01-04 08:00:00,NBKE,10.5,18.0,10.5,17.9,42.0
2023-01-09 08:00:00,NBKE,17.9,17.99,10.5,17.85,1036.0
2023-01-16 08:00:00,NBKE,14.72,14.72,14.72,14.72,16.0
2023-01-18 08:00:00,NBKE,17.95,18.0,10.42,18.0,685.0
2023-01-23 08:00:00,NBKE,19.5,19.5,14.07,19.4,336.0
2023-01-25 08:00:00,NBKE,19.4,19.4,15.0,19.4,232.0
2023-01-30 08:00:00,NBKE,13.51,19.0,13.51,15.51,35.0
2023-02-01 08:00:00,NBKE,14.1,16.0,13.51,15.0,2730.0
2023-02-06 08:00:00,NBKE,13.51,18.9,13.0,14.06,2009.0
2023-02-13 08:00:00,NBKE,17.99,17.99,13.0,17.0,1024.0
2023-02-15 08:00:00,NBKE,17.99,17.99,17.4,17.4,18.0
2023-02-20 08:00:00,NBKE,17.3,17.99,16.75,17.99,457.0
2023-02-22 08:00:00,NBKE,17.99,18.0,15.68,15.68,1074.0
2023-02-27 08:00:00,NBKE,18.0,18.0,17.88,17.9,434.0
2023-03-01 08:00:00,NBKE,15.6,15.6,10.42,10.42,62.0
2023-03-06 08:00:00,NBKE,18.0,18.0,10.5,15.0,272.0
2023-03-08 08:00:00,NBKE,17.8,17.8,15.01,15.22,62.0
2023-03-13 08:00:00,NBKE,14.8,17.9,10.42,17.9,3554.0
2023-03-15 08:00:00,NBKE,17.9,17.9,17.9,17.9,3.0
2023-03-20 08:00:00,NBKE,17.9,17.9,15.46,15.46,189.0
2023-03-22 08:00:00,NBKE,17.9,19.4,15.06,15.06,102.0
2023-03-27 08:00:00,NBKE,16.0,18.5,15.17,18.5,87.0
2023-04-03 08:00:00,NBKE,15.24,15.24,15.0,15.0,500.0
2023-04-10 08:00:00,NBKE,17.0,17.0,15.23,15.23,120.0
2023-04-19 08:00:00,NBKE,15.0,20.0,15.0,15.37,1112.0
2023-04-26 08:00:00,NBKE,15.37,17.3,15.37,15.38,126.0
2023-05-01 07:00:00,NBKE,15.4,18.87,15.4,18.87,57.0
2023-05-03 07:00:00,NBKE,18.8,19.7,18.0,18.99,291.0
2023-05-08 07:00:00,NBKE,19.0,19.8,15.4,19.66,327.0
2023-05-10 07:00:00,NBKE,19.66,19.66,15.41,15.55,275.0
2023-05-15 07:00:00,NBKE,19.66,19.66,15.56,16.01,1920.0
2023-05-17 07:00:00,NBKE,19.8,19.8,15.37,15.37,3530.0
2023-05-22 07:00:00,NBKE,19.3,19.3,14.5,15.0,5409.0
2023-05-24 07:00:00,NBKE,17.98,17.98,13.0,15.0,3718.0
2023-05-29 07:00:00,NBKE,15.99,15.99,15.99,15.99,500.0
2023-05-31 07:00:00,NBKE,14.5,16.0,14.5,15.0,5357.0
2023-06-05 07:00:00,NBKE,16.0,16.0,13.25,15.0,4068.0
2023-06-07 07:00:00,NBKE,15.0,16.0,13.25,14.6,1184.0
2023-06-12 07:00:00,NBKE,14.7,15.0,14.6,14.61,163.0
2023-06-14 07:00:00,NBKE,15.67,15.89,14.14,14.14,1772.0
2023-06-19 07:00:00,NBKE,14.99,15.0,14.97,15.0,4141.0
2023-06-21 07:00:00,NBKE,15.0,15.0,14.01,14.01,120.0
2023-06-26 07:00:00,NBKE,15.0,15.2,15.0,15.0,559.0
2023-07-05 07:00:00,NBKE,15.94,15.94,14.0,15.94,403.0
2023-07-10 07:00:00,NBKE,14.11,14.11,13.25,13.25,322.0
2023-07-12 07:00:00,NBKE,13.25,16.0,13.25,15.99,681.0
2023-07-17 07:00:00,NBKE,15.9,15.9,14.5,15.0,2326.0
2023-07-19 07:00:00,NBKE,14.52,15.0,13.0,15.0,95.0
2023-07-24 07:00:00,NBKE,15.0,15.79,15.0,15.79,104.0
2023-07-26 07:00:00,NBKE,15.0,15.0,14.0,14.0,49.0
2023-07-31 07:00:00,NBKE,15.0,15.0,14.0,14.0,2281.0
2023-08-02 07:00:00,NBKE,15.0,15.0,13.0,13.0,580.0
2023-08-07 07:00:00,NBKE,13.0,13.32,13.0,13.32,42.0
2023-08-09 07:00:00,NBKE,14.3,15.5,12.02,13.0,5971.0
2023-08-14 07:00:00,NBKE,13.2,13.2,10.42,13.0,1059.0
2023-08-16 07:00:00,NBKE,10.6,12.53,10.6,12.53,13.0
2023-08-21 07:00:00,NBKE,13.0,13.0,10.6,13.0,6640.0
