date,symbol,open,high,low,close,volume
2022-06-19 08:00:00,OFH,0.193,0.194,0.188,0.189,22157831.0
2022-06-20 08:00:00,OFH,0.189,0.191,0.185,0.187,15801201.0
2022-06-21 08:00:00,OFH,0.187,0.194,0.187,0.193,17106820.0
2022-06-22 08:00:00,OFH,0.193,0.195,0.19,0.192,20060088.0
2022-06-23 08:00:00,OFH,0.193,0.193,0.187,0.188,11355205.0
2022-06-26 08:00:00,OFH,0.188,0.193,0.188,0.19,7219031.0
2022-06-27 08:00:00,OFH,0.19,0.191,0.179,0.181,16642537.0
2022-06-28 08:00:00,OFH,0.181,0.184,0.165,0.171,37710035.0
2022-06-29 08:00:00,OFH,0.171,0.176,0.17,0.174,14425296.0
2022-07-03 08:00:00,OFH,0.174,0.175,0.163,0.164,26812675.0
2022-07-04 08:00:00,OFH,0.164,0.166,0.157,0.158,19605586.0
2022-07-05 08:00:00,OFH,0.158,0.165,0.158,0.16,16271538.0
2022-07-06 08:00:00,OFH,0.16,0.165,0.16,0.163,14217835.0
2022-07-07 08:00:00,OFH,0.163,0.167,0.163,0.164,13929917.0
2022-07-17 08:00:00,OFH,0.164,0.167,0.162,0.165,10361035.0
2022-07-18 08:00:00,OFH,0.165,0.171,0.165,0.17,14136149.0
2022-07-19 08:00:00,OFH,0.169,0.176,0.167,0.174,39094608.0
2022-07-20 08:00:00,OFH,0.174,0.177,0.171,0.175,33998186.0
2022-07-21 08:00:00,OFH,0.175,0.183,0.175,0.181,24284826.0
2022-07-24 08:00:00,OFH,0.182,0.186,0.18,0.185,19514576.0
2022-07-25 08:00:00,OFH,0.185,0.186,0.181,0.185,15115140.0
2022-07-26 08:00:00,OFH,0.185,0.193,0.185,0.188,53970195.0
2022-07-27 08:00:00,OFH,0.188,0.19,0.184,0.184,22975930.0
2022-07-28 08:00:00,OFH,0.185,0.186,0.183,0.185,5052797.0
2022-07-31 08:00:00,OFH,0.185,0.187,0.185,0.186,7972333.0
2022-08-01 08:00:00,OFH,0.186,0.188,0.18,0.181,11296924.0
2022-08-02 08:00:00,OFH,0.181,0.183,0.179,0.181,7797680.0
2022-08-03 08:00:00,OFH,0.181,0.186,0.18,0.183,17333040.0
2022-08-04 08:00:00,OFH,0.183,0.19,0.183,0.188,23795608.0
2022-08-07 08:00:00,OFH,0.188,0.193,0.187,0.19,31089380.0
2022-08-08 08:00:00,OFH,0.19,0.192,0.187,0.188,36216177.0
2022-08-09 08:00:00,OFH,0.188,0.19,0.186,0.187,9615318.0
2022-08-10 08:00:00,OFH,0.187,0.188,0.184,0.184,11620027.0
2022-08-11 08:00:00,OFH,0.185,0.188,0.182,0.183,15554199.0
2022-08-14 08:00:00,OFH,0.183,0.19,0.183,0.188,24556174.0
2022-08-15 08:00:00,OFH,0.188,0.191,0.185,0.186,13175843.0
2022-08-16 08:00:00,OFH,0.186,0.188,0.18,0.183,14574631.0
2022-08-17 08:00:00,OFH,0.183,0.192,0.181,0.192,53466033.0
2022-08-18 08:00:00,OFH,0.192,0.195,0.189,0.19,47141182.0
2022-08-21 08:00:00,OFH,0.19,0.194,0.189,0.19,28740418.0
2022-08-22 08:00:00,OFH,0.19,0.193,0.187,0.188,27308497.0
2022-08-23 08:00:00,OFH,0.188,0.189,0.185,0.186,12511302.0
2022-08-24 08:00:00,OFH,0.186,0.187,0.18,0.181,24976541.0
2022-08-25 08:00:00,OFH,0.181,0.186,0.181,0.184,18555991.0
2022-08-28 08:00:00,OFH,0.184,0.191,0.182,0.185,26293427.0
2022-08-29 08:00:00,OFH,0.185,0.19,0.18,0.181,30811612.0
2022-08-30 08:00:00,OFH,0.181,0.217,0.181,0.209,163937576.0
2022-08-31 08:00:00,OFH,0.209,0.219,0.206,0.213,98980758.0
2022-09-01 08:00:00,OFH,0.213,0.222,0.212,0.215,51585561.0
2022-09-04 08:00:00,OFH,0.215,0.218,0.214,0.215,21862058.0
