date,symbol,open,high,low,close,volume
2022-04-06 08:00:00,ORWE,8.94,8.98,8.88,8.9,377513.0
2022-04-07 08:00:00,ORWE,8.9,8.95,8.85,8.85,414135.0
2022-04-10 08:00:00,ORWE,8.85,8.95,8.8,8.85,312312.0
2022-04-11 08:00:00,ORWE,8.85,8.85,8.520001,8.59,701543.0
2022-04-12 08:00:00,ORWE,8.59,8.74,8.4,8.57,746953.0
2022-04-13 08:00:00,ORWE,8.57,8.65,8.5,8.53,371086.0
2022-04-14 08:00:00,ORWE,8.53,8.53,8.1,8.19,2088945.0
2022-04-17 08:00:00,ORWE,8.19,8.45,8.19,8.35,949359.0
2022-04-18 08:00:00,ORWE,8.35,8.5,8.22,8.44,908224.0
2022-04-19 08:00:00,ORWE,8.44,8.44,7.2,7.4,2208795.0
2022-04-20 08:00:00,ORWE,7.37,7.62,7.3,7.5,1518931.0
2022-04-21 08:00:00,ORWE,7.5,7.66,7.4,7.55,332758.0
2022-04-26 08:00:00,ORWE,7.51,7.6,7.5,7.59,453390.0
2022-04-27 08:00:00,ORWE,7.59,7.76,7.5,7.67,575641.0
2022-04-28 08:00:00,ORWE,7.67,7.9,7.6,7.72,826717.0
2022-05-08 08:00:00,ORWE,7.72,8.3,7.72,7.97,518662.0
2022-05-09 08:00:00,ORWE,7.97,8.03,7.77,7.83,378146.0
2022-05-10 08:00:00,ORWE,7.87,7.93,7.75,7.77,228077.0
2022-05-11 08:00:00,ORWE,7.77,8.0,7.75,7.85,1319985.0
2022-05-12 08:00:00,ORWE,7.85,7.94,7.71,7.74,928351.0
2022-05-15 08:00:00,ORWE,7.74,7.75,7.4,7.47,889629.0
2022-05-16 08:00:00,ORWE,7.47,7.5,7.12,7.4,347691.0
2022-05-17 08:00:00,ORWE,7.4,7.49,7.3,7.34,124975.0
2022-05-18 08:00:00,ORWE,7.34,7.45,7.26,7.3,259529.0
2022-05-19 08:00:00,ORWE,7.3,7.3,7.1,7.21,597485.0
2022-05-22 08:00:00,ORWE,7.21,7.29,7.14,7.23,441500.0
2022-05-23 08:00:00,ORWE,7.19,7.26,7.05,7.23,518923.0
2022-05-24 08:00:00,ORWE,7.21,7.26,7.12,7.25,589069.0
2022-05-25 08:00:00,ORWE,7.23,7.23,7.1,7.14,270535.0
2022-05-26 08:00:00,ORWE,7.14,7.18,7.0,7.03,331565.0
2022-05-29 08:00:00,ORWE,7.03,7.04,6.6,6.65,592866.0
2022-05-30 08:00:00,ORWE,6.65,6.8,6.65,6.7,470251.0
2022-05-31 08:00:00,ORWE,6.71,6.8,6.69,6.75,583338.0
2022-06-01 08:00:00,ORWE,6.75,6.85,6.6,6.64,2767660.0
2022-06-02 08:00:00,ORWE,6.64,6.75,6.5,6.53,830595.0
2022-06-05 08:00:00,ORWE,6.53,6.63,6.52,6.57,182420.0
2022-06-06 08:00:00,ORWE,6.57,6.63,6.57,6.63,246457.0
2022-06-07 08:00:00,ORWE,6.62,6.75,6.6,6.74,3015228.0
2022-06-08 08:00:00,ORWE,6.74,6.9,6.74,6.88,302048.0
2022-06-09 08:00:00,ORWE,6.85,6.93,6.81,6.81,249061.0
2022-06-12 08:00:00,ORWE,6.84,6.85,6.75,6.76,47282.0
2022-06-13 08:00:00,ORWE,6.77,6.87,6.65,6.68,184927.0
