date,symbol,open,high,low,close,volume
2022-04-20 08:00:00,PHDC,1.499,1.499,1.45,1.461,1182898.0
2022-04-21 08:00:00,PHDC,1.466,1.547,1.466,1.536,1201538.0
2022-04-26 08:00:00,PHDC,1.536,1.542,1.5,1.5,3290312.0
2022-04-27 08:00:00,PHDC,1.5,1.567,1.5,1.556,12911171.0
2022-04-28 08:00:00,PHDC,1.556,1.694,1.555,1.667,4304775.0
2022-05-08 08:00:00,PHDC,1.667,1.667,1.601,1.634,2305095.0
2022-05-09 08:00:00,PHDC,1.634,1.65,1.595,1.595,2130356.0
2022-05-10 08:00:00,PHDC,1.599,1.6,1.564,1.576,1260442.0
2022-05-11 08:00:00,PHDC,1.583,1.6,1.56,1.569,1198845.0
2022-05-12 08:00:00,PHDC,1.569,1.57,1.479,1.49,6580118.0
2022-05-15 08:00:00,PHDC,1.49,1.51,1.448,1.45,1517128.0
2022-05-16 08:00:00,PHDC,1.462,1.488,1.449,1.488,2219403.0
2022-05-17 08:00:00,PHDC,1.473,1.5,1.473,1.49,801747.0
2022-05-18 08:00:00,PHDC,1.49,1.5,1.472,1.472,511127.0
2022-05-19 08:00:00,PHDC,1.486,1.486,1.45,1.458,2439624.0
2022-05-22 08:00:00,PHDC,1.458,1.471,1.453,1.46,526819.0
2022-05-23 08:00:00,PHDC,1.46,1.47,1.441,1.448,2013553.0
2022-05-24 08:00:00,PHDC,1.448,1.452,1.36,1.362,8292936.0
2022-05-25 08:00:00,PHDC,1.362,1.37,1.28,1.283,14941369.0
2022-05-26 08:00:00,PHDC,1.283,1.283,1.16,1.169,15443316.0
2022-05-29 08:00:00,PHDC,1.169,1.194,1.16,1.174,3384333.0
2022-05-30 08:00:00,PHDC,1.174,1.195,1.17,1.183,4528592.0
2022-05-31 08:00:00,PHDC,1.183,1.193,1.072,1.072,37218086.0
2022-06-01 08:00:00,PHDC,1.072,1.165,1.072,1.131,22889077.0
2022-06-02 08:00:00,PHDC,1.131,1.182,1.126,1.172,8616159.0
2022-06-05 08:00:00,PHDC,1.172,1.194,1.17,1.19,3809629.0
2022-06-06 08:00:00,PHDC,1.187,1.22,1.173,1.22,4893199.0
2022-06-07 08:00:00,PHDC,1.208,1.255,1.208,1.254,7096493.0
2022-06-08 08:00:00,PHDC,1.249,1.3,1.249,1.3,10126132.0
2022-06-09 08:00:00,PHDC,1.3,1.32,1.272,1.278,5235707.0
2022-06-12 08:00:00,PHDC,1.278,1.289,1.251,1.281,3306877.0
2022-06-13 08:00:00,PHDC,1.281,1.319,1.261,1.27,6697612.0
2022-06-14 08:00:00,PHDC,1.269,1.284,1.24,1.26,2509899.0
2022-06-15 08:00:00,PHDC,1.26,1.285,1.24,1.245,11702841.0
2022-06-16 08:00:00,PHDC,1.245,1.255,1.227,1.233,4932465.0
2022-06-19 08:00:00,PHDC,1.233,1.259,1.229,1.238,1155258.0
2022-06-20 08:00:00,PHDC,1.238,1.254,1.224,1.241,3149332.0
2022-06-21 08:00:00,PHDC,1.241,1.264,1.224,1.227,30899664.0
2022-06-22 08:00:00,PHDC,1.227,1.24,1.222,1.236,4500211.0
2022-06-23 08:00:00,PHDC,1.236,1.237,1.22,1.228,1919810.0
2022-06-26 08:00:00,PHDC,1.228,1.26,1.222,1.252,4719180.0
2022-06-27 08:00:00,PHDC,1.252,1.28,1.212,1.219,11600396.0
2022-06-28 08:00:00,PHDC,1.219,1.228,1.17,1.203,3708779.0
2022-06-29 08:00:00,PHDC,1.194,1.217,1.18,1.197,2467008.0
2022-07-03 08:00:00,PHDC,1.197,1.217,1.152,1.164,1921749.0
2022-07-04 08:00:00,PHDC,1.164,1.179,1.105,1.127,1863597.0
2022-07-05 08:00:00,PHDC,1.127,1.176,1.127,1.15,4175653.0
2022-07-06 08:00:00,PHDC,1.15,1.17,1.132,1.144,1340609.0
2022-07-07 08:00:00,PHDC,1.144,1.201,1.144,1.193,3881272.0
2022-07-17 08:00:00,PHDC,1.193,1.218,1.181,1.199,924447.0
2022-07-18 08:00:00,PHDC,1.199,1.204,1.192,1.199,8471268.0
2022-07-19 08:00:00,PHDC,1.199,1.248,1.184,1.24,5389070.0
2022-07-20 08:00:00,PHDC,1.24,1.274,1.233,1.25,9091710.0
2022-07-21 08:00:00,PHDC,1.248,1.293,1.248,1.27,9890046.0
2022-07-24 08:00:00,PHDC,1.27,1.29,1.251,1.256,1668005.0
2022-07-25 08:00:00,PHDC,1.258,1.269,1.237,1.243,3822183.0
2022-07-26 08:00:00,PHDC,1.243,1.256,1.237,1.244,7052456.0
2022-07-27 08:00:00,PHDC,1.244,1.257,1.227,1.229,7930592.0
2022-07-28 08:00:00,PHDC,1.229,1.239,1.215,1.23,1543538.0
2022-07-31 08:00:00,PHDC,1.23,1.246,1.23,1.235,1955383.0
2022-08-01 08:00:00,PHDC,1.235,1.258,1.221,1.228,4110247.0
2022-08-02 08:00:00,PHDC,1.228,1.245,1.225,1.231,1358800.0
2022-08-03 08:00:00,PHDC,1.231,1.247,1.231,1.235,1541363.0
2022-08-04 08:00:00,PHDC,1.235,1.328,1.232,1.317,17425092.0
2022-08-07 08:00:00,PHDC,1.317,1.36,1.317,1.349,6520935.0
2022-08-08 08:00:00,PHDC,1.349,1.372,1.336,1.347,4387787.0
2022-08-09 08:00:00,PHDC,1.347,1.41,1.347,1.384,12251839.0
2022-08-10 08:00:00,PHDC,1.384,1.399,1.33,1.35,3474581.0
2022-08-11 08:00:00,PHDC,1.35,1.37,1.336,1.35,3078205.0
2022-08-14 08:00:00,PHDC,1.35,1.37,1.33,1.34,5952975.0
2022-08-15 08:00:00,PHDC,1.34,1.35,1.302,1.31,11140885.0
2022-08-16 08:00:00,PHDC,1.31,1.32,1.282,1.289,4795532.0
2022-08-17 08:00:00,PHDC,1.289,1.347,1.289,1.305,22917231.0
2022-08-18 08:00:00,PHDC,1.305,1.327,1.305,1.313,16281069.0
2022-08-21 08:00:00,PHDC,1.313,1.35,1.313,1.34,11946326.0
2022-08-22 08:00:00,PHDC,1.34,1.39,1.334,1.39,20508793.0
2022-08-23 08:00:00,PHDC,1.39,1.391,1.342,1.358,11718365.0
2022-08-24 08:00:00,PHDC,1.358,1.358,1.325,1.33,8671649.0
2022-08-25 08:00:00,PHDC,1.33,1.39,1.33,1.387,13378485.0
2022-08-28 08:00:00,PHDC,1.387,1.4,1.351,1.4,13181388.0
2022-08-29 08:00:00,PHDC,1.4,1.469,1.4,1.43,25992643.0
2022-08-30 08:00:00,PHDC,1.43,1.508,1.407,1.483,26274966.0
2022-08-31 08:00:00,PHDC,1.483,1.569,1.483,1.529,20872114.0
2022-09-01 08:00:00,PHDC,1.529,1.537,1.459,1.468,8588722.0
2022-09-04 08:00:00,PHDC,1.468,1.49,1.443,1.474,3047386.0
2022-09-05 08:00:00,PHDC,1.474,1.543,1.467,1.535,6465574.0
2022-09-06 08:00:00,PHDC,1.529,1.565,1.515,1.52,12189532.0
2022-09-07 08:00:00,PHDC,1.52,1.55,1.473,1.484,6814796.0
2022-09-08 08:00:00,PHDC,1.484,1.497,1.46,1.483,2621234.0
2022-09-11 08:00:00,PHDC,1.483,1.497,1.463,1.472,2208028.0
2022-09-12 08:00:00,PHDC,1.472,1.5,1.465,1.474,3336114.0
2022-09-13 08:00:00,PHDC,1.474,1.49,1.458,1.47,2334011.0
2022-09-14 08:00:00,PHDC,1.468,1.468,1.425,1.428,2741190.0
2022-09-15 08:00:00,PHDC,1.428,1.439,1.361,1.361,35274337.0
2022-09-18 08:00:00,PHDC,1.361,1.39,1.27,1.292,11448701.0
2022-09-19 08:00:00,PHDC,1.292,1.35,1.286,1.347,6644088.0
2022-09-20 08:00:00,PHDC,1.332,1.36,1.325,1.351,5199485.0
2022-09-21 08:00:00,PHDC,1.351,1.374,1.334,1.34,6822688.0
2022-09-22 08:00:00,PHDC,1.34,1.36,1.32,1.352,1539300.0
2022-09-25 08:00:00,PHDC,1.352,1.352,1.32,1.326,2658007.0
2022-09-26 08:00:00,PHDC,1.326,1.35,1.319,1.32,6218092.0
2022-09-27 08:00:00,PHDC,1.327,1.349,1.321,1.343,3157098.0
2022-09-28 08:00:00,PHDC,1.343,1.359,1.324,1.328,6949210.0
2022-09-29 08:00:00,PHDC,1.328,1.345,1.328,1.333,1644870.0
2022-10-02 08:00:00,PHDC,1.333,1.34,1.284,1.29,4987026.0
2022-10-03 08:00:00,PHDC,1.29,1.31,1.28,1.294,2375221.0
2022-10-04 08:00:00,PHDC,1.294,1.342,1.294,1.331,3833382.0
2022-10-05 08:00:00,PHDC,1.331,1.365,1.331,1.362,10446802.0
2022-10-09 08:00:00,PHDC,1.362,1.364,1.34,1.35,1487827.0
2022-10-10 08:00:00,PHDC,1.346,1.366,1.34,1.359,2527714.0
2022-10-11 08:00:00,PHDC,1.359,1.36,1.328,1.339,2058150.0
2022-10-12 08:00:00,PHDC,1.339,1.345,1.322,1.324,1750613.0
2022-10-13 08:00:00,PHDC,1.324,1.39,1.324,1.337,4069063.0
2022-10-16 08:00:00,PHDC,1.337,1.38,1.337,1.362,3754009.0
2022-10-17 08:00:00,PHDC,1.362,1.415,1.362,1.402,8314509.0
2022-10-18 08:00:00,PHDC,1.402,1.42,1.361,1.398,2095039.0
2022-10-19 08:00:00,PHDC,1.398,1.409,1.37,1.378,3951789.0
2022-10-20 08:00:00,PHDC,1.378,1.42,1.364,1.41,4155989.0
2022-10-23 08:00:00,PHDC,1.41,1.424,1.398,1.411,1798812.0
2022-10-24 08:00:00,PHDC,1.411,1.454,1.411,1.423,8871726.0
2022-10-25 08:00:00,PHDC,1.423,1.46,1.382,1.45,5809265.0
2022-10-26 08:00:00,PHDC,1.447,1.488,1.447,1.466,8373811.0
2022-10-27 08:00:00,PHDC,1.469,1.53,1.468,1.489,9591924.0
2022-10-30 08:00:00,PHDC,1.489,1.5,1.461,1.462,3182829.0
2022-10-31 08:00:00,PHDC,1.471,1.489,1.455,1.487,4942907.0
2022-11-01 08:00:00,PHDC,1.475,1.52,1.45,1.46,13635155.0
2022-11-02 08:00:00,PHDC,1.46,1.472,1.421,1.428,7529148.0
2022-11-03 08:00:00,PHDC,1.428,1.45,1.425,1.428,2943338.0
2022-11-06 08:00:00,PHDC,1.44700003,1.47000003,1.40999997,1.41600001,3353464.0
2022-11-07 08:00:00,PHDC,1.416,1.433,1.4,1.411,3057279.0
2022-11-08 08:00:00,PHDC,1.411,1.425,1.39,1.391,3733467.0
2022-11-09 08:00:00,PHDC,1.391,1.42,1.378,1.393,3857438.0
2022-11-10 08:00:00,PHDC,1.38,1.417,1.38,1.4,4053628.0
2022-11-13 08:00:00,PHDC,1.403,1.46,1.403,1.46,6602009.0
2022-11-14 08:00:00,PHDC,1.46,1.523,1.46,1.512,19606264.0
2022-11-15 08:00:00,PHDC,1.512,1.523,1.489,1.508,5351421.0
2022-11-16 08:00:00,PHDC,1.508,1.554,1.508,1.547,11332482.0
2022-11-17 08:00:00,PHDC,1.547,1.64,1.547,1.628,19742315.0
2022-11-20 08:00:00,PHDC,1.628,1.65,1.612,1.63,4086583.0
2022-11-21 08:00:00,PHDC,1.63,1.665,1.61,1.649,8499282.0
2022-11-22 08:00:00,PHDC,1.649,1.69,1.62,1.685,4683410.0
2022-11-23 08:00:00,PHDC,1.685,1.749,1.683,1.689,6447782.0
2022-11-24 08:00:00,PHDC,1.689,1.715,1.65,1.714,7479206.0
2022-11-27 08:00:00,PHDC,1.714,1.75,1.7,1.747,5765469.0
2022-11-28 08:00:00,PHDC,1.747,1.8,1.72,1.754,9300336.0
2022-11-29 08:00:00,PHDC,1.754,1.768,1.73,1.745,7708232.0
2022-11-30 08:00:00,PHDC,1.745,1.76,1.69,1.7,5123327.0
2022-12-01 08:00:00,PHDC,1.707,1.73,1.7,1.721,4811201.0
2022-12-04 08:00:00,PHDC,1.721,1.8,1.703,1.741,16090654.0
2022-12-05 08:00:00,PHDC,1.741,1.788,1.73,1.757,7236503.0
2022-12-06 08:00:00,PHDC,1.757,1.8,1.72,1.8,11954996.0
2022-12-07 08:00:00,PHDC,1.8,1.94,1.8,1.861,43421116.0
2022-12-08 08:00:00,PHDC,1.861,1.919,1.832,1.832,23811178.0
2022-12-11 08:00:00,PHDC,1.832,1.88,1.78,1.78,9981421.0
2022-12-12 08:00:00,PHDC,1.811,1.818,1.694,1.8,11836707.0
2022-12-13 08:00:00,PHDC,1.8,1.935,1.8,1.919,22114236.0
2022-12-14 08:00:00,PHDC,1.919,2.06,1.89,2.026,37047824.0
2022-12-15 08:00:00,PHDC,2.026,2.14,2.01,2.051,43719659.0
2022-12-18 08:00:00,PHDC,2.05,2.08,1.95,1.96,10936614.0
2022-12-19 08:00:00,PHDC,1.96,2.02,1.89,1.94,17925707.0
2022-12-20 08:00:00,PHDC,1.94,2.21,1.94,2.15,53370081.0
2022-12-21 08:00:00,PHDC,2.15,2.19,2.06,2.15,31237338.0
2022-12-22 08:00:00,PHDC,2.15,2.26,2.07,2.1,48565328.0
2022-12-25 08:00:00,PHDC,2.1,2.1,1.93,1.95,14471408.0
2022-12-26 08:00:00,PHDC,1.95,2.08,1.95,2.06,13555576.0
2022-12-27 08:00:00,PHDC,2.06,2.1,1.98,1.99,16072735.0
2022-12-28 08:00:00,PHDC,1.99,2.02,1.96,1.98,18256404.0
2022-12-29 08:00:00,PHDC,1.98,2.03,1.95,1.96,34050388.0
2023-01-02 08:00:00,PHDC,1.96,2.028,1.96,2.014,24747334.0
2023-01-03 08:00:00,PHDC,2.014,2.145,2.014,2.109,44035783.0
2023-01-04 08:00:00,PHDC,2.109,2.14,1.971,2.12,49028484.0
2023-01-05 08:00:00,PHDC,2.12,2.169,2.12,2.125,37971158.0
2023-01-09 08:00:00,PHDC,2.13,2.2,2.07,2.12,32993053.0
2023-01-10 08:00:00,PHDC,2.12,2.13,1.98,1.98,26861063.0
2023-01-11 08:00:00,PHDC,1.98,2.13,1.91,1.91,37735959.0
2023-01-12 08:00:00,PHDC,1.91,1.99,1.86,1.92,19196956.0
2023-01-15 08:00:00,PHDC,1.92,2.02,1.92,1.954,15689789.0
2023-01-16 08:00:00,PHDC,1.954,2.04,1.954,1.994,17050495.0
2023-01-17 08:00:00,PHDC,1.994,2.09,1.994,2.055,27143722.0
2023-01-18 08:00:00,PHDC,2.055,2.08,1.98,1.982,15571482.0
2023-01-19 08:00:00,PHDC,1.982,2.17,1.982,2.165,60294314.0
2023-01-22 08:00:00,PHDC,2.17,2.35,2.17,2.28,89232221.0
2023-01-23 08:00:00,PHDC,2.28,2.35,2.23,2.24,30362904.0
2023-01-24 08:00:00,PHDC,2.24,2.27,2.19,2.23,18426528.0
2023-01-25 08:00:00,PHDC,2.23,2.31,2.23,2.26,8014365.0
2023-01-29 08:00:00,PHDC,2.26,2.32,2.26,2.3,23288034.0
2023-01-30 08:00:00,PHDC,2.3,2.4,2.19,2.22,43777019.0
2023-01-31 08:00:00,PHDC,2.22,2.27,2.11,2.13,20808602.0
2023-02-01 08:00:00,PHDC,2.13,2.15,2.04,2.12,14476414.0
2023-02-02 08:00:00,PHDC,2.11,2.19,2.0,2.03,21040779.0
2023-02-05 08:00:00,PHDC,2.03,2.24,1.97,2.24,28466125.0
2023-02-06 08:00:00,PHDC,2.24,2.32,2.22,2.27,32251212.0
2023-02-07 08:00:00,PHDC,2.27,2.34,2.19,2.23,29302439.0
2023-02-08 08:00:00,PHDC,2.23,2.24,2.14,2.15,21452003.0
2023-02-09 08:00:00,PHDC,2.15,2.22,2.15,2.21,10141559.0
2023-02-12 08:00:00,PHDC,2.21,2.24,2.12,2.14,28070421.0
2023-02-13 08:00:00,PHDC,2.14,2.18,2.08,2.11,15337319.0
2023-02-14 08:00:00,PHDC,2.11,2.2,2.1,2.19,19185577.0
2023-02-15 08:00:00,PHDC,2.19,2.23,2.16,2.18,22129974.0
2023-02-16 08:00:00,PHDC,2.18,2.21,2.15,2.16,11221366.0
