date,symbol,open,high,low,close,volume
2022-05-19 08:00:00,POUL,2.4,2.4,2.3,2.34,391410.0
2022-05-22 08:00:00,POUL,2.34,2.37,2.32,2.33,222573.0
2022-05-23 08:00:00,POUL,2.33,2.46,2.33,2.41,2954292.0
2022-05-24 08:00:00,POUL,2.41,2.45,2.33,2.34,1320349.0
2022-05-25 08:00:00,POUL,2.34,2.34,2.21,2.25,546954.0
2022-05-26 08:00:00,POUL,2.25,2.29,2.16,2.2,591684.0
2022-05-29 08:00:00,POUL,2.2,2.22,2.12,2.13,1532517.0
2022-05-30 08:00:00,POUL,2.13,2.21,2.12,2.14,1756779.0
2022-05-31 08:00:00,POUL,2.14,2.18,2.14,2.16,439579.0
2022-06-01 08:00:00,POUL,2.17,2.2,2.11,2.12,320756.0
2022-06-02 08:00:00,POUL,2.12,2.16,2.11,2.13,308528.0
2022-06-05 08:00:00,POUL,2.13,2.2,2.13,2.18,593471.0
2022-06-06 08:00:00,POUL,2.16,2.19,2.15,2.16,176789.0
2022-06-07 08:00:00,POUL,2.16,2.2,2.16,2.18,281335.0
2022-06-08 08:00:00,POUL,2.18,2.27,2.18,2.25,776196.0
2022-06-09 08:00:00,POUL,2.25,2.27,2.22,2.24,368480.0
2022-06-12 08:00:00,POUL,2.24,2.24,2.2,2.21,479938.0
2022-06-13 08:00:00,POUL,2.21,2.23,2.17,2.18,367924.0
2022-06-14 08:00:00,POUL,2.18,2.21,2.18,2.21,191646.0
2022-06-15 08:00:00,POUL,2.21,2.25,2.2,2.2,434338.0
2022-06-16 08:00:00,POUL,2.21,2.26,2.2,2.21,866471.0
2022-06-19 08:00:00,POUL,2.21,2.22,2.18,2.18,312759.0
2022-06-20 08:00:00,POUL,2.18,2.3,2.16,2.26,1304028.0
2022-06-21 08:00:00,POUL,2.26,2.37,2.25,2.27,2045038.0
2022-06-22 08:00:00,POUL,2.27,2.28,2.2,2.21,856627.0
2022-06-23 08:00:00,POUL,2.21,2.23,2.18,2.18,337180.0
2022-06-26 08:00:00,POUL,2.19,2.23,2.15,2.16,392596.0
2022-06-27 08:00:00,POUL,2.16,2.21,2.13,2.14,293606.0
2022-06-28 08:00:00,POUL,2.14,2.15,2.04,2.07,512090.0
2022-06-29 08:00:00,POUL,2.07,2.12,2.07,2.1,134990.0
2022-07-03 08:00:00,POUL,2.07,2.37,2.07,2.2,2506604.0
2022-07-04 08:00:00,POUL,2.22,2.28,2.15,2.16,796955.0
2022-07-05 08:00:00,POUL,2.16,2.24,2.16,2.18,1069309.0
2022-07-06 08:00:00,POUL,2.18,2.2,2.14,2.19,357482.0
2022-07-07 08:00:00,POUL,2.19,2.22,2.16,2.17,603342.0
2022-07-17 08:00:00,POUL,2.17,2.21,2.16,2.18,214995.0
2022-07-18 08:00:00,POUL,2.18,2.21,2.18,2.19,673145.0
2022-07-19 08:00:00,POUL,2.19,2.25,2.17,2.2,682876.0
2022-07-20 08:00:00,POUL,2.21,2.25,2.2,2.22,808198.0
2022-07-21 08:00:00,POUL,2.21,2.27,2.21,2.25,845118.0
2022-07-24 08:00:00,POUL,2.24,2.36,2.23,2.34,2430129.0
2022-07-25 08:00:00,POUL,2.34,2.38,2.3,2.31,1043927.0
2022-07-26 08:00:00,POUL,2.31,2.35,2.3,2.33,544963.0
2022-07-27 08:00:00,POUL,2.33,2.39,2.31,2.33,1773851.0
2022-07-28 08:00:00,POUL,2.33,2.36,2.29,2.3,1573116.0
2022-07-31 08:00:00,POUL,2.3,2.38,2.3,2.32,2176641.0
2022-08-01 08:00:00,POUL,2.32,2.35,2.27,2.27,929982.0
2022-08-02 08:00:00,POUL,2.27,2.35,2.27,2.33,1903957.0
2022-08-03 08:00:00,POUL,2.33,2.35,2.31,2.31,509705.0
2022-08-04 08:00:00,POUL,2.31,2.37,2.31,2.36,692226.0
2022-08-07 08:00:00,POUL,2.36,2.44,2.36,2.41,1834569.0
2022-08-08 08:00:00,POUL,2.41,2.66,2.41,2.51,4060897.0
2022-08-09 08:00:00,POUL,2.51,2.72,2.51,2.63,4212104.0
2022-08-10 08:00:00,POUL,2.63,2.7,2.55,2.58,1087123.0
2022-08-11 08:00:00,POUL,2.58,2.66,2.58,2.64,701330.0
2022-08-14 08:00:00,POUL,2.62,2.72,2.62,2.66,2657599.0
