date,symbol,open,high,low,close,volume
2022-06-26 08:00:00,PRCL,2.5,2.57,2.45,2.45,180697.0
2022-06-27 08:00:00,PRCL,2.49,2.49,2.36,2.41,176500.0
2022-06-28 08:00:00,PRCL,2.41,2.45,2.27,2.38,124136.0
2022-06-29 08:00:00,PRCL,2.41,2.43,2.36,2.41,64189.0
2022-07-03 08:00:00,PRCL,2.41,2.41,2.31,2.31,91605.0
2022-07-04 08:00:00,PRCL,2.41,2.41,2.26,2.27,70167.0
2022-07-05 08:00:00,PRCL,2.41,2.41,2.25,2.29,140881.0
2022-07-06 08:00:00,PRCL,2.28,2.3,2.24,2.3,107863.0
2022-07-07 08:00:00,PRCL,2.28,2.4,2.28,2.32,88826.0
2022-07-17 08:00:00,PRCL,2.28,2.4,2.28,2.33,83934.0
2022-07-18 08:00:00,PRCL,2.28,2.5,2.28,2.48,263236.0
2022-07-19 08:00:00,PRCL,2.48,2.55,2.45,2.48,416670.0
2022-07-20 08:00:00,PRCL,2.48,2.55,2.45,2.47,443080.0
2022-07-21 08:00:00,PRCL,2.47,2.54,2.47,2.52,321699.0
2022-07-24 08:00:00,PRCL,2.5,2.65,2.5,2.62,516833.0
2022-07-25 08:00:00,PRCL,2.62,2.72,2.6,2.66,745267.0
2022-07-26 08:00:00,PRCL,2.66,2.73,2.61,2.62,592962.0
2022-07-27 08:00:00,PRCL,2.62,2.66,2.53,2.57,307558.0
2022-07-28 08:00:00,PRCL,2.58,2.63,2.56,2.58,105120.0
2022-07-31 08:00:00,PRCL,2.58,2.64,2.57,2.59,382254.0
2022-08-01 08:00:00,PRCL,2.59,2.69,2.56,2.58,624053.0
2022-08-02 08:00:00,PRCL,2.58,2.68,2.58,2.68,545899.0
2022-08-03 08:00:00,PRCL,2.66,2.84,2.66,2.74,1344849.0
2022-08-04 08:00:00,PRCL,2.74,2.8,2.74,2.79,506090.0
2022-08-07 08:00:00,PRCL,2.79,3.03,2.79,3.0,1459986.0
2022-08-08 08:00:00,PRCL,3.0,3.18,3.0,3.01,1487215.0
2022-08-09 08:00:00,PRCL,3.01,3.15,2.95,3.0,1282525.0
2022-08-10 08:00:00,PRCL,2.98,3.09,2.95,3.01,554246.0
2022-08-11 08:00:00,PRCL,3.01,3.13,2.98,3.08,1223528.0
2022-08-14 08:00:00,PRCL,3.08,3.57,3.08,3.45,2592897.0
2022-08-15 08:00:00,PRCL,3.48,3.57,3.26,3.35,1173623.0
2022-08-16 08:00:00,PRCL,3.35,3.48,3.32,3.33,578032.0
2022-08-17 08:00:00,PRCL,3.33,3.46,3.28,3.35,855107.0
2022-08-18 08:00:00,PRCL,3.35,3.44,3.31,3.34,625605.0
2022-08-21 08:00:00,PRCL,3.34,3.4,3.34,3.35,438642.0
2022-08-22 08:00:00,PRCL,3.35,3.4,3.29,3.31,633527.0
2022-08-23 08:00:00,PRCL,3.33,3.38,3.21,3.21,574522.0
2022-08-24 08:00:00,PRCL,3.24,3.28,3.11,3.15,519533.0
2022-08-25 08:00:00,PRCL,3.15,3.24,3.15,3.18,476803.0
2022-08-28 08:00:00,PRCL,3.18,3.22,3.14,3.18,487497.0
2022-08-29 08:00:00,PRCL,3.18,3.29,3.13,3.15,687371.0
2022-08-30 08:00:00,PRCL,3.15,3.26,3.13,3.16,743295.0
2022-08-31 08:00:00,PRCL,3.16,3.25,3.16,3.17,548633.0
2022-09-01 08:00:00,PRCL,3.17,3.2,3.02,3.04,643826.0
2022-09-04 08:00:00,PRCL,3.04,3.08,2.96,3.05,425696.0
2022-09-05 08:00:00,PRCL,3.05,3.22,3.05,3.19,1124309.0
2022-09-06 08:00:00,PRCL,3.19,3.47,3.19,3.41,2010269.0
2022-09-07 08:00:00,PRCL,3.41,3.69,3.41,3.54,3245518.0
2022-09-08 08:00:00,PRCL,3.54,3.98,3.51,3.79,4632999.0
2022-09-11 08:00:00,PRCL,3.79,4.1,3.79,3.97,2566568.0
2022-09-12 08:00:00,PRCL,3.97,4.16,3.9,4.06,3154455.0
2022-09-13 08:00:00,PRCL,4.06,4.18,4.0,4.06,2323727.0
2022-09-14 08:00:00,PRCL,4.06,4.06,3.83,3.9,1772419.0
2022-09-15 08:00:00,PRCL,3.9,4.0,3.89,3.95,1540045.0
2022-09-18 08:00:00,PRCL,3.95,4.01,3.4,3.48,1388495.0
2022-09-19 08:00:00,PRCL,3.46,3.66,3.32,3.61,1031207.0
2022-09-20 08:00:00,PRCL,3.61,3.72,3.55,3.63,1635015.0
2022-09-21 08:00:00,PRCL,3.63,3.66,3.42,3.46,967560.0
2022-09-22 08:00:00,PRCL,3.46,3.46,3.31,3.4,521351.0
2022-09-25 08:00:00,PRCL,3.37,3.87,3.35,3.81,3362991.0
2022-09-26 08:00:00,PRCL,3.81,3.92,3.66,3.69,2002913.0
2022-09-27 08:00:00,PRCL,3.69,3.82,3.67,3.69,1723284.0
2022-09-28 08:00:00,PRCL,3.69,3.8,3.6,3.75,1725922.0
2022-09-29 08:00:00,PRCL,3.75,3.91,3.69,3.71,1765408.0
2022-10-02 08:00:00,PRCL,3.71,3.71,3.5,3.54,752209.0
2022-10-03 08:00:00,PRCL,3.56,3.6,3.38,3.43,702018.0
2022-10-04 08:00:00,PRCL,3.43,3.66,3.43,3.59,1050956.0
2022-10-05 08:00:00,PRCL,3.59,3.7,3.46,3.52,871745.0
2022-10-09 08:00:00,PRCL,3.52,3.52,3.44,3.47,202732.0
2022-10-10 08:00:00,PRCL,3.47,3.55,3.43,3.51,526883.0
2022-10-11 08:00:00,PRCL,3.51,3.6,3.42,3.45,337325.0
2022-10-12 08:00:00,PRCL,3.44,3.55,3.3,3.34,744207.0
2022-10-13 08:00:00,PRCL,3.34,3.47,3.34,3.43,490005.0
2022-10-16 08:00:00,PRCL,3.43,3.6,3.43,3.54,826624.0
2022-10-17 08:00:00,PRCL,3.54,3.63,3.52,3.55,693856.0
2022-10-18 08:00:00,PRCL,3.55,3.59,3.49,3.5,454021.0
2022-10-19 08:00:00,PRCL,3.5,3.55,3.43,3.45,426716.0
2022-10-20 08:00:00,PRCL,3.45,3.52,3.44,3.45,518905.0
2022-10-23 08:00:00,PRCL,3.45,3.56,3.45,3.5,430262.0
2022-10-24 08:00:00,PRCL,3.5,3.55,3.4,3.44,574728.0
2022-10-25 08:00:00,PRCL,3.44,3.48,3.38,3.44,886145.0
2022-10-26 08:00:00,PRCL,3.44,3.48,3.42,3.46,333669.0
2022-10-27 08:00:00,PRCL,3.46,3.54,3.41,3.43,315996.0
2022-10-30 08:00:00,PRCL,3.43,3.5,3.4,3.42,296507.0
2022-10-31 08:00:00,PRCL,3.42,3.55,3.4,3.53,467153.0
2022-11-01 08:00:00,PRCL,3.53,3.65,3.52,3.58,988105.0
2022-11-02 08:00:00,PRCL,3.58,3.6,3.49,3.52,386736.0
2022-11-03 08:00:00,PRCL,3.52,3.54,3.41,3.46,513343.0
2022-11-06 08:00:00,PRCL,3.45000005,3.51999998,3.45000005,3.48000002,122022.0
2022-11-07 08:00:00,PRCL,3.48,3.58,3.48,3.54,366055.0
2022-11-08 08:00:00,PRCL,3.54,3.73,3.54,3.56,2278042.0
2022-11-09 08:00:00,PRCL,3.56,3.66,3.46,3.49,1377747.0
2022-11-10 08:00:00,PRCL,3.49,3.55,3.49,3.52,343440.0
2022-11-13 08:00:00,PRCL,3.52,3.62,3.52,3.54,596062.0
2022-11-14 08:00:00,PRCL,3.54,3.59,3.51,3.54,576457.0
2022-11-15 08:00:00,PRCL,3.56,3.57,3.51,3.52,383526.0
2022-11-16 08:00:00,PRCL,3.52,3.69,3.52,3.63,1604444.0
2022-11-17 08:00:00,PRCL,3.63,3.79,3.63,3.73,1648788.0
2022-11-20 08:00:00,PRCL,3.73,3.88,3.73,3.76,1400113.0
2022-11-21 08:00:00,PRCL,3.76,3.8,3.67,3.69,777448.0
2022-11-22 08:00:00,PRCL,3.69,3.75,3.66,3.67,451933.0
2022-11-23 08:00:00,PRCL,3.67,3.75,3.66,3.68,459187.0
2022-11-24 08:00:00,PRCL,3.68,3.73,3.67,3.71,391947.0
2022-11-27 08:00:00,PRCL,3.71,3.86,3.71,3.73,1189816.0
2022-11-28 08:00:00,PRCL,3.77,3.82,3.72,3.73,401040.0
2022-11-29 08:00:00,PRCL,3.73,3.88,3.73,3.81,1019194.0
2022-11-30 08:00:00,PRCL,3.81,3.98,3.81,3.89,1617781.0
2022-12-01 08:00:00,PRCL,3.89,4.05,3.88,3.95,1474400.0
2022-12-04 08:00:00,PRCL,3.95,4.05,3.95,3.97,996342.0
2022-12-05 08:00:00,PRCL,3.97,4.02,3.84,3.84,766169.0
2022-12-06 08:00:00,PRCL,3.88,3.91,3.8,3.84,482967.0
2022-12-07 08:00:00,PRCL,3.86,3.95,3.83,3.87,501006.0
2022-12-08 08:00:00,PRCL,3.87,3.9,3.84,3.85,263807.0
2022-12-11 08:00:00,PRCL,3.85,4.03,3.85,3.9,976269.0
2022-12-12 08:00:00,PRCL,3.9,3.94,3.84,3.9,347689.0
2022-12-13 08:00:00,PRCL,3.9,3.98,3.9,3.92,617783.0
2022-12-14 08:00:00,PRCL,3.92,4.3,3.92,4.28,3080094.0
2022-12-15 08:00:00,PRCL,4.18,4.36,4.1,4.12,2422074.0
2022-12-18 08:00:00,PRCL,4.12,4.34,4.1,4.19,1328942.0
2022-12-19 08:00:00,PRCL,4.19,4.24,4.08,4.13,940767.0
2022-12-20 08:00:00,PRCL,4.13,4.23,4.08,4.1,683799.0
2022-12-21 08:00:00,PRCL,4.1,4.15,4.01,4.05,529509.0
2022-12-22 08:00:00,PRCL,4.05,4.12,3.89,3.91,403106.0
2022-12-25 08:00:00,PRCL,3.91,3.93,3.77,3.77,315751.0
2022-12-26 08:00:00,PRCL,3.86,3.9,3.8,3.9,50926.0
2022-12-27 08:00:00,PRCL,3.86,3.86,3.75,3.75,34747.0
2022-12-28 08:00:00,PRCL,3.86,4.06,3.86,3.92,608057.0
2022-12-29 08:00:00,PRCL,3.92,4.02,3.88,3.91,329354.0
2023-01-02 08:00:00,PRCL,3.91,4.07,3.91,4.01,438601.0
2023-01-03 08:00:00,PRCL,4.01,4.1,4.01,4.05,467284.0
2023-01-04 08:00:00,PRCL,4.05,4.1,3.89,4.0,464974.0
2023-01-05 08:00:00,PRCL,4.0,4.14,3.98,4.01,794284.0
2023-01-09 08:00:00,PRCL,4.01,4.08,3.83,3.86,284967.0
2023-01-10 08:00:00,PRCL,3.89,3.9,3.73,3.77,311257.0
2023-01-11 08:00:00,PRCL,3.77,3.92,3.67,3.67,411999.0
2023-01-12 08:00:00,PRCL,3.73,3.8,3.56,3.68,288674.0
2023-01-15 08:00:00,PRCL,3.65,3.75,3.65,3.66,179162.0
2023-01-16 08:00:00,PRCL,3.66,3.84,3.63,3.79,371058.0
2023-01-17 08:00:00,PRCL,3.79,3.85,3.75,3.83,119724.0
2023-01-18 08:00:00,PRCL,3.81,3.93,3.81,3.85,521623.0
2023-01-19 08:00:00,PRCL,3.85,3.98,3.85,3.86,401450.0
2023-01-22 08:00:00,PRCL,3.89,3.97,3.84,3.86,378869.0
2023-01-23 08:00:00,PRCL,3.86,3.9,3.72,3.72,183400.0
2023-01-24 08:00:00,PRCL,3.79,3.85,3.71,3.78,531350.0
2023-01-25 08:00:00,PRCL,3.75,3.9,3.75,3.89,181597.0
2023-01-29 08:00:00,PRCL,3.87,3.96,3.87,3.91,493536.0
2023-01-30 08:00:00,PRCL,3.91,3.99,3.7,3.72,464856.0
2023-01-31 08:00:00,PRCL,3.72,3.77,3.62,3.63,151121.0
2023-02-01 08:00:00,PRCL,3.65,3.7,3.57,3.6,160493.0
2023-02-02 08:00:00,PRCL,3.62,3.7,3.42,3.5,129709.0
2023-02-05 08:00:00,PRCL,3.5,3.5,3.23,3.3,259842.0
2023-02-06 08:00:00,PRCL,3.3,3.5,3.3,3.39,408101.0
2023-02-07 08:00:00,PRCL,3.39,3.5,3.38,3.43,268390.0
