date,symbol,open,high,low,close,volume
2022-05-30 08:00:00,RACC,1.982,2.02,1.95,1.972,189134.0
2022-05-31 08:00:00,RACC,1.972,2.02,1.961,2.0,58360.0
2022-06-01 08:00:00,RACC,1.972,2.05,1.972,1.98,67656.0
2022-06-02 08:00:00,RACC,1.972,2.02,1.95,1.982,72854.0
2022-06-05 08:00:00,RACC,1.972,2.02,1.972,1.985,99692.0
2022-06-06 08:00:00,RACC,1.972,2.075,1.972,2.07,586274.0
2022-06-07 08:00:00,RACC,2.067,2.111,2.067,2.08,239450.0
2022-06-08 08:00:00,RACC,2.087,2.25,2.087,2.215,791208.0
2022-06-09 08:00:00,RACC,2.205,2.248,2.161,2.179,359727.0
2022-06-12 08:00:00,RACC,2.18,2.19,2.1,2.14,222999.0
2022-06-13 08:00:00,RACC,2.14,2.17,2.1,2.11,198107.0
2022-06-14 08:00:00,RACC,2.11,2.16,2.11,2.15,69731.0
2022-06-15 08:00:00,RACC,2.11,2.19,2.11,2.17,211758.0
2022-06-16 08:00:00,RACC,2.18,2.32,2.15,2.26,1420412.0
2022-06-19 08:00:00,RACC,2.26,2.32,2.18,2.2,661430.0
2022-06-20 08:00:00,RACC,2.2,2.3,2.17,2.27,714336.0
2022-06-21 08:00:00,RACC,2.27,2.34,2.26,2.28,377089.0
2022-06-22 08:00:00,RACC,2.28,2.3,2.19,2.28,395475.0
2022-06-23 08:00:00,RACC,2.28,2.31,2.26,2.27,275968.0
2022-06-26 08:00:00,RACC,2.27,2.3,2.23,2.24,850654.0
2022-06-27 08:00:00,RACC,2.24,2.26,2.18,2.18,245701.0
2022-06-28 08:00:00,RACC,2.21,2.21,2.08,2.13,522930.0
2022-06-29 08:00:00,RACC,2.13,2.18,2.07,2.15,478121.0
2022-07-03 08:00:00,RACC,2.15,2.17,2.01,2.01,322705.0
2022-07-04 08:00:00,RACC,2.03,2.05,1.99,2.0,169739.0
2022-07-05 08:00:00,RACC,2.0,2.07,1.96,2.0,709824.0
2022-07-06 08:00:00,RACC,2.0,2.08,1.97,2.05,258589.0
2022-07-07 08:00:00,RACC,2.05,2.12,2.05,2.1,249258.0
2022-07-17 08:00:00,RACC,2.08,2.13,2.06,2.09,130360.0
2022-07-18 08:00:00,RACC,2.08,2.23,2.08,2.2,267163.0
2022-07-19 08:00:00,RACC,2.2,2.24,2.17,2.22,339386.0
2022-07-20 08:00:00,RACC,2.22,2.48,2.21,2.34,1883557.0
2022-07-21 08:00:00,RACC,2.34,2.4,2.32,2.4,1124204.0
2022-07-24 08:00:00,RACC,2.4,2.49,2.4,2.4,911579.0
2022-07-25 08:00:00,RACC,2.4,2.45,2.35,2.41,718504.0
2022-07-26 08:00:00,RACC,2.41,2.46,2.37,2.4,702973.0
2022-07-27 08:00:00,RACC,2.4,2.42,2.34,2.34,367334.0
2022-07-28 08:00:00,RACC,2.35,2.58,2.34,2.53,2545751.0
2022-07-31 08:00:00,RACC,2.53,2.65,2.53,2.54,1816702.0
2022-08-01 08:00:00,RACC,2.54,2.63,2.48,2.49,1912050.0
2022-08-02 08:00:00,RACC,2.49,2.51,2.44,2.5,956980.0
2022-08-03 08:00:00,RACC,2.5,2.63,2.5,2.52,1485874.0
2022-08-04 08:00:00,RACC,2.52,2.62,2.52,2.59,1557267.0
2022-08-07 08:00:00,RACC,2.59,2.75,2.59,2.73,2332133.0
2022-08-08 08:00:00,RACC,2.73,2.78,2.65,2.66,1223048.0
2022-08-09 08:00:00,RACC,2.66,2.71,2.5,2.53,1407055.0
2022-08-10 08:00:00,RACC,2.53,2.61,2.51,2.57,882499.0
2022-08-11 08:00:00,RACC,2.57,2.68,2.55,2.66,905857.0
2022-08-14 08:00:00,RACC,2.66,3.09,2.65,2.89,4714842.0
2022-08-15 08:00:00,RACC,2.89,3.14,2.85,2.88,5843178.0
2022-08-16 08:00:00,RACC,2.88,3.03,2.85,2.87,1782716.0
2022-08-17 08:00:00,RACC,2.87,2.96,2.77,2.9,1863514.0
2022-08-18 08:00:00,RACC,2.9,2.93,2.8,2.85,813973.0
