date,symbol,open,high,low,close,volume
2022-06-06 08:00:00,RAKT,6.16,6.24,5.99,5.99,4500.0
2022-06-07 08:00:00,RAKT,6.16,6.21,6.1,6.18,1911.0
2022-06-08 08:00:00,RAKT,6.16,6.41,6.16,6.27,22299.0
2022-06-09 08:00:00,RAKT,6.16,6.7,6.16,6.52,103449.0
2022-06-12 08:00:00,RAKT,6.53,6.59,6.4,6.43,27620.0
2022-06-13 08:00:00,RAKT,6.53,6.53,6.22,6.22,15948.0
2022-06-14 08:00:00,RAKT,6.53,6.53,6.11,6.23,7708.0
2022-06-15 08:00:00,RAKT,6.53,6.53,6.26,6.26,17331.0
2022-06-16 08:00:00,RAKT,6.53,6.53,6.24,6.24,11677.0
2022-06-19 08:00:00,RAKT,6.53,6.53,6.12,6.14,11732.0
2022-06-20 08:00:00,RAKT,6.53,6.53,6.1,6.28,5749.0
2022-06-21 08:00:00,RAKT,6.53,6.53,6.1,6.2,7601.0
2022-06-22 08:00:00,RAKT,6.53,6.53,6.0,6.0,11500.0
2022-06-23 08:00:00,RAKT,6.53,6.53,6.0,6.0,2550.0
2022-06-27 08:00:00,RAKT,6.53,6.53,5.95,5.95,4950.0
2022-06-28 08:00:00,RAKT,6.53,6.53,5.53,5.53,14350.0
2022-06-29 08:00:00,RAKT,6.53,6.53,5.73,5.8,798.0
2022-07-03 08:00:00,RAKT,6.53,6.53,5.38,5.52,3070.0
2022-07-05 08:00:00,RAKT,6.53,6.53,5.5,5.5,13920.0
2022-07-06 08:00:00,RAKT,6.53,6.53,5.6,5.87,13170.0
2022-07-07 08:00:00,RAKT,6.53,6.53,5.7,5.9,8713.0
2022-07-17 08:00:00,RAKT,6.53,6.53,5.54,5.55,9103.0
2022-07-18 08:00:00,RAKT,6.53,6.53,5.56,5.84,3000.0
2022-07-19 08:00:00,RAKT,6.53,6.53,5.65,5.88,2047.0
2022-07-20 08:00:00,RAKT,6.53,6.53,5.87,6.11,72912.0
2022-07-21 08:00:00,RAKT,6.11,6.4,6.11,6.3,17500.0
2022-07-24 08:00:00,RAKT,6.11,6.4,6.11,6.16,14542.0
2022-07-25 08:00:00,RAKT,6.11,6.23,6.07,6.11,27382.0
2022-07-26 08:00:00,RAKT,6.11,6.32,6.11,6.12,26972.0
2022-07-27 08:00:00,RAKT,6.11,6.37,6.1,6.15,30066.0
2022-07-28 08:00:00,RAKT,6.11,6.42,6.0,6.38,62336.0
2022-07-31 08:00:00,RAKT,6.38,6.72,6.38,6.53,114345.0
2022-08-01 08:00:00,RAKT,6.54,6.7,6.22,6.54,18433.0
2022-08-02 08:00:00,RAKT,6.54,6.6,6.21,6.3,14008.0
2022-08-03 08:00:00,RAKT,6.54,6.54,6.15,6.15,32605.0
2022-08-04 08:00:00,RAKT,6.54,6.54,6.2,6.34,37830.0
2022-08-07 08:00:00,RAKT,6.54,7.33,6.33,6.97,149159.0
