date,symbol,open,high,low,close,volume
2022-06-19 08:00:00,RAYA,0.964,0.975,0.94,0.964,206800.0
2022-06-20 08:00:00,RAYA,0.964,0.964,0.9405,0.9455,60704.0
2022-06-21 08:00:00,RAYA,0.964,0.975,0.9515,0.9515,202282.0
2022-06-22 08:00:00,RAYA,0.964,0.974,0.94,0.945,89212.0
2022-06-23 08:00:00,RAYA,0.964,0.964,0.935,0.9355,88782.0
2022-06-26 08:00:00,RAYA,0.964,0.969,0.935,0.959,11748.0
2022-06-27 08:00:00,RAYA,0.964,0.964,0.905,0.905,256564.0
2022-06-28 08:00:00,RAYA,0.964,0.964,0.89,0.964,144234.0
2022-06-29 08:00:00,RAYA,0.964,0.964,0.875,0.915,258352.0
2022-07-03 08:00:00,RAYA,0.964,0.964,0.87,0.876,144172.0
2022-07-04 08:00:00,RAYA,0.964,0.964,0.8355,0.8355,290660.0
2022-07-05 08:00:00,RAYA,0.964,0.964,0.801,0.835,314450.0
2022-07-06 08:00:00,RAYA,0.964,0.964,0.8255,0.845,72540.0
2022-07-07 08:00:00,RAYA,0.964,0.964,0.837,0.876,168200.0
2022-07-17 08:00:00,RAYA,0.964,0.964,0.8505,0.894,58832.0
2022-07-18 08:00:00,RAYA,0.964,0.964,0.86,0.885,108316.0
2022-07-19 08:00:00,RAYA,0.964,0.964,0.86,0.88,146866.0
2022-07-20 08:00:00,RAYA,0.964,0.964,0.8775,0.925,466570.0
2022-07-21 08:00:00,RAYA,0.9185,0.96,0.9175,0.9505,496034.0
2022-07-24 08:00:00,RAYA,0.957,0.965,0.9215,0.925,55492.0
2022-07-25 08:00:00,RAYA,0.957,0.957,0.91,0.91,441482.0
2022-07-26 08:00:00,RAYA,0.912,0.9485,0.909,0.9125,1194606.0
2022-07-27 08:00:00,RAYA,0.9125,0.9275,0.906,0.9125,224638.0
2022-07-28 08:00:00,RAYA,0.9125,0.929,0.9025,0.915,251368.0
2022-07-31 08:00:00,RAYA,0.9125,0.95,0.9125,0.9475,523074.0
2022-08-01 08:00:00,RAYA,0.9405,0.947,0.9125,0.9125,202530.0
2022-08-02 08:00:00,RAYA,0.9405,0.9405,0.905,0.905,54152.0
2022-08-03 08:00:00,RAYA,0.9405,0.9405,0.91,0.9405,326140.0
2022-08-04 08:00:00,RAYA,0.9405,0.9405,0.917,0.935,552748.0
2022-08-07 08:00:00,RAYA,0.932,0.9635,0.932,0.9545,1375760.0
2022-08-08 08:00:00,RAYA,0.9545,1.04,0.9545,0.9925,2498468.0
2022-08-09 08:00:00,RAYA,0.996,1.015,0.96,0.9655,753930.0
2022-08-10 08:00:00,RAYA,0.9655,0.99,0.955,0.955,637276.0
2022-08-11 08:00:00,RAYA,0.957,1.08,0.9555,1.059,3137620.0
2022-08-14 08:00:00,RAYA,1.055,1.265,1.055,1.265,8915832.0
2022-08-15 08:00:00,RAYA,1.265,1.515,1.265,1.405,12919782.0
2022-08-16 08:00:00,RAYA,1.405,1.465,1.325,1.36,4544948.0
2022-08-17 08:00:00,RAYA,1.36,1.425,1.3,1.35,3268922.0
