date,symbol,open,high,low,close,volume
2022-05-31 08:00:00,RREI,0.536,0.56,0.536,0.56,134500.0
2022-06-01 08:00:00,RREI,0.536,0.541,0.531,0.54,291650.0
2022-06-02 08:00:00,RREI,0.536,0.541,0.536,0.54,304841.0
2022-06-05 08:00:00,RREI,0.536,0.56,0.536,0.541,396500.0
2022-06-06 08:00:00,RREI,0.536,0.544,0.536,0.543,171000.0
2022-06-07 08:00:00,RREI,0.536,0.547,0.536,0.54,717750.0
2022-06-08 08:00:00,RREI,0.543,0.58,0.543,0.57,526430.0
2022-06-09 08:00:00,RREI,0.543,0.59,0.543,0.58,530894.0
2022-06-12 08:00:00,RREI,0.578,0.601,0.558,0.586,1583417.0
2022-06-13 08:00:00,RREI,0.589,0.59,0.56,0.57,672228.0
2022-06-14 08:00:00,RREI,0.57,0.58,0.558,0.567,121758.0
2022-06-15 08:00:00,RREI,0.57,0.588,0.566,0.57,414417.0
2022-06-16 08:00:00,RREI,0.57,0.584,0.566,0.57,189101.0
2022-06-19 08:00:00,RREI,0.57,0.581,0.551,0.551,504372.0
2022-06-20 08:00:00,RREI,0.57,0.57,0.535,0.546,214821.0
2022-06-21 08:00:00,RREI,0.57,0.57,0.551,0.553,160000.0
2022-06-22 08:00:00,RREI,0.57,0.57,0.539,0.553,157644.0
2022-06-23 08:00:00,RREI,0.57,0.57,0.545,0.545,106614.0
2022-06-26 08:00:00,RREI,0.57,0.57,0.53,0.531,134000.0
2022-06-27 08:00:00,RREI,0.57,0.57,0.535,0.537,232200.0
2022-06-28 08:00:00,RREI,0.57,0.57,0.525,0.525,364112.0
2022-06-29 08:00:00,RREI,0.57,0.57,0.535,0.545,512344.0
2022-07-03 08:00:00,RREI,0.57,0.57,0.52,0.547,289892.0
2022-07-04 08:00:00,RREI,0.57,0.57,0.502,0.502,428744.0
2022-07-05 08:00:00,RREI,0.57,0.57,0.502,0.52,126500.0
2022-07-06 08:00:00,RREI,0.57,0.57,0.5,0.51,569157.0
2022-07-07 08:00:00,RREI,0.57,0.57,0.507,0.531,931487.0
2022-07-17 08:00:00,RREI,0.531,0.559,0.516,0.52,715145.0
2022-07-18 08:00:00,RREI,0.527,0.54,0.517,0.521,1458816.0
2022-07-19 08:00:00,RREI,0.519,0.53,0.516,0.523,317740.0
2022-07-20 08:00:00,RREI,0.519,0.53,0.519,0.529,631018.0
2022-07-21 08:00:00,RREI,0.529,0.54,0.527,0.53,641046.0
2022-07-24 08:00:00,RREI,0.533,0.542,0.533,0.542,295664.0
2022-07-25 08:00:00,RREI,0.533,0.548,0.533,0.544,440615.0
2022-07-26 08:00:00,RREI,0.533,0.562,0.533,0.559,1057101.0
2022-07-27 08:00:00,RREI,0.556,0.56,0.538,0.541,724398.0
2022-07-28 08:00:00,RREI,0.541,0.551,0.53,0.546,285172.0
2022-07-31 08:00:00,RREI,0.541,0.555,0.538,0.538,243160.0
2022-08-01 08:00:00,RREI,0.541,0.552,0.517,0.539,346550.0
2022-08-02 08:00:00,RREI,0.541,0.541,0.529,0.541,336600.0
2022-08-03 08:00:00,RREI,0.541,0.55,0.516,0.54,484600.0
2022-08-04 08:00:00,RREI,0.541,0.555,0.541,0.552,714386.0
2022-08-07 08:00:00,RREI,0.552,0.6,0.552,0.595,3210882.0
2022-08-08 08:00:00,RREI,0.595,0.62,0.59,0.595,3111246.0
2022-08-09 08:00:00,RREI,0.595,0.6,0.574,0.58,909242.0
2022-08-10 08:00:00,RREI,0.579,0.594,0.579,0.585,598597.0
2022-08-11 08:00:00,RREI,0.584,0.597,0.584,0.591,834876.0
2022-08-14 08:00:00,RREI,0.591,0.68,0.591,0.676,5180453.0
2022-08-15 08:00:00,RREI,0.676,0.73,0.675,0.701,6903572.0
2022-08-16 08:00:00,RREI,0.701,0.718,0.661,0.665,1811292.0
2022-08-17 08:00:00,RREI,0.669,0.697,0.665,0.672,616945.0
2022-08-18 08:00:00,RREI,0.672,0.69,0.667,0.678,215434.0
2022-08-21 08:00:00,RREI,0.672,0.707,0.67,0.68,1475532.0
2022-08-22 08:00:00,RREI,0.671,0.69,0.67,0.674,510742.0
2022-08-23 08:00:00,RREI,0.674,0.686,0.63,0.631,1184168.0
2022-08-24 08:00:00,RREI,0.647,0.664,0.59,0.64,765697.0
2022-08-25 08:00:00,RREI,0.631,0.689,0.631,0.668,1636073.0
2022-08-28 08:00:00,RREI,0.672,0.689,0.65,0.652,1004959.0
2022-08-29 08:00:00,RREI,0.661,0.679,0.652,0.652,523107.0
2022-08-30 08:00:00,RREI,0.656,0.67,0.642,0.651,215681.0
2022-08-31 08:00:00,RREI,0.656,0.656,0.639,0.643,771500.0
2022-09-01 08:00:00,RREI,0.643,0.643,0.611,0.621,494401.0
2022-09-04 08:00:00,RREI,0.621,0.63,0.61,0.621,329345.0
2022-09-05 08:00:00,RREI,0.621,0.634,0.62,0.634,399333.0
2022-09-06 08:00:00,RREI,0.621,0.66,0.621,0.65,1266432.0
2022-09-07 08:00:00,RREI,0.645,0.69,0.64,0.659,3755773.0
2022-09-08 08:00:00,RREI,0.659,0.7,0.659,0.673,1807957.0
2022-09-11 08:00:00,RREI,0.673,0.699,0.642,0.653,1281054.0
2022-09-12 08:00:00,RREI,0.653,0.68,0.653,0.659,899882.0
2022-09-13 08:00:00,RREI,0.659,0.67,0.652,0.656,486912.0
2022-09-14 08:00:00,RREI,0.657,0.66,0.64,0.646,790619.0
2022-09-15 08:00:00,RREI,0.646,0.67,0.641,0.66,638235.0
2022-09-18 08:00:00,RREI,0.66,0.66,0.55,0.575,877756.0
2022-09-19 08:00:00,RREI,0.585,0.62,0.562,0.619,1133579.0
2022-09-20 08:00:00,RREI,0.619,0.629,0.573,0.629,661683.0
2022-09-21 08:00:00,RREI,0.614,0.663,0.613,0.65,1768958.0
2022-09-22 08:00:00,RREI,0.658,0.66,0.631,0.64,870288.0
2022-09-25 08:00:00,RREI,0.636,0.636,0.626,0.634,91312.0
2022-09-26 08:00:00,RREI,0.636,0.677,0.636,0.65,2155656.0
2022-09-27 08:00:00,RREI,0.673,0.675,0.64,0.646,3403433.0
2022-09-28 08:00:00,RREI,0.646,0.658,0.63,0.631,965870.0
2022-09-29 08:00:00,RREI,0.631,0.661,0.625,0.632,2117060.0
2022-10-02 08:00:00,RREI,0.632,0.635,0.616,0.62,708254.0
2022-10-03 08:00:00,RREI,0.62,0.621,0.604,0.606,558541.0
2022-10-04 08:00:00,RREI,0.606,0.62,0.606,0.612,252962.0
2022-10-05 08:00:00,RREI,0.606,0.615,0.606,0.608,256722.0
2022-10-09 08:00:00,RREI,0.606,0.61,0.6,0.606,180454.0
2022-10-10 08:00:00,RREI,0.606,0.62,0.6,0.62,235910.0
2022-10-11 08:00:00,RREI,0.606,0.616,0.591,0.6,369947.0
2022-10-12 08:00:00,RREI,0.606,0.606,0.59,0.59,148682.0
2022-10-13 08:00:00,RREI,0.606,0.606,0.59,0.597,95602.0
2022-10-16 08:00:00,RREI,0.606,0.608,0.591,0.595,234748.0
2022-10-17 08:00:00,RREI,0.606,0.61,0.596,0.605,518499.0
2022-10-18 08:00:00,RREI,0.605,0.615,0.6,0.6,637924.0
2022-10-19 08:00:00,RREI,0.602,0.602,0.592,0.592,423214.0
2022-10-20 08:00:00,RREI,0.602,0.602,0.583,0.591,719271.0
2022-10-23 08:00:00,RREI,0.591,0.6,0.583,0.587,172114.0
2022-10-24 08:00:00,RREI,0.591,0.628,0.585,0.61,813365.0
2022-10-25 08:00:00,RREI,0.609,0.609,0.589,0.594,194950.0
