date,symbol,open,high,low,close,volume
2022-05-11 08:00:00,SDTI,8.59,8.75,8.31,8.41,1484552.0
2022-05-12 08:00:00,SDTI,8.41,8.49,7.91,8.24,1729515.0
2022-05-15 08:00:00,SDTI,8.24,8.38,8.05,8.12,640035.0
2022-05-16 08:00:00,SDTI,8.12,8.2,7.9,8.05,662884.0
2022-05-17 08:00:00,SDTI,8.05,8.19,7.92,8.01,566286.0
2022-05-18 08:00:00,SDTI,8.01,8.4,7.95,8.31,1854952.0
2022-05-19 08:00:00,SDTI,8.31,8.31,8.04,8.08,1009398.0
2022-05-22 08:00:00,SDTI,8.08,8.34,8.05,8.08,708825.0
2022-05-23 08:00:00,SDTI,8.08,8.4,8.08,8.21,897629.0
2022-05-24 08:00:00,SDTI,8.21,8.39,8.03,8.09,895798.0
2022-05-25 08:00:00,SDTI,8.09,8.15,7.6,7.68,638801.0
2022-05-26 08:00:00,SDTI,7.68,7.8,7.4,7.45,487439.0
2022-05-29 08:00:00,SDTI,7.45,7.54,7.0,7.04,512105.0
2022-05-30 08:00:00,SDTI,7.04,7.32,7.0,7.09,532630.0
2022-05-31 08:00:00,SDTI,7.09,7.3,7.09,7.14,300885.0
2022-06-01 08:00:00,SDTI,7.14,7.35,7.0,7.04,518183.0
2022-06-02 08:00:00,SDTI,7.04,7.14,6.9,7.04,578939.0
2022-06-05 08:00:00,SDTI,7.04,7.22,7.04,7.07,546984.0
2022-06-06 08:00:00,SDTI,7.07,7.19,7.07,7.15,273099.0
2022-06-07 08:00:00,SDTI,7.11,7.49,7.11,7.42,1336913.0
2022-06-08 08:00:00,SDTI,7.42,7.79,7.42,7.67,945604.0
2022-06-09 08:00:00,SDTI,7.67,7.8,7.54,7.56,629371.0
2022-06-12 08:00:00,SDTI,7.56,7.6,7.37,7.58,554137.0
2022-06-13 08:00:00,SDTI,7.51,7.59,7.25,7.3,246175.0
2022-06-14 08:00:00,SDTI,7.3,7.63,7.26,7.6,657524.0
2022-06-15 08:00:00,SDTI,7.6,7.9,7.55,7.65,843443.0
2022-06-16 08:00:00,SDTI,7.65,7.77,7.43,7.48,485647.0
2022-06-19 08:00:00,SDTI,7.48,7.6,7.36,7.39,270865.0
2022-06-20 08:00:00,SDTI,7.39,7.48,7.1,7.16,508264.0
2022-06-21 08:00:00,SDTI,7.16,7.39,7.16,7.22,176949.0
2022-06-22 08:00:00,SDTI,7.22,7.39,7.2,7.33,291478.0
2022-06-23 08:00:00,SDTI,7.33,7.4,7.14,7.2,303606.0
2022-06-26 08:00:00,SDTI,7.2,7.39,7.0,7.13,393807.0
2022-06-27 08:00:00,SDTI,7.13,7.24,6.5,6.59,1095819.0
2022-06-28 08:00:00,SDTI,6.59,6.74,5.95,6.2,964521.0
2022-06-29 08:00:00,SDTI,6.2,6.43,6.16,6.3,443154.0
2022-07-03 08:00:00,SDTI,6.3,6.35,5.9,5.96,547644.0
2022-07-04 08:00:00,SDTI,5.96,6.0,5.43,5.56,542720.0
2022-07-05 08:00:00,SDTI,5.56,5.86,5.5,5.57,786349.0
2022-07-06 08:00:00,SDTI,5.57,5.76,5.48,5.76,430114.0
2022-07-07 08:00:00,SDTI,5.7,5.99,5.7,5.87,681591.0
2022-07-17 08:00:00,SDTI,5.87,6.28,5.86,6.28,859795.0
2022-07-18 08:00:00,SDTI,6.24,6.7,6.24,6.66,1295104.0
2022-07-19 08:00:00,SDTI,6.64,7.2,6.6,7.08,2198407.0
2022-07-20 08:00:00,SDTI,7.08,7.46,7.08,7.3,2226577.0
2022-07-21 08:00:00,SDTI,7.3,7.98,7.3,7.91,1500357.0
2022-07-24 08:00:00,SDTI,7.91,8.1,7.49,7.56,1501344.0
2022-07-25 08:00:00,SDTI,7.56,7.72,7.5,7.52,719424.0
2022-07-26 08:00:00,SDTI,7.52,7.75,7.5,7.58,1160577.0
2022-07-27 08:00:00,SDTI,7.58,7.7,7.35,7.39,1377846.0
2022-07-28 08:00:00,SDTI,7.39,7.55,7.12,7.49,1097803.0
2022-07-31 08:00:00,SDTI,7.49,7.7,7.49,7.55,887814.0
2022-08-01 08:00:00,SDTI,7.55,7.67,7.21,7.31,627431.0
2022-08-02 08:00:00,SDTI,7.31,7.56,7.24,7.55,665899.0
2022-08-03 08:00:00,SDTI,7.47,7.67,7.32,7.4,1051208.0
2022-08-04 08:00:00,SDTI,7.35,7.61,7.35,7.56,1220688.0
2022-08-07 08:00:00,SDTI,7.56,8.18,7.56,8.08,2815062.0
2022-08-08 08:00:00,SDTI,8.08,8.7,8.08,8.4,2633062.0
2022-08-09 08:00:00,SDTI,8.4,9.29,8.35,8.73,4308497.0
2022-08-10 08:00:00,SDTI,8.73,9.12,8.55,8.61,1653164.0
2022-08-11 08:00:00,SDTI,8.61,10.08,8.61,9.96,5435547.0
2022-08-14 08:00:00,SDTI,9.96,10.68,9.82,9.97,2408219.0
2022-08-15 08:00:00,SDTI,9.97,10.3,9.2,9.76,2858031.0
2022-08-16 08:00:00,SDTI,9.76,10.58,9.76,10.29,2537876.0
2022-08-17 08:00:00,SDTI,10.29,10.75,9.9,10.11,2228010.0
2022-08-18 08:00:00,SDTI,10.11,10.4,9.93,10.01,1061024.0
2022-08-21 08:00:00,SDTI,10.01,10.54,10.01,10.14,2163573.0
2022-08-22 08:00:00,SDTI,10.14,10.4,9.9,10.12,3604249.0
2022-08-23 08:00:00,SDTI,10.12,10.55,10.1,10.13,2746814.0
2022-08-24 08:00:00,SDTI,10.13,11.44,10.13,11.08,6130779.0
2022-08-25 08:00:00,SDTI,11.08,12.09,11.08,11.95,6705696.0
2022-08-28 08:00:00,SDTI,11.95,12.15,11.35,11.39,4255183.0
2022-08-29 08:00:00,SDTI,11.39,11.97,10.37,10.6,6260532.0
2022-08-30 08:00:00,SDTI,10.6,11.01,10.33,10.46,2537497.0
2022-08-31 08:00:00,SDTI,10.46,10.84,10.11,10.6,3035896.0
2022-09-01 08:00:00,SDTI,10.6,10.77,9.6,9.770001,3686485.0
2022-09-04 08:00:00,SDTI,9.770001,10.24,9.38,10.02,2797342.0
2022-09-05 08:00:00,SDTI,10.02,10.49,9.83,10.49,3776003.0
2022-09-06 08:00:00,SDTI,10.49,10.81,10.26,10.32,3097697.0
2022-09-07 08:00:00,SDTI,10.32,10.49,9.92,10.16,1691037.0
2022-09-08 08:00:00,SDTI,10.16,10.27,9.63,9.72,2120972.0
2022-09-11 08:00:00,SDTI,9.72,9.9,9.26,9.3,1489937.0
2022-09-12 08:00:00,SDTI,9.3,9.83,9.23,9.32,2752743.0
2022-09-13 08:00:00,SDTI,9.32,9.65,9.1,9.51,1743328.0
2022-09-14 08:00:00,SDTI,9.51,9.51,9.1,9.14,1702137.0
2022-09-15 08:00:00,SDTI,9.14,9.46,9.14,9.2,2620522.0
2022-09-18 08:00:00,SDTI,9.2,9.4,7.6,7.85,2223143.0
2022-09-19 08:00:00,SDTI,7.85,8.6,7.75,8.59,2338610.0
2022-09-20 08:00:00,SDTI,8.5,8.8,8.15,8.56,3400181.0
2022-09-21 08:00:00,SDTI,8.56,8.68,8.32,8.36,1107145.0
2022-09-22 08:00:00,SDTI,8.36,8.46,8.17,8.3,948328.0
2022-09-25 08:00:00,SDTI,8.3,8.4,8.1,8.17,737416.0
2022-09-26 08:00:00,SDTI,8.17,8.5,8.17,8.41,1535256.0
2022-09-27 08:00:00,SDTI,8.41,9.21,8.41,9.11,5140099.0
2022-09-28 08:00:00,SDTI,9.11,9.35,8.87,8.88,2712473.0
2022-09-29 08:00:00,SDTI,8.92,9.06,8.81,8.81,1217084.0
2022-10-02 08:00:00,SDTI,8.88,8.96,8.32,8.4,702393.0
2022-10-03 08:00:00,SDTI,8.45,8.62,8.1,8.28,1224676.0
2022-10-04 08:00:00,SDTI,8.28,8.55,8.28,8.34,647611.0
2022-10-05 08:00:00,SDTI,8.34,8.4,8.17,8.3,1023762.0
2022-10-09 08:00:00,SDTI,8.3,8.37,8.1,8.18,709824.0
2022-10-10 08:00:00,SDTI,8.18,8.37,7.89,8.020001,1012307.0
2022-10-11 08:00:00,SDTI,8.020001,8.2,7.6,7.64,949492.0
2022-10-12 08:00:00,SDTI,7.64,7.8,7.22,7.28,951791.0
2022-10-13 08:00:00,SDTI,7.28,8.2,7.25,8.2,1989116.0
2022-10-16 08:00:00,SDTI,8.2,8.9,8.2,8.84,5097401.0
2022-10-17 08:00:00,SDTI,8.84,8.9,8.45,8.51,2544317.0
2022-10-18 08:00:00,SDTI,8.51,8.66,8.05,8.22,2817518.0
2022-10-19 08:00:00,SDTI,8.22,8.41,8.0,8.05,2177650.0
2022-10-20 08:00:00,SDTI,8.05,8.28,8.01,8.13,865842.0
2022-10-23 08:00:00,SDTI,8.13,8.6,8.13,8.46,2771787.0
2022-10-24 08:00:00,SDTI,8.46,8.7,8.32,8.41,3492354.0
2022-10-25 08:00:00,SDTI,8.41,8.55,8.05,8.13,1433522.0
2022-10-26 08:00:00,SDTI,8.13,8.34,8.09,8.14,1323750.0
2022-10-27 08:00:00,SDTI,8.14,8.48,8.03,8.09,924609.0
2022-10-30 08:00:00,SDTI,8.09,8.22,7.7,7.83,658273.0
2022-10-31 08:00:00,SDTI,7.83,8.09,7.58,7.97,967676.0
2022-11-01 08:00:00,SDTI,7.97,8.25,7.95,8.020001,827659.0
2022-11-02 08:00:00,SDTI,8.020001,8.18,7.71,7.76,1245241.0
2022-11-03 08:00:00,SDTI,7.76,7.93,7.67,7.7,599306.0
2022-11-06 08:00:00,SDTI,7.76999998,7.78999996,7.30999994,7.3499999,868351.0
2022-11-07 08:00:00,SDTI,7.35,7.62,7.31,7.48,1019127.0
2022-11-08 08:00:00,SDTI,7.48,7.92,7.43,7.48,1571633.0
2022-11-09 08:00:00,SDTI,7.48,7.58,7.06,7.11,1571642.0
2022-11-10 08:00:00,SDTI,7.11,7.26,7.0,7.13,1104445.0
2022-11-13 08:00:00,SDTI,7.13,7.7,7.13,7.7,1819473.0
2022-11-14 08:00:00,SDTI,7.7,7.7,7.15,7.37,1303495.0
2022-11-15 08:00:00,SDTI,7.37,7.4,7.19,7.21,945606.0
2022-11-16 08:00:00,SDTI,7.21,7.59,7.2,7.52,1772394.0
2022-11-17 08:00:00,SDTI,7.52,7.64,7.45,7.48,2555187.0
2022-11-20 08:00:00,SDTI,7.48,8.34,7.48,8.0,4913180.0
2022-11-21 08:00:00,SDTI,8.0,8.24,7.76,7.93,2689952.0
2022-11-22 08:00:00,SDTI,7.93,8.16,7.92,8.020001,1241766.0
2022-11-23 08:00:00,SDTI,8.01,8.2,7.81,7.9,1761884.0
2022-11-24 08:00:00,SDTI,7.9,8.08,7.9,7.99,1140227.0
2022-11-27 08:00:00,SDTI,7.99,8.42,7.99,8.13,3258783.0
2022-11-28 08:00:00,SDTI,8.13,8.32,7.93,7.95,1492355.0
2022-11-29 08:00:00,SDTI,7.95,8.06,7.85,7.91,745842.0
2022-11-30 08:00:00,SDTI,7.91,8.1,7.8,7.83,914068.0
