date,symbol,open,high,low,close,volume
2022-06-14 08:00:00,SUGR,11.14,11.7,11.14,11.4,578146.0
2022-06-15 08:00:00,SUGR,11.4,12.25,11.4,12.12,1286678.0
2022-06-16 08:00:00,SUGR,12.12,12.7,11.9,12.22,1028976.0
2022-06-19 08:00:00,SUGR,12.22,12.59,11.85,11.96,649367.0
2022-06-20 08:00:00,SUGR,11.96,12.4,11.88,12.06,624011.0
2022-06-21 08:00:00,SUGR,12.06,12.06,11.61,11.67,456435.0
2022-06-22 08:00:00,SUGR,11.67,11.67,11.41,11.5,138827.0
2022-06-23 08:00:00,SUGR,11.5,11.75,11.35,11.44,156028.0
2022-06-26 08:00:00,SUGR,11.44,11.67,11.07,11.19,142207.0
2022-06-27 08:00:00,SUGR,11.19,11.24,10.96,11.03,136541.0
2022-06-28 08:00:00,SUGR,11.03,11.2,10.51,10.75,312887.0
2022-06-29 08:00:00,SUGR,10.76,11.08,10.7,10.9,286469.0
2022-07-03 08:00:00,SUGR,10.81,11.0,10.3,10.55,252862.0
2022-07-04 08:00:00,SUGR,10.55,10.55,10.01,10.07,123288.0
2022-07-05 08:00:00,SUGR,10.07,10.9,10.0,10.9,397184.0
2022-07-06 08:00:00,SUGR,10.72,11.1,10.7,10.84,128745.0
2022-07-07 08:00:00,SUGR,10.84,11.11,10.8,10.82,105421.0
2022-07-17 08:00:00,SUGR,10.82,10.84,10.7,10.7,86229.0
2022-07-18 08:00:00,SUGR,10.71,11.2,10.71,11.03,125190.0
2022-07-19 08:00:00,SUGR,11.03,11.7,10.96,11.61,427479.0
2022-07-20 08:00:00,SUGR,11.61,11.96,11.41,11.55,404977.0
2022-07-21 08:00:00,SUGR,11.52,11.78,11.52,11.6,233104.0
2022-07-24 08:00:00,SUGR,11.6,11.79,11.41,11.57,193241.0
2022-07-25 08:00:00,SUGR,11.48,12.5,11.4,12.44,1955931.0
2022-07-26 08:00:00,SUGR,12.44,13.3,12.44,12.89,1768114.0
2022-07-27 08:00:00,SUGR,12.89,13.7,12.6,13.22,1882758.0
2022-07-28 08:00:00,SUGR,13.22,13.55,12.82,12.91,977652.0
2022-07-31 08:00:00,SUGR,12.91,13.48,12.91,13.2,646577.0
2022-08-01 08:00:00,SUGR,13.2,13.32,12.77,12.77,381926.0
2022-08-02 08:00:00,SUGR,12.8,13.07,12.7,13.0,324056.0
2022-08-03 08:00:00,SUGR,12.89,13.69,12.89,13.06,1587053.0
2022-08-04 08:00:00,SUGR,13.02,13.23,12.84,12.96,1056567.0
2022-08-07 08:00:00,SUGR,12.96,13.4,12.96,13.1,862652.0
2022-08-08 08:00:00,SUGR,13.1,14.39,13.1,14.11,3142193.0
2022-08-09 08:00:00,SUGR,14.11,14.5,13.75,13.89,974036.0
2022-08-10 08:00:00,SUGR,13.89,14.19,13.5,13.71,690885.0
2022-08-11 08:00:00,SUGR,13.71,14.07,13.6,13.67,478013.0
2022-08-14 08:00:00,SUGR,13.67,14.2,13.67,14.11,1498963.0
2022-08-15 08:00:00,SUGR,14.11,14.8,13.8,13.87,999866.0
2022-08-16 08:00:00,SUGR,13.87,14.17,13.78,13.81,439644.0
2022-08-17 08:00:00,SUGR,13.81,13.99,13.6,13.66,421168.0
2022-08-18 08:00:00,SUGR,13.66,14.18,13.66,13.9,1081150.0
2022-08-21 08:00:00,SUGR,13.9,14.3,13.9,14.01,654324.0
2022-08-22 08:00:00,SUGR,14.01,14.3,13.84,13.89,599234.0
2022-08-23 08:00:00,SUGR,13.89,14.0,13.5,13.55,564573.0
2022-08-24 08:00:00,SUGR,13.55,13.68,13.24,13.27,481889.0
2022-08-25 08:00:00,SUGR,13.26,13.69,13.26,13.52,456449.0
2022-08-28 08:00:00,SUGR,13.52,13.52,13.25,13.29,288712.0
2022-08-29 08:00:00,SUGR,13.29,13.51,13.07,13.13,297454.0
2022-08-30 08:00:00,SUGR,13.13,13.24,12.73,13.01,148247.0
2022-08-31 08:00:00,SUGR,13.01,13.1,12.77,12.83,110192.0
2022-09-01 08:00:00,SUGR,12.83,12.89,12.56,12.61,134177.0
2022-09-04 08:00:00,SUGR,12.61,13.77,12.46,13.66,549694.0
2022-09-05 08:00:00,SUGR,13.66,14.64,13.66,14.52,2062748.0
2022-09-06 08:00:00,SUGR,14.52,14.74,14.04,14.15,736962.0
2022-09-07 08:00:00,SUGR,14.15,14.3,13.9,13.94,208083.0
2022-09-08 08:00:00,SUGR,13.94,14.75,13.94,14.65,1282747.0
2022-09-11 08:00:00,SUGR,14.65,15.2,14.65,15.03,1371333.0
2022-09-12 08:00:00,SUGR,15.03,15.19,14.8,14.83,316441.0
2022-09-13 08:00:00,SUGR,14.87,14.96,14.64,14.8,190706.0
2022-09-14 08:00:00,SUGR,14.74,14.74,14.3,14.5,406038.0
2022-09-15 08:00:00,SUGR,14.39,14.79,14.29,14.44,317742.0
2022-09-18 08:00:00,SUGR,14.44,14.58,13.15,13.5,345994.0
2022-09-19 08:00:00,SUGR,13.44,13.83,13.05,13.7,185104.0
2022-09-20 08:00:00,SUGR,13.7,14.58,13.69,14.45,429716.0
2022-09-21 08:00:00,SUGR,14.45,14.63,13.87,13.99,224802.0
2022-09-22 08:00:00,SUGR,13.99,14.15,13.7,14.01,140595.0
2022-09-25 08:00:00,SUGR,14.01,14.44,13.9,14.21,244232.0
2022-09-26 08:00:00,SUGR,14.21,14.59,14.2,14.27,253814.0
2022-09-27 08:00:00,SUGR,14.27,14.61,14.12,14.19,229337.0
2022-09-28 08:00:00,SUGR,14.19,14.3,14.0,14.01,68873.0
2022-09-29 08:00:00,SUGR,14.03,14.97,14.03,14.81,645440.0
2022-10-02 08:00:00,SUGR,14.81,14.95,14.51,14.6,242246.0
2022-10-03 08:00:00,SUGR,14.6,14.8,14.22,14.34,136305.0
