date,symbol,open,high,low,close,volume
2022-04-17 08:00:00,TALM,3.9,4.0,3.8,3.98,164948.0
2022-04-18 08:00:00,TALM,3.93,4.0,3.4,3.9,218248.0
2022-04-19 08:00:00,TALM,3.93,3.93,3.82,3.9,1819877.0
2022-04-20 08:00:00,TALM,3.9,3.9,3.82,3.82,2764.0
2022-04-21 08:00:00,TALM,3.9,3.9,3.7,3.87,112302.0
2022-04-26 08:00:00,TALM,3.9,3.9,3.75,3.89,26000.0
2022-04-27 08:00:00,TALM,3.9,3.9,3.71,3.71,44050.0
2022-04-28 08:00:00,TALM,3.9,3.9,3.6,3.7,63899.0
2022-05-08 08:00:00,TALM,3.9,3.9,3.6,3.9,15600.0
2022-05-09 08:00:00,TALM,3.9,3.9,3.63,3.63,32812.0
2022-05-10 08:00:00,TALM,3.9,3.9,3.63,3.82,103.0
2022-05-11 08:00:00,TALM,3.9,3.9,3.67,3.89,10250.0
2022-05-12 08:00:00,TALM,3.9,3.9,3.69,3.79,21613.0
2022-05-15 08:00:00,TALM,3.9,3.9,3.69,3.7,4135.0
2022-05-16 08:00:00,TALM,3.9,3.9,3.6,3.68,43694.0
2022-05-18 08:00:00,TALM,3.9,3.9,3.68,3.7,172660.0
2022-05-19 08:00:00,TALM,3.7,3.8,3.43,3.43,1487.0
2022-05-22 08:00:00,TALM,3.7,3.88,3.4,3.6,385.0
2022-05-23 08:00:00,TALM,3.7,3.7,3.4,3.6,228.0
2022-05-24 08:00:00,TALM,3.7,3.7,3.45,3.5,7226.0
2022-05-25 08:00:00,TALM,3.7,3.8,3.4,3.77,202229.0
2022-05-26 08:00:00,TALM,3.55,3.55,3.12,3.12,1836.0
2022-05-29 08:00:00,TALM,3.55,3.55,3.13,3.2,2462.0
2022-05-31 08:00:00,TALM,3.55,3.6,3.42,3.45,266338.0
2022-06-01 08:00:00,TALM,3.45,3.45,3.25,3.3,11051.0
2022-06-02 08:00:00,TALM,3.45,3.45,3.23,3.43,22100.0
2022-06-05 08:00:00,TALM,3.45,3.45,3.39,3.39,11000.0
2022-06-08 08:00:00,TALM,3.45,3.5,3.4,3.5,2107.0
2022-06-09 08:00:00,TALM,3.45,3.7,3.45,3.7,2079859.0
2022-06-12 08:00:00,TALM,3.7,3.78,3.5,3.5,9008.0
2022-06-13 08:00:00,TALM,3.7,3.7,3.26,3.45,2032617.0
2022-06-14 08:00:00,TALM,3.42,3.42,3.15,3.35,278599.0
2022-06-15 08:00:00,TALM,3.31,3.4,3.23,3.3,140170.0
2022-06-16 08:00:00,TALM,3.31,3.4,3.24,3.24,1590784.0
2022-06-19 08:00:00,TALM,3.25,3.29,3.18,3.18,8998.0
2022-06-20 08:00:00,TALM,3.25,3.25,3.17,3.23,31854.0
2022-06-21 08:00:00,TALM,3.25,3.25,3.16,3.16,885547.0
2022-06-22 08:00:00,TALM,3.19,3.23,3.13,3.13,132500.0
2022-06-23 08:00:00,TALM,3.13,3.2,3.02,3.11,989116.0
2022-06-26 08:00:00,TALM,3.11,3.18,3.06,3.1,166862.0
2022-06-27 08:00:00,TALM,3.12,3.12,3.0,3.01,583172.0
2022-06-28 08:00:00,TALM,3.03,3.08,2.82,3.03,146540.0
2022-06-29 08:00:00,TALM,3.03,3.03,2.9,3.0,80220.0
2022-07-03 08:00:00,TALM,3.03,3.24,3.0,3.19,253751.0
2022-07-04 08:00:00,TALM,3.17,3.17,2.9,3.0,447511.0
2022-07-05 08:00:00,TALM,3.0,3.0,2.85,2.85,516000.0
2022-07-06 08:00:00,TALM,2.85,3.0,2.8,2.8,1001062.0
2022-07-07 08:00:00,TALM,2.8,3.16,2.8,3.02,2574000.0
2022-07-17 08:00:00,TALM,3.02,3.1,2.87,2.92,9635.0
