date,symbol,open,high,low,close,volume
2023-07-10 07:00:00,TAQA,13.0,22.0,13.0,20.0,724975.0
2023-07-11 07:00:00,TAQA,20.0,24.0,19.559999,19.816,922276.0
2023-07-12 07:00:00,TAQA,19.816,19.816,15.853,15.853,340854.0
2023-07-13 07:00:00,TAQA,15.853,15.853,12.683,12.683,234083.0
2023-07-16 07:00:00,TAQA,12.68,13.39,10.3,12.43,502042.0
2023-07-17 07:00:00,TAQA,12.51,12.51,11.6,11.74,207848.0
2023-07-18 07:00:00,TAQA,11.74,11.85,11.0,11.39,241739.0
2023-07-19 07:00:00,TAQA,11.39,11.45,11.02,11.04,321683.0
2023-07-24 07:00:00,TAQA,11.04,11.25,10.6,10.96,152316.0
2023-07-25 07:00:00,TAQA,10.96,10.98,10.5,10.54,223973.0
2023-07-26 07:00:00,TAQA,10.54,10.7,9.770001,9.91,234216.0
2023-07-27 07:00:00,TAQA,9.91,10.0,9.6,9.69,87643.0
2023-07-30 07:00:00,TAQA,9.69,9.84,9.46,9.55,354030.0
2023-07-31 07:00:00,TAQA,9.55,9.7,9.35,9.5,197393.0
2023-08-01 07:00:00,TAQA,9.49,10.9,9.35,9.79,837993.0
2023-08-02 07:00:00,TAQA,9.53,9.74,9.4,9.42,388759.0
2023-08-03 07:00:00,TAQA,9.42,9.59,9.25,9.25,244307.0
2023-08-06 07:00:00,TAQA,9.29,9.45,9.2,9.270001,287797.0
2023-08-07 07:00:00,TAQA,9.270001,9.35,9.0,9.15,226771.0
2023-08-08 07:00:00,TAQA,9.15,9.270001,8.95,9.0,432397.0
2023-08-09 07:00:00,TAQA,9.0,9.0,8.73,8.76,247150.0
2023-08-10 07:00:00,TAQA,8.76,8.8,8.520001,8.61,227825.0
2023-08-13 07:00:00,TAQA,8.61,9.35,8.51,9.19,607131.0
2023-08-14 07:00:00,TAQA,9.19,9.25,8.8,8.91,497189.0
2023-08-15 07:00:00,TAQA,8.91,9.05,8.82,9.0,225725.0
2023-08-16 07:00:00,TAQA,9.0,9.05,8.76,8.81,381764.0
2023-08-17 07:00:00,TAQA,8.81,8.95,8.57,8.7,281055.0
2023-08-20 07:00:00,TAQA,8.61,8.85,8.42,8.5,252954.0
2023-08-21 07:00:00,TAQA,8.5,8.65,8.34,8.42,142269.0
2023-08-22 07:00:00,TAQA,8.42,8.46,8.11,8.25,225106.0
2023-08-23 07:00:00,TAQA,8.24,8.3,8.11,8.18,199442.0
2023-08-24 07:00:00,TAQA,8.13,8.270001,8.13,8.18,60660.0
2023-08-27 07:00:00,TAQA,8.19,8.3,8.19,8.22,140423.0
2023-08-28 07:00:00,TAQA,8.29,8.35,8.23,8.26,60650.0
2023-08-29 07:00:00,TAQA,8.26,9.91,8.19,9.91,1626394.0
2023-08-30 07:00:00,TAQA,9.91,10.24,9.53,9.74,1192166.0
2023-08-31 07:00:00,TAQA,9.74,11.6,9.1,11.36,2010038.0
2023-09-03 07:00:00,TAQA,11.36,12.5,10.5,11.57,2379067.0
2023-09-04 07:00:00,TAQA,11.57,11.57,10.8,10.96,771250.0
2023-09-05 07:00:00,TAQA,10.96,12.0,10.66,12.0,1277532.0
2023-09-06 07:00:00,TAQA,12.0,12.0,11.51,11.61,790846.0
2023-09-07 07:00:00,TAQA,11.61,12.0,11.59,11.88,714417.0
2023-09-10 07:00:00,TAQA,11.88,11.94,11.6,11.72,354940.0
2023-09-11 07:00:00,TAQA,11.7,11.88,11.31,11.38,387613.0
2023-09-12 07:00:00,TAQA,11.38,11.85,11.04,11.42,364687.0
2023-09-13 07:00:00,TAQA,11.42,11.7,11.38,11.49,227265.0
2023-09-14 07:00:00,TAQA,11.49,11.68,11.34,11.37,265020.0
2023-09-17 07:00:00,TAQA,11.37,11.66,11.36,11.48,222458.0
2023-09-18 07:00:00,TAQA,11.48,11.56,11.34,11.49,186900.0
2023-09-19 07:00:00,TAQA,11.49,11.99,11.34,11.54,965402.0
2023-09-20 07:00:00,TAQA,11.54,11.6,11.03,11.06,402088.0
2023-09-21 07:00:00,TAQA,11.06,11.35,10.82,10.99,278788.0
2023-09-24 07:00:00,TAQA,10.99,11.35,10.8,11.14,190426.0
2023-09-25 07:00:00,TAQA,10.99,11.17,10.63,10.69,191942.0
2023-09-26 07:00:00,TAQA,10.69,10.87,10.51,10.59,220933.0
2023-09-27 07:00:00,TAQA,10.59,10.7,10.07,10.28,182993.0
2023-10-01 07:00:00,TAQA,10.28,10.5,10.09,10.16,160975.0
2023-10-02 07:00:00,TAQA,10.16,10.29,9.63,9.86,133795.0
2023-10-03 07:00:00,TAQA,9.86,10.0,9.55,9.89,104101.0
2023-10-04 07:00:00,TAQA,9.89,10.14,9.56,10.07,125995.0
2023-10-08 07:00:00,TAQA,10.07,10.15,9.0,9.75,266308.0
2023-10-09 07:00:00,TAQA,9.75,9.98,9.31,9.47,147393.0
2023-10-10 07:00:00,TAQA,9.51,9.79,9.47,9.770001,220804.0
2023-10-11 07:00:00,TAQA,9.770001,9.8,9.6,9.69,67739.0
2023-10-12 07:00:00,TAQA,9.66,9.78,9.5,9.6,69986.0
2023-10-15 07:00:00,TAQA,9.6,9.8,9.51,9.65,122999.0
2023-10-16 07:00:00,TAQA,9.64,10.48,9.520001,10.39,487015.0
2023-10-17 07:00:00,TAQA,10.39,10.69,10.0,10.33,295467.0
2023-10-18 07:00:00,TAQA,10.33,10.35,9.94,10.0,200200.0
2023-10-19 07:00:00,TAQA,10.0,10.18,9.65,9.91,248707.0
2023-10-22 07:00:00,TAQA,9.99,10.03,9.7,9.88,351885.0
2023-10-23 07:00:00,TAQA,9.86,10.12,9.770001,10.0,427383.0
2023-10-24 07:00:00,TAQA,9.96,10.14,9.86,9.91,234238.0
2023-10-25 07:00:00,TAQA,9.94,10.0,9.86,9.98,214639.0
2023-10-26 07:00:00,TAQA,9.95,10.97,9.9,10.63,654953.0
2023-10-29 08:00:00,TAQA,10.63,10.9,10.51,10.51,287746.0
2023-10-30 08:00:00,TAQA,10.55,10.67,10.02,10.45,282061.0
2023-10-31 08:00:00,TAQA,10.45,10.52,10.0,10.12,193531.0
2023-11-01 08:00:00,TAQA,10.12,10.3,9.9,10.09,194004.0
2023-11-02 08:00:00,TAQA,9.94,10.25,9.92,10.19,142331.0
2023-11-05 08:00:00,TAQA,10.07,10.48,10.07,10.4,215166.0
2023-11-06 08:00:00,TAQA,10.4,10.56,10.23,10.29,104212.0
2023-11-07 08:00:00,TAQA,10.29,10.5,10.29,10.46,201812.0
2023-11-08 08:00:00,TAQA,10.46,11.0,10.46,10.69,349448.0
2023-11-09 08:00:00,TAQA,10.69,10.8,10.51,10.6,242617.0
2023-11-12 08:00:00,TAQA,10.56,10.88,10.56,10.66,203745.0
