date,symbol,open,high,low,close,volume
2024-12-10 08:00:00,UBEE,13.85,15.23,13.85,14.29,56468787.0
2024-12-11 08:00:00,UBEE,14.29,14.49,14.12,14.32,18940991.0
2024-12-12 08:00:00,UBEE,14.32,14.34,14.19,14.34,7424415.0
2024-12-15 08:00:00,UBEE,14.34,14.36,14.12,14.36,12792034.0
2024-12-16 08:00:00,UBEE,14.36,14.36,14.0,14.0,14349125.0
2024-12-17 08:00:00,UBEE,14.0,14.07,13.67,13.85,12557889.0
2024-12-18 08:00:00,UBEE,13.85,14.01,13.76,14.01,11331652.0
2024-12-19 08:00:00,UBEE,14.01,14.11,13.85,14.1,6637883.0
2024-12-22 08:00:00,UBEE,14.1,14.16,13.91,14.16,3102000.0
2024-12-23 08:00:00,UBEE,14.16,14.39,14.11,14.19,9649485.0
2024-12-24 08:00:00,UBEE,14.19,14.26,14.0,14.22,4687919.0
2024-12-25 08:00:00,UBEE,14.22,14.25,14.1,14.25,3039555.0
2024-12-26 08:00:00,UBEE,14.25,14.29,14.16,14.29,2797867.0
2024-12-29 08:00:00,UBEE,14.29,14.32,14.19,14.31,2467293.0
2024-12-30 08:00:00,UBEE,14.31,14.35,14.2,14.33,4307050.0
2024-12-31 08:00:00,UBEE,14.33,14.37,14.2,14.35,1947686.0
2025-01-02 08:00:00,UBEE,14.35,14.38,14.3,14.37,455313.0
2025-01-05 08:00:00,UBEE,14.37,14.43,14.23,14.4,4436511.0
2025-01-06 08:00:00,UBEE,14.4,14.42,14.32,14.4,2411855.0
2025-01-08 08:00:00,UBEE,14.4,14.41,14.35,14.4,2799194.0
2025-01-09 08:00:00,UBEE,14.4,14.42,14.3,14.41,2161473.0
2025-01-12 08:00:00,UBEE,14.41,14.43,14.3,14.42,661606.0
2025-01-13 08:00:00,UBEE,14.42,14.45,14.35,14.43,3306103.0
2025-01-14 08:00:00,UBEE,14.43,14.49,14.3,14.43,1855770.0
2025-01-15 08:00:00,UBEE,14.43,14.44,14.35,14.43,848262.0
2025-01-16 08:00:00,UBEE,14.43,14.44,14.4,14.43,668572.0
2025-01-19 08:00:00,UBEE,14.43,14.44,14.4,14.44,6704795.0
2025-01-20 08:00:00,UBEE,14.42,14.44,14.4,14.43,2129350.0
2025-01-21 08:00:00,UBEE,14.43,14.44,14.4,14.43,186015.0
2025-01-22 08:00:00,UBEE,14.43,14.44,14.4,14.43,241846.0
2025-01-23 08:00:00,UBEE,14.43,14.44,14.4,14.43,260175.0
2025-01-26 08:00:00,UBEE,14.43,14.46,14.4,14.43,979316.0
2025-01-27 08:00:00,UBEE,14.45,14.45,14.39,14.44,594488.0
2025-01-28 08:00:00,UBEE,14.44,14.44,14.4,14.43,290832.0
2025-01-29 08:00:00,UBEE,14.43,14.44,14.43,14.43,137026.0
2025-01-30 08:00:00,UBEE,14.43,14.44,14.43,14.43,293044.0
2025-02-02 08:00:00,UBEE,14.43,14.44,14.43,14.44,289502.0
2025-02-03 08:00:00,UBEE,14.44,14.44,14.4,14.43,894752.0
2025-02-04 08:00:00,UBEE,14.43,14.45,14.43,14.45,403975.0
2025-02-05 08:00:00,UBEE,14.45,14.45,14.41,14.44,271615.0
2025-02-06 08:00:00,UBEE,14.44,14.45,14.43,14.44,1210062.0
2025-02-09 08:00:00,UBEE,14.43,14.45,14.0,14.4,131872.0
2025-02-10 08:00:00,UBEE,14.41,14.41,14.03,14.39,332072.0
