date,symbol,open,high,low,close,volume
2022-06-02 08:00:00,UEGC,0.515,0.519,0.502,0.518,1257563.0
2022-06-05 08:00:00,UEGC,0.513,0.519,0.504,0.512,335681.0
2022-06-06 08:00:00,UEGC,0.513,0.52,0.512,0.519,261663.0
2022-06-07 08:00:00,UEGC,0.513,0.52,0.513,0.515,259693.0
2022-06-08 08:00:00,UEGC,0.513,0.54,0.513,0.531,740467.0
2022-06-09 08:00:00,UEGC,0.531,0.542,0.527,0.534,666207.0
2022-06-12 08:00:00,UEGC,0.534,0.542,0.534,0.538,1328196.0
2022-06-13 08:00:00,UEGC,0.538,0.54,0.52,0.52,550244.0
2022-06-14 08:00:00,UEGC,0.538,0.538,0.52,0.526,1429867.0
2022-06-15 08:00:00,UEGC,0.526,0.546,0.526,0.539,2007430.0
2022-06-16 08:00:00,UEGC,0.539,0.565,0.539,0.546,3096777.0
2022-06-19 08:00:00,UEGC,0.546,0.548,0.525,0.525,856599.0
2022-06-20 08:00:00,UEGC,0.533,0.537,0.522,0.522,1044395.0
2022-06-21 08:00:00,UEGC,0.524,0.55,0.524,0.533,1009619.0
2022-06-22 08:00:00,UEGC,0.533,0.533,0.524,0.529,273492.0
2022-06-23 08:00:00,UEGC,0.533,0.533,0.523,0.53,553000.0
2022-06-26 08:00:00,UEGC,0.533,0.533,0.523,0.524,1095688.0
2022-06-27 08:00:00,UEGC,0.525,0.531,0.517,0.517,855208.0
2022-06-28 08:00:00,UEGC,0.52,0.52,0.5,0.508,1389482.0
2022-06-29 08:00:00,UEGC,0.508,0.519,0.506,0.51,200480.0
2022-07-03 08:00:00,UEGC,0.508,0.509,0.492,0.492,720954.0
2022-07-04 08:00:00,UEGC,0.493,0.493,0.47,0.47,559045.0
2022-07-05 08:00:00,UEGC,0.493,0.5,0.47,0.47,754096.0
2022-07-06 08:00:00,UEGC,0.474,0.484,0.466,0.474,615325.0
2022-07-07 08:00:00,UEGC,0.474,0.494,0.47,0.48,517522.0
2022-07-17 08:00:00,UEGC,0.474,0.488,0.469,0.471,427986.0
2022-07-18 08:00:00,UEGC,0.474,0.49,0.47,0.48,437243.0
