date,symbol,open,high,low,close,volume
2022-07-06 08:00:00,UNIT,2.72,2.8,2.7,2.75,99541.0
2022-07-07 08:00:00,UNIT,2.72,2.87,2.72,2.85,177622.0
2022-07-17 08:00:00,UNIT,2.78,2.84,2.78,2.84,35872.0
2022-07-18 08:00:00,UNIT,2.78,2.9,2.78,2.85,119757.0
2022-07-19 08:00:00,UNIT,2.85,2.9,2.81,2.9,268513.0
2022-07-20 08:00:00,UNIT,2.9,2.95,2.86,2.91,566984.0
2022-07-21 08:00:00,UNIT,2.91,2.99,2.9,2.93,497816.0
2022-07-24 08:00:00,UNIT,2.92,2.97,2.88,2.94,231493.0
2022-07-25 08:00:00,UNIT,2.9,2.95,2.9,2.9,293699.0
2022-07-26 08:00:00,UNIT,2.9,3.04,2.9,2.95,923266.0
2022-07-27 08:00:00,UNIT,2.95,3.18,2.95,3.05,1420512.0
2022-07-28 08:00:00,UNIT,3.05,3.1,2.97,3.02,416480.0
2022-07-31 08:00:00,UNIT,3.02,3.1,3.0,3.01,408770.0
2022-08-01 08:00:00,UNIT,3.01,3.1,2.93,2.95,353717.0
2022-08-02 08:00:00,UNIT,2.96,3.02,2.94,2.96,217279.0
2022-08-03 08:00:00,UNIT,2.96,3.02,2.95,2.96,177044.0
2022-08-04 08:00:00,UNIT,2.96,3.13,2.96,3.12,655549.0
2022-08-07 08:00:00,UNIT,3.1,3.44,3.1,3.37,1697073.0
2022-08-08 08:00:00,UNIT,3.37,3.6,3.37,3.46,1535583.0
2022-08-09 08:00:00,UNIT,3.46,3.53,3.32,3.34,494523.0
2022-08-10 08:00:00,UNIT,3.34,3.47,3.27,3.32,223028.0
2022-08-11 08:00:00,UNIT,3.32,3.55,3.32,3.5,772653.0
2022-08-14 08:00:00,UNIT,3.5,3.73,3.5,3.65,927814.0
2022-08-15 08:00:00,UNIT,3.65,3.66,3.4,3.48,589774.0
2022-08-16 08:00:00,UNIT,3.5,3.55,3.38,3.39,398860.0
2022-08-17 08:00:00,UNIT,3.41,3.5,3.39,3.41,384908.0
2022-08-18 08:00:00,UNIT,3.41,3.52,3.41,3.46,199552.0
2022-08-21 08:00:00,UNIT,3.46,3.58,3.46,3.53,377686.0
2022-08-22 08:00:00,UNIT,3.54,3.57,3.4,3.49,336214.0
2022-08-23 08:00:00,UNIT,3.49,3.58,3.46,3.48,479835.0
2022-08-24 08:00:00,UNIT,3.48,3.52,3.31,3.38,275355.0
2022-08-25 08:00:00,UNIT,3.38,3.55,3.36,3.49,354732.0
2022-08-28 08:00:00,UNIT,3.49,3.55,3.43,3.5,176100.0
2022-08-29 08:00:00,UNIT,3.5,3.75,3.42,3.45,1723805.0
2022-08-30 08:00:00,UNIT,3.45,3.6,3.45,3.49,816589.0
2022-08-31 08:00:00,UNIT,3.49,3.55,3.42,3.42,332973.0
2022-09-01 08:00:00,UNIT,3.45,3.45,3.3,3.35,247434.0
2022-09-04 08:00:00,UNIT,3.36,3.48,3.27,3.45,328233.0
2022-09-05 08:00:00,UNIT,3.45,3.5,3.39,3.48,170918.0
2022-09-06 08:00:00,UNIT,3.48,3.55,3.45,3.51,412392.0
2022-09-07 08:00:00,UNIT,3.51,3.55,3.44,3.45,270739.0
2022-09-08 08:00:00,UNIT,3.48,3.52,3.44,3.46,525082.0
2022-09-11 08:00:00,UNIT,3.49,3.55,3.48,3.53,329058.0
2022-09-12 08:00:00,UNIT,3.5,3.55,3.45,3.45,335499.0
2022-09-13 08:00:00,UNIT,3.47,3.5,3.4,3.47,871537.0
2022-09-14 08:00:00,UNIT,3.41,3.43,3.32,3.35,185549.0
2022-09-15 08:00:00,UNIT,3.34,3.41,3.33,3.34,244075.0
2022-09-18 08:00:00,UNIT,3.34,3.35,3.07,3.2,151471.0
2022-09-19 08:00:00,UNIT,3.15,3.24,3.01,3.23,148855.0
