date,symbol,open,high,low,close,volume
2021-08-17 08:00:00,UPMS,1.412,1.458,1.346,1.382,102135.0
2021-08-18 08:00:00,UPMS,1.382,1.441,1.32,1.355,139303.0
2021-08-19 08:00:00,UPMS,1.355,1.4,1.288,1.355,74366.0
2021-08-22 08:00:00,UPMS,1.355,1.37,1.355,1.355,35094.0
2021-08-23 08:00:00,UPMS,1.355,1.406,1.355,1.355,56000.0
2021-08-24 08:00:00,UPMS,1.355,1.42,1.355,1.409,75660.0
2021-08-25 08:00:00,UPMS,1.409,1.479,1.34,1.453,132586.0
2021-08-26 08:00:00,UPMS,1.453,1.525,1.453,1.52,274127.0
2021-08-29 08:00:00,UPMS,1.52,1.596,1.52,1.592,212391.0
2021-08-30 08:00:00,UPMS,1.592,1.668,1.58,1.608,69491.0
2021-08-31 08:00:00,UPMS,1.608,1.608,1.528,1.608,44980.0
2021-09-01 08:00:00,UPMS,1.608,1.608,1.528,1.533,134606.0
2021-09-02 08:00:00,UPMS,1.533,1.609,1.533,1.592,129309.0
2021-09-05 08:00:00,UPMS,1.592,1.61,1.51,1.592,53532.0
2021-09-06 08:00:00,UPMS,1.592,1.592,1.433,1.592,23782.0
2021-09-07 08:00:00,UPMS,1.592,1.592,1.434,1.592,11500.0
2021-09-08 08:00:00,UPMS,1.592,1.592,1.434,1.592,0.0
2021-09-09 08:00:00,UPMS,1.592,1.592,1.433,1.592,7500.0
2021-09-12 08:00:00,UPMS,1.592,1.592,1.433,1.592,910.0
2021-09-13 08:00:00,UPMS,1.592,1.592,1.491,1.592,3000.0
2021-09-14 08:00:00,UPMS,1.592,1.592,1.433,1.592,29548.0
2021-09-15 08:00:00,UPMS,1.592,1.592,1.433,1.443,83951.0
2021-09-16 08:00:00,UPMS,1.443,1.587,1.31,1.587,176862.0
2021-09-19 08:00:00,UPMS,1.587,1.745,1.587,1.745,725286.0
2021-09-20 08:00:00,UPMS,1.745,1.91,1.571,1.862,501898.0
2021-09-21 08:00:00,UPMS,1.862,2.048,1.676,2.039,878894.0
2021-09-22 08:00:00,UPMS,2.039,2.242,1.952,2.242,526228.0
2021-09-23 08:00:00,UPMS,2.242,2.45,2.242,2.295,413851.0
2021-09-26 08:00:00,UPMS,2.3,2.37,2.08,2.27,293180.0
2021-09-27 08:00:00,UPMS,2.27,2.37,2.06,2.17,192992.0
2021-09-28 08:00:00,UPMS,2.17,2.25,1.96,2.0,133475.0
2021-09-29 08:00:00,UPMS,2.0,2.1,1.83,1.9,84344.0
2021-09-30 08:00:00,UPMS,1.9,1.98,1.8,1.9,50300.0
