date,symbol,open,high,low,close,volume
2021-04-07 08:00:00,UTOP,9.03,9.03,7.4,9.03,6436.0
2021-04-08 08:00:00,UTOP,9.03,9.03,7.4,9.03,3694.0
2021-04-11 08:00:00,UTOP,9.03,9.03,7.4,9.03,2582.0
2021-04-12 08:00:00,UTOP,9.03,9.03,7.4,9.03,9326.0
2021-04-13 08:00:00,UTOP,9.03,9.03,7.4,9.03,7038.0
2021-04-14 08:00:00,UTOP,9.03,9.03,7.4,9.03,376.0
2021-04-15 08:00:00,UTOP,9.03,9.03,8.17,9.03,500.0
2021-04-18 08:00:00,UTOP,9.03,9.03,7.4,9.03,1010.0
2021-04-19 08:00:00,UTOP,9.03,9.03,7.4,9.03,499.0
2021-04-20 08:00:00,UTOP,9.03,9.03,7.42,9.03,1528.0
2021-04-21 08:00:00,UTOP,9.03,9.03,7.4,9.03,1273.0
2021-04-22 08:00:00,UTOP,9.03,9.03,7.4,9.03,6217.0
2021-04-25 08:00:00,UTOP,9.03,9.03,8.08,9.03,4513.0
2021-04-26 08:00:00,UTOP,9.03,9.03,8.1,9.03,889.0
2021-04-27 08:00:00,UTOP,9.03,9.03,7.73,9.03,2596.0
2021-04-28 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-04 08:00:00,UTOP,9.03,9.1,8.58,9.03,1490.0
2021-05-05 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-06 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-09 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-10 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-11 08:00:00,UTOP,9.03,9.47,8.12,9.03,169.0
2021-05-17 08:00:00,UTOP,9.03,9.03,8.12,9.03,1406.0
2021-05-18 08:00:00,UTOP,9.03,9.03,7.85,9.03,4391.0
2021-05-19 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-20 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-23 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-24 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-25 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-05-26 08:00:00,UTOP,9.03,9.03,7.9,9.03,2476.0
2021-05-27 08:00:00,UTOP,9.03,9.03,7.85,9.03,1200.0
2021-05-30 08:00:00,UTOP,9.03,9.03,8.1,9.03,427.0
2021-05-31 08:00:00,UTOP,9.03,9.03,8.3,9.03,1619.0
2021-06-01 08:00:00,UTOP,9.03,9.48,8.01,9.03,1274.0
2021-06-02 08:00:00,UTOP,9.03,9.35,8.1,9.03,1048.0
2021-06-03 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-06-06 08:00:00,UTOP,9.03,9.03,7.74,9.03,1080.0
2021-06-07 08:00:00,UTOP,9.03,9.03,8.58,9.03,220.0
2021-06-08 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-06-09 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-06-10 08:00:00,UTOP,9.03,9.03,8.4,9.03,750.0
2021-06-13 08:00:00,UTOP,9.03,9.03,8.1,9.03,1000.0
2021-06-14 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-06-15 08:00:00,UTOP,9.03,9.38,8.11,9.03,3057.0
2021-06-16 08:00:00,UTOP,9.03,9.48,8.58,9.03,3755.0
2021-06-17 08:00:00,UTOP,9.03,9.48,8.53,9.03,1108.0
2021-06-20 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-06-21 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-06-22 08:00:00,UTOP,9.03,9.03,8.65,9.03,4000.0
2021-06-23 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-06-24 08:00:00,UTOP,9.03,9.03,9.03,9.03,0.0
2021-06-27 08:00:00,UTOP,9.03,9.48,9.03,9.03,90.0
2021-06-28 08:00:00,UTOP,9.03,9.48,9.03,9.03,0.0
2021-06-29 08:00:00,UTOP,9.03,9.03,8.2,9.03,2000.0
2021-06-30 08:00:00,UTOP,9.03,9.03,8.2,9.03,0.0
2021-07-04 08:00:00,UTOP,9.03,9.48,9.03,9.03,30.0
2021-07-05 08:00:00,UTOP,9.03,9.48,9.03,9.03,299.0
2021-07-06 08:00:00,UTOP,9.03,9.48,9.03,9.03,1032.0
2021-07-07 08:00:00,UTOP,9.03,9.48,9.03,9.48,11000.0
2021-07-08 08:00:00,UTOP,9.48,9.95,9.48,9.95,12168.0
2021-07-11 08:00:00,UTOP,9.95,10.44,9.95,9.95,5430.0
2021-07-12 08:00:00,UTOP,9.95,10.0,9.95,9.95,1331.0
2021-07-13 08:00:00,UTOP,9.95,10.0,9.95,9.95,1000.0
