date,symbol,open,high,low,close,volume
2025-06-23 07:00:00,VALU,0.777,7.4,0.777,7.4,8488929.0
2025-06-24 07:00:00,VALU,7.4,8.88,7.4,8.88,5634886.0
2025-06-25 07:00:00,VALU,8.88,9.6,8.31,8.88,25907738.0
2025-06-29 07:00:00,VALU,8.88,9.5,8.58,8.82,15795059.0
2025-06-30 07:00:00,VALU,8.82,8.99,8.61,8.7,5012421.0
2025-07-01 07:00:00,VALU,8.7,8.85,8.49,8.53,46306768.0
2025-07-02 07:00:00,VALU,8.53,8.64,8.17,8.25,6873757.0
2025-07-06 07:00:00,VALU,8.25,8.4,8.23,8.3,5737526.0
2025-07-07 07:00:00,VALU,8.3,8.35,8.1,8.13,6609145.0
2025-07-09 07:00:00,VALU,8.13,8.17,7.92,8.0,6078725.0
2025-07-10 07:00:00,VALU,8.0,8.11,7.84,7.89,1980516.0
2025-07-13 07:00:00,VALU,7.89,8.1,7.72,7.8,2925182.0
2025-07-14 07:00:00,VALU,7.8,7.88,7.55,7.55,5876375.0
2025-07-15 07:00:00,VALU,7.58,7.66,7.2,7.22,7925900.0
2025-07-16 07:00:00,VALU,7.22,7.6,7.22,7.4,6720903.0
2025-07-17 07:00:00,VALU,7.4,7.8,7.37,7.74,7498479.0
2025-07-20 07:00:00,VALU,7.74,7.77,7.65,7.7,754483.0
2025-07-21 07:00:00,VALU,7.7,7.89,7.6,7.6,2239927.0
2025-07-22 07:00:00,VALU,7.6,7.76,7.53,7.67,1001414.0
2025-07-23 07:00:00,VALU,7.67,8.1,7.6,8.0,3904440.0
2025-07-27 07:00:00,VALU,8.0,8.1,7.96,8.0,2607378.0
2025-07-28 07:00:00,VALU,8.06,8.25,7.95,8.08,4125329.0
2025-07-29 07:00:00,VALU,8.08,8.1,7.8,7.93,1057790.0
2025-07-30 07:00:00,VALU,7.93,8.0,7.8,7.8,1876091.0
2025-07-31 07:00:00,VALU,7.8,8.05,7.8,8.0,918111.0
2025-08-03 07:00:00,VALU,8.0,8.03,7.82,8.0,455228.0
2025-08-04 07:00:00,VALU,8.0,8.08,7.91,8.0,1325252.0
2025-08-05 07:00:00,VALU,8.04,8.5,7.95,8.25,1645603.0
2025-08-06 07:00:00,VALU,8.25,8.34,8.16,8.21,3637902.0
2025-08-07 07:00:00,VALU,8.21,8.32,8.16,8.3,2047987.0
2025-08-10 07:00:00,VALU,8.3,8.55,8.3,8.51,7708848.0
2025-08-11 07:00:00,VALU,8.5,8.7,8.49,8.61,2062098.0
2025-08-12 07:00:00,VALU,8.61,8.66,8.27,8.3,582816.0
2025-08-13 07:00:00,VALU,8.3,8.59,8.3,8.49,1321313.0
2025-08-14 07:00:00,VALU,8.49,8.6,8.34,8.6,542661.0
2025-08-17 07:00:00,VALU,8.6,8.64,8.34,8.44,771186.0
2025-08-18 07:00:00,VALU,8.44,8.59,8.3,8.31,355863.0
2025-08-19 07:00:00,VALU,8.31,8.5,8.27,8.27,457116.0
2025-08-20 07:00:00,VALU,8.27,8.3,8.08,8.12,1178701.0
2025-08-21 07:00:00,VALU,8.12,8.24,8.05,8.16,195811.0
2025-08-24 07:00:00,VALU,8.1,8.25,8.1,8.16,84197.0
2025-08-25 07:00:00,VALU,8.19,8.25,8.0,8.25,529268.0
2025-08-26 07:00:00,VALU,8.25,8.25,7.91,8.0,1328608.0
2025-08-27 07:00:00,VALU,8.0,8.3,7.93,8.28,994623.0
2025-08-28 07:00:00,VALU,8.24,8.3,8.03,8.3,1530167.0
2025-08-31 07:00:00,VALU,8.3,8.35,8.05,8.12,410012.0
2025-09-01 07:00:00,VALU,8.12,8.2,7.99,8.05,765090.0
2025-09-02 07:00:00,VALU,8.1,8.1,7.9,7.91,792947.0
2025-09-03 07:00:00,VALU,7.91,7.95,7.6,7.79,2220171.0
2025-09-07 07:00:00,VALU,7.79,7.84,7.17,7.47,4350963.0
2025-09-08 07:00:00,VALU,7.43,7.55,7.05,7.26,2408604.0
2025-09-09 07:00:00,VALU,7.26,7.34,7.2,7.25,613278.0
2025-09-10 07:00:00,VALU,7.25,7.46,7.21,7.41,1081931.0
2025-09-11 07:00:00,VALU,7.41,7.55,7.18,7.23,2714841.0
2025-09-14 07:00:00,VALU,7.23,7.26,7.08,7.25,1915165.0
2025-09-15 07:00:00,VALU,7.25,7.3,7.09,7.15,745081.0
2025-09-16 07:00:00,VALU,7.15,7.19,7.01,7.03,510294.0
2025-09-17 07:00:00,VALU,7.03,7.22,6.93,7.21,687383.0
2025-09-18 07:00:00,VALU,7.21,7.22,7.0,7.0,3349041.0
2025-09-21 07:00:00,VALU,7.0,7.15,7.0,7.14,1652760.0
2025-09-22 07:00:00,VALU,7.14,7.19,7.0,7.11,8336296.0
2025-09-23 07:00:00,VALU,7.11,7.28,7.11,7.25,7955772.0
2025-09-24 07:00:00,VALU,7.25,7.45,7.2,7.45,1971177.0
2025-09-25 07:00:00,VALU,7.45,7.56,7.34,7.5,4995294.0
2025-09-28 07:00:00,VALU,7.5,7.6,7.41,7.5,2206287.0
2025-09-29 07:00:00,VALU,7.5,7.75,7.44,7.75,1310869.0
2025-09-30 07:00:00,VALU,7.75,7.76,7.61,7.65,1078103.0
2025-10-01 07:00:00,VALU,7.62,7.73,7.5,7.5,432540.0
2025-10-02 07:00:00,VALU,7.5,7.67,7.39,7.49,412989.0
2025-10-05 07:00:00,VALU,7.49,7.75,7.48,7.64,5290658.0
2025-10-06 07:00:00,VALU,7.64,7.95,7.6,7.95,4278282.0
2025-10-07 07:00:00,VALU,7.95,8.17,7.79,7.99,2547805.0
2025-10-08 07:00:00,VALU,7.99,8.17,7.99,8.0,2090337.0
2025-10-12 07:00:00,VALU,8.0,8.05,7.75,7.98,860540.0
2025-10-13 07:00:00,VALU,7.98,8.1,7.9,8.0,1114778.0
2025-10-14 07:00:00,VALU,7.96,8.19,7.91,7.95,1913795.0
2025-10-15 07:00:00,VALU,7.95,8.05,7.86,7.92,160801.0
2025-10-16 07:00:00,VALU,7.92,7.98,7.86,7.93,308923.0
2025-10-19 07:00:00,VALU,7.93,8.0,7.68,7.75,1676325.0
2025-10-20 07:00:00,VALU,7.75,8.24,7.75,8.14,8096197.0
2025-10-21 07:00:00,VALU,8.14,8.21,7.72,8.17,2280505.0
2025-10-22 07:00:00,VALU,8.17,8.6,8.01,8.45,3886927.0
2025-10-23 07:00:00,VALU,8.45,8.59,8.32,8.49,959075.0
2025-10-26 07:00:00,VALU,8.49,8.7,8.3,8.38,3804985.0
2025-10-27 07:00:00,VALU,8.38,8.5,8.22,8.34,704003.0
2025-10-28 07:00:00,VALU,8.34,8.64,8.22,8.25,252618.0
2025-10-29 07:00:00,VALU,8.25,8.48,8.22,8.3,1006890.0
2025-10-30 07:00:00,VALU,8.3,8.45,8.2,8.45,1520127.0
2025-11-02 08:00:00,VALU,8.45,8.5,8.2,8.23,607874.0
2025-11-03 08:00:00,VALU,8.23,8.38,8.12,8.27,696284.0
2025-11-04 08:00:00,VALU,8.27,8.96,8.2,8.8,8752507.0
2025-11-05 08:00:00,VALU,8.8,8.95,8.5,8.55,1296623.0
2025-11-06 08:00:00,VALU,8.55,8.8,8.44,8.48,1539768.0
2025-11-09 08:00:00,VALU,8.48,8.87,8.41,8.8,1325937.0
2025-11-10 08:00:00,VALU,8.8,8.9,8.7,8.85,2809742.0
2025-11-11 08:00:00,VALU,8.85,8.9,8.5,8.53,1141786.0
2025-11-12 08:00:00,VALU,8.53,8.83,8.53,8.6,981265.0
2025-11-13 08:00:00,VALU,8.61,8.89,8.5,8.89,835292.0
2025-11-16 08:00:00,VALU,8.89,9.49,8.71,9.02,4229355.0
2025-11-17 08:00:00,VALU,9.02,9.29,8.8,9.19,1223887.0
2025-11-18 08:00:00,VALU,9.19,9.3,8.85,8.9,964311.0
2025-11-19 08:00:00,VALU,8.9,9.0,8.75,8.94,683903.0
2025-11-20 08:00:00,VALU,8.94,9.1,8.8,9.08,902044.0
2025-11-23 08:00:00,VALU,9.08,9.19,8.87,8.94,716866.0
2025-11-24 08:00:00,VALU,8.94,9.1,8.94,9.0,1952882.0
2025-11-25 08:00:00,VALU,9.0,9.04,8.7,8.76,930580.0
2025-11-26 08:00:00,VALU,8.76,9.05,8.76,9.0,856204.0
2025-11-27 08:00:00,VALU,8.92,9.03,8.9,9.0,553923.0
2025-11-30 08:00:00,VALU,9.0,9.29,8.91,9.16,1683613.0
2025-12-01 08:00:00,VALU,9.16,9.7,9.15,9.2,2240963.0
2025-12-02 08:00:00,VALU,9.19,9.85,9.14,9.85,1233501.0
2025-12-03 08:00:00,VALU,9.85,9.94,9.5,9.53,3809329.0
2025-12-04 08:00:00,VALU,9.53,9.79,9.35,9.41,1222425.0
2025-12-07 08:00:00,VALU,9.41,9.62,9.35,9.49,403591.0
2025-12-08 08:00:00,VALU,9.49,9.99,9.45,9.9,2593096.0
2025-12-09 08:00:00,VALU,9.9,10.0,9.56,9.61,651367.0
2025-12-10 08:00:00,VALU,9.61,10.13,9.61,10.05,1938595.0
2025-12-11 08:00:00,VALU,10.05,10.1,9.85,9.99,9732577.0
2025-12-14 08:00:00,VALU,9.99,10.1,9.7,9.81,507267.0
2025-12-15 08:00:00,VALU,9.81,9.95,9.75,9.83,659055.0
2025-12-16 08:00:00,VALU,9.83,9.92,9.6,9.75,1603301.0
2025-12-17 08:00:00,VALU,9.75,9.75,9.6,9.6,942300.0
2025-12-18 08:00:00,VALU,9.6,9.75,9.47,9.53,7809742.0
2025-12-21 08:00:00,VALU,9.53,9.81,9.47,9.8,726621.0
2025-12-22 08:00:00,VALU,9.8,9.88,9.55,9.58,4683716.0
2025-12-23 08:00:00,VALU,9.57,9.75,9.52,9.75,168189.0
2025-12-24 08:00:00,VALU,9.74,9.85,9.5,9.55,815012.0
2025-12-25 08:00:00,VALU,9.55,9.64,8.69,9.43,18695981.0
2025-12-28 08:00:00,VALU,9.43,9.54,9.43,9.47,1091389.0
2025-12-29 08:00:00,VALU,9.5,9.59,9.25,9.3,1429651.0
2025-12-30 08:00:00,VALU,9.3,9.4,9.17,9.17,2577408.0
2025-12-31 08:00:00,VALU,9.17,9.5,9.13,9.4,877265.0
2026-01-04 08:00:00,VALU,9.4,9.45,9.12,9.15,322579.0
2026-01-05 08:00:00,VALU,9.15,9.34,8.86,8.87,2108517.0
2026-01-06 08:00:00,VALU,8.87,9.3,8.87,9.27,873320.0
2026-01-08 08:00:00,VALU,9.27,9.4,9.16,9.28,1876622.0
2026-01-11 08:00:00,VALU,9.27,9.35,9.17,9.35,327722.0
2026-01-12 08:00:00,VALU,9.33,9.35,9.0,9.09,1811912.0
