date,symbol,open,high,low,close,volume
2022-05-19 08:00:00,ZEOT,1.402,1.48,1.402,1.455,44111.0
2022-05-22 08:00:00,ZEOT,1.402,1.472,1.402,1.422,34000.0
2022-05-23 08:00:00,ZEOT,1.402,1.455,1.402,1.455,95800.0
2022-05-24 08:00:00,ZEOT,1.402,1.45,1.4,1.439,199216.0
2022-05-25 08:00:00,ZEOT,1.402,1.42,1.33,1.402,101500.0
2022-05-26 08:00:00,ZEOT,1.402,1.419,1.402,1.413,41000.0
2022-05-29 08:00:00,ZEOT,1.402,1.41,1.35,1.35,30000.0
2022-05-30 08:00:00,ZEOT,1.402,1.412,1.38,1.38,59901.0
2022-05-31 08:00:00,ZEOT,1.402,1.402,1.36,1.36,59900.0
2022-06-01 08:00:00,ZEOT,1.402,1.412,1.336,1.345,62657.0
2022-06-02 08:00:00,ZEOT,1.402,1.416,1.35,1.402,254345.0
2022-06-05 08:00:00,ZEOT,1.402,1.405,1.399,1.401,38600.0
2022-06-06 08:00:00,ZEOT,1.402,1.448,1.4,1.4,122661.0
2022-06-07 08:00:00,ZEOT,1.402,1.44,1.4,1.44,14007.0
2022-06-08 08:00:00,ZEOT,1.402,1.47,1.402,1.46,137191.0
2022-06-09 08:00:00,ZEOT,1.402,1.479,1.402,1.46,171466.0
2022-06-12 08:00:00,ZEOT,1.402,1.5,1.402,1.493,27957.0
2022-06-13 08:00:00,ZEOT,1.402,1.547,1.402,1.515,151625.0
2022-06-14 08:00:00,ZEOT,1.402,1.56,1.402,1.52,117245.0
2022-06-15 08:00:00,ZEOT,1.402,1.55,1.402,1.5,157691.0
2022-06-16 08:00:00,ZEOT,1.402,1.535,1.402,1.48,27919.0
2022-06-19 08:00:00,ZEOT,1.402,1.491,1.402,1.49,15621.0
2022-06-20 08:00:00,ZEOT,1.402,1.49,1.402,1.484,34725.0
2022-06-21 08:00:00,ZEOT,1.402,1.514,1.402,1.46,59004.0
2022-06-22 08:00:00,ZEOT,1.402,1.49,1.402,1.488,32384.0
2022-06-23 08:00:00,ZEOT,1.402,1.455,1.402,1.441,50089.0
2022-06-26 08:00:00,ZEOT,1.402,1.497,1.402,1.43,33408.0
2022-06-27 08:00:00,ZEOT,1.402,1.474,1.38,1.38,64733.0
2022-06-28 08:00:00,ZEOT,1.402,1.402,1.3,1.345,128161.0
2022-06-29 08:00:00,ZEOT,1.402,1.402,1.373,1.389,44973.0
2022-07-03 08:00:00,ZEOT,1.402,1.402,1.321,1.321,99678.0
2022-07-04 08:00:00,ZEOT,1.402,1.402,1.303,1.303,13179.0
2022-07-05 08:00:00,ZEOT,1.402,1.402,1.359,1.36,17170.0
2022-07-06 08:00:00,ZEOT,1.402,1.402,1.317,1.397,29000.0
2022-07-07 08:00:00,ZEOT,1.402,1.402,1.395,1.4,35348.0
2022-07-17 08:00:00,ZEOT,1.402,1.402,1.33,1.39,85394.0
2022-07-18 08:00:00,ZEOT,1.402,1.42,1.39,1.42,281590.0
2022-07-19 08:00:00,ZEOT,1.42,1.42,1.4,1.415,39131.0
2022-07-20 08:00:00,ZEOT,1.42,1.42,1.402,1.402,9690.0
2022-07-21 08:00:00,ZEOT,1.42,1.7,1.42,1.634,597291.0
2022-07-24 08:00:00,ZEOT,1.634,1.7,1.589,1.666,288479.0
2022-07-25 08:00:00,ZEOT,1.657,1.688,1.56,1.603,252705.0
2022-07-26 08:00:00,ZEOT,1.603,1.63,1.56,1.575,82179.0
2022-07-27 08:00:00,ZEOT,1.603,1.618,1.565,1.575,65550.0
2022-07-28 08:00:00,ZEOT,1.603,1.603,1.53,1.56,38568.0
2022-07-31 08:00:00,ZEOT,1.603,1.603,1.561,1.57,33660.0
2022-08-01 08:00:00,ZEOT,1.603,1.61,1.538,1.542,35771.0
2022-08-02 08:00:00,ZEOT,1.603,1.603,1.536,1.544,164079.0
2022-08-03 08:00:00,ZEOT,1.603,1.603,1.55,1.56,55531.0
2022-08-04 08:00:00,ZEOT,1.603,1.65,1.551,1.612,316800.0
2022-08-07 08:00:00,ZEOT,1.612,1.719,1.612,1.63,302628.0
2022-08-08 08:00:00,ZEOT,1.67,1.695,1.64,1.64,82581.0
2022-08-09 08:00:00,ZEOT,1.67,1.67,1.562,1.562,161984.0
2022-08-10 08:00:00,ZEOT,1.67,1.67,1.565,1.599,85058.0
2022-08-11 08:00:00,ZEOT,1.67,1.67,1.57,1.59,57262.0
2022-08-14 08:00:00,ZEOT,1.67,1.677,1.64,1.65,241460.0
2022-08-15 08:00:00,ZEOT,1.65,1.674,1.63,1.64,187137.0
2022-08-16 08:00:00,ZEOT,1.638,1.67,1.61,1.613,107559.0
2022-08-17 08:00:00,ZEOT,1.638,1.649,1.6,1.606,20803.0
2022-08-18 08:00:00,ZEOT,1.638,1.638,1.58,1.58,52126.0
2022-08-21 08:00:00,ZEOT,1.638,1.76,1.59,1.702,868680.0
2022-08-22 08:00:00,ZEOT,1.702,1.831,1.66,1.74,671153.0
2022-08-23 08:00:00,ZEOT,1.74,1.77,1.665,1.7,198747.0
2022-08-24 08:00:00,ZEOT,1.698,1.723,1.66,1.66,83829.0
2022-08-25 08:00:00,ZEOT,1.698,1.7,1.66,1.698,49630.0
2022-08-28 08:00:00,ZEOT,1.698,1.7,1.65,1.67,53688.0
2022-08-29 08:00:00,ZEOT,1.698,1.698,1.602,1.64,75414.0
2022-08-30 08:00:00,ZEOT,1.698,1.698,1.63,1.63,12000.0
